wavelength,Back_SpoColf,Belly_SpoColf,Breast_SpoColf,Crissum_SpoColf,Crown_SpoColf,DorTail_SpoColf,Patch10_SpoColf,Patch11_SpoColf,Patch12_SpoColf,Rump_SpoColf,Throat_SpoColf,WingTip_SpoColf
381.97,6.8982,13.9404666667,10.7516666667,8.13859999999,5.08326666667,6.76026666667,17.2393333333,5.64046666667,5.986,4.43646666667,26.0255333333,5.80006666667
382.33,6.92813333333,13.9814,10.7362666667,8.16486666667,5.0892,6.79966666667,17.3046,5.6516,5.98126666667,4.48026666666,26.1008,5.836
382.69,6.93053333334,14.0548,10.7492666667,8.17166666667,5.09266666667,6.7956,17.3618666667,5.649,5.99046666667,4.48686666666,26.1644,5.845
383.05,7.04093333333,14.1841333333,10.8505333333,8.31246666667,5.22473333333,6.9022,17.5108666667,5.78053333333,6.1346,4.6058,26.3266666667,5.95726666667
383.41,7.07733333333,14.2482666667,10.8837333333,8.35106666666,5.26146666667,6.92126666667,17.5617333333,5.8282,6.17593333333,4.6646,26.4090666667,5.9984
383.77,7.10773333334,14.2868666666,10.9233333333,8.36746666667,5.2836,6.9636,17.6432666667,5.8814,6.19546666667,4.71773333333,26.4840666667,6.01233333333
384.14,7.14666666667,14.3582,10.9849333333,8.39873333333,5.2966,6.9928,17.7189333334,5.91413333333,6.21746666667,4.745,26.5811333333,6.03873333333
384.50,7.21026666667,14.4518,11.0618666667,8.50053333333,5.3812,7.05186666667,17.8423333333,6.02846666667,6.31,4.8432,26.7155333333,6.1006
384.86,7.2342,14.4912666666,11.1035333333,8.55566666667,5.41246666667,7.09546666667,17.867,6.09486666667,6.3506,4.873,26.7711333333,6.12393333333
385.22,7.229,14.5628666667,11.1218,8.54060000001,5.43166666667,7.11213333334,17.9324666667,6.10726666667,6.35973333333,4.86686666667,26.8714,6.11873333333
385.58,7.27033333333,14.6131333333,11.1690666667,8.5908,5.46233333333,7.12966666667,18.0321333333,6.14086666667,6.4114,4.9066,26.9532666667,6.1394
385.94,7.23786666667,14.5729333334,11.1642666667,8.58166666667,5.40666666667,7.11693333333,17.9928666667,6.09566666667,6.39966666667,4.87993333333,26.9746,6.09806666667
386.30,7.13146666667,14.5612666667,11.0953333333,8.50633333333,5.32633333333,6.98633333333,17.9834,6.01966666667,6.35373333333,4.7782,27.0118666667,5.9908
386.66,7.13053333333,14.6018,11.1252666667,8.55506666667,5.3488,6.98633333333,18.0474666666,6.03373333333,6.3498,4.76806666667,27.1068,5.98833333333
387.03,7.09033333333,14.6292,11.1225333333,8.54233333333,5.29513333333,6.94226666667,18.0506666667,6.00506666667,6.30293333333,4.71813333333,27.1036666667,5.94853333333
387.39,7.06013333333,14.6576,11.1318666667,8.55186666666,5.29673333333,6.92006666667,18.0775333334,5.99093333333,6.32006666667,4.70333333333,27.1528666667,5.9324
387.75,7.0626,14.7070666667,11.1425333333,8.58166666666,5.30513333333,6.91406666667,18.1529333333,5.9968,6.32146666667,4.71526666667,27.2482,5.95133333333
388.11,6.9296,14.6194666667,11.0411333333,8.47673333333,5.20873333333,6.78886666667,18.0373333333,5.87966666667,6.21953333333,4.635,27.2034666667,5.83273333333
388.47,6.8902,14.6002666667,10.9983333334,8.46066666667,5.15846666667,6.74253333333,18.0367333333,5.85153333333,6.1556,4.6122,27.1837333333,5.798
388.83,6.86906666667,14.6184,11.0013333333,8.42700000001,5.14606666667,6.678,18.0726,5.83406666667,6.11686666667,4.60333333333,27.2558666667,5.755
389.19,6.88086666667,14.6586666667,11.012,8.453,5.1424,6.65733333333,18.1028666667,5.807,6.09606666667,4.596,27.3522666667,5.75213333333
