wavelength,Back_DubTaef,Belly_DubTaef,Breast_DubTaef,Crissum_DubTaef,Crown_DubTaef,DorTail_DubTaef,Patch10_DubTaef,Patch11_DubTaef,Rump_DubTaef,Throat_DubTaef,WingTip_DubTaef
409.34,12.2193333333,11.5605333333,9.75326666668,14.0608666667,22.3146666667,6.6564,32.6767333333,12.2493333333,13.7146666667,4.13763333333,6.65433333333
409.70,12.3042666667,11.5687666667,9.79886666666,14.1433333333,22.3408666667,6.70866666667,32.7212666667,12.3240666666,13.786,4.1848,6.7308
410.06,12.3722666667,11.5786,9.81060000001,14.2266,22.3715333333,6.75546666667,32.7764,12.4253333333,13.8519333333,4.221,6.78526666667
410.42,12.3738,11.5617666667,9.79893333333,14.2731333333,22.3699333333,6.781,32.7906,12.4505333333,13.8715333333,4.25073333333,6.8158
410.77,12.3736,11.5388,9.76026666666,14.3242666667,22.3890666667,6.76446666667,32.8232,12.4676666667,13.8721333333,4.23223333333,6.80746666667
411.13,12.3940666667,11.528,9.73793333334,14.3734,22.3848,6.79926666667,32.8186,12.5006,13.8877333333,4.25843333333,6.84126666667
411.49,12.3624,11.4580333333,9.69533333334,14.3577333333,22.3541333333,6.80093333333,32.778,12.5008,13.8730666667,4.22483333333,6.82253333333
411.85,12.3607333333,11.4113666667,9.64393333333,14.3728,22.3564666667,6.78953333333,32.7626666667,12.5304,13.8872666666,4.20136666667,6.79526666667
412.21,12.355,11.3456,9.58406666667,14.3856666667,22.3374,6.78453333333,32.7500666667,12.5570666667,13.8989333333,4.19006666667,6.7922
412.57,12.4026666667,11.3385333333,9.56086666666,14.4092,22.3063333333,6.8034,32.6464666667,12.6153333333,13.9016,4.20973333333,6.8208
412.92,12.3864666667,11.2564333333,9.47813333333,14.4157333333,22.2779333333,6.77133333333,32.6178,12.6003333334,13.8964666666,4.12683333333,6.7854
413.28,12.3789333333,11.1865666667,9.42833333333,14.4524666667,22.2278666667,6.74686666667,32.5478666667,12.6146,13.9088,4.13646666667,6.79433333333
413.64,12.3260666667,11.1228666667,9.34700000001,14.4458,22.1748666666,6.70726666667,32.4697333333,12.6176,13.8798666667,4.11026666667,6.75086666667
414.00,12.2867333333,11.0543666667,9.2578,14.4392666667,22.1130666667,6.6768,32.4074,12.5814666667,13.8673333333,4.08313333333,6.71526666667
414.36,12.2945333333,10.9876,9.19006666667,14.4916,22.0952,6.6948,32.3782666667,12.6264666667,13.8662666667,4.07173333333,6.72473333333
414.72,12.3142666667,10.9453666667,9.1538,14.5160666667,22.052,6.72593333333,32.3424666667,12.6552666667,13.907,4.10483333333,6.73793333333
415.07,12.3414666667,10.9005666667,9.11580000001,14.5935333333,22.0545333333,6.73126666667,32.3842666667,12.7222666667,13.9716666667,4.11603333333,6.77973333333
415.43,12.4090666667,10.8748,9.10586666666,14.6911333334,22.1226666667,6.7684,32.3853333333,12.809,14.029,4.17076666667,6.83593333333
415.79,12.4183333333,10.8042666667,9.02866666668,14.7242,22.1102,6.7706,32.3908,12.8686,14.0279333333,4.16753333333,6.8342
416.15,12.4484666667,10.7385333333,8.97699999999,14.7892,22.1072,6.78293333333,32.381,12.9116,14.0548,4.18436666667,6.82126666667
416.51,12.4822,10.6826,8.96173333333,14.881,22.1335333333,6.8144,32.4353333333,12.9826666667,14.1201333334,4.20956666667,6.8418
416.86,12.4793333333,10.5891,8.88626666667,14.9052666667,22.1097333333,6.79753333333,32.402,13.0083333333,14.1203333333,4.21866666667,6.8384
417.22,12.4736,10.5013333333,8.78273333333,14.9206666667,22.0696,6.81,32.3880666667,13.0760666667,14.1290666667,4.2174,6.817
