wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
778.78,21.2135,43.6568333333,42.3715,45.4788809524,21.8493333333,27.56375,23.6456666667,40.782,25.9261666667
779.09,21.3766666666,42.9911666667,42.3605,45.1680952381,21.138,27.4390833333,23.171,40.3838333333,25.2313333334
779.40,21.3948333334,42.5103333333,42.566,44.3155714286,20.9903333334,27.2731666666,23.0545,39.5396666666,24.9931666666
779.71,21.3096666667,41.8146666666,42.5065,43.5567619048,20.7166666666,26.2914166667,22.8336666667,38.7383333333,24.5833333333
780.02,21.1611666667,41.9906666667,42.6536666667,43.7687380952,21.0026666667,24.9425,23.0191666667,38.9513333334,24.4165
780.33,20.3461666666,41.5356666667,41.8991666667,42.7324047619,19.9825,24.2074166666,22.0913333334,38.3215,23.2548333333
780.64,19.7376666667,41.0556666667,41.4581666667,42.6079523809,19.7523333334,23.9640833333,21.4668333333,37.1943333334,22.6296666667
780.95,19.037,39.2738333333,40.9991666667,41.2261190477,18.3316666667,22.6295,19.937,35.5386666667,21.017
781.26,18.0923333333,38.4848333333,41.0456666666,40.6644047619,17.801,22.2246666667,19.457,34.9433333333,20.4076666667
781.57,18.3968333334,38.4153333333,42.0141666666,41.0365714286,17.964,22.1118333333,19.2771666667,35.4185,20.6671666666
781.88,18.8136666667,38.817,42.277,41.2133333333,18.8756666666,22.69075,19.9876666667,35.9748333333,21.4086666666
782.19,19.4135,38.5803333333,42.824,41.8384285714,19.4291666666,22.9785833333,20.6791666667,36.343,21.8983333333
782.50,19.356,38.4146666667,43.3396666667,42.2161904762,19.8716666667,23.1001666667,21.5448333333,37.0073333333,22.1386666666
782.81,18.813,38.8616666666,43.9676666667,42.9243809524,19.7723333333,22.69925,21.935,37.5771666667,21.7235
783.12,18.8536666666,39.7613333333,44.8641666667,43.9576190476,20.361,23.4343333334,22.2995,38.635,22.6971666666
783.43,18.1635,39.9263333334,45.1225,43.8877380953,19.7781666667,23.7554166666,22.2671666666,38.816,22.6205
