wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
373.64,11.2408888889,41.446617284,21.3063333333,24.726,18.9013333333,6.69433333333,24.776,4.97066666667,29.3929444444,23.7576666667,35.387,6.88122222222
374.00,11.2501111111,41.6051728395,21.4095555556,24.7728888889,18.9542222222,6.718,24.8487777778,4.97544444444,29.4279444444,23.807,35.4942222222,6.908
374.37,11.2092222222,41.5593765432,21.3255555555,24.7268888889,18.8576666667,6.64433333333,24.7291111111,4.88633333334,29.2781111111,23.7393333333,35.4196666667,6.86133333333
374.73,11.3211111111,41.6938950617,21.4891111111,24.9017777778,19.0113333333,6.67877777778,24.8371111111,4.92255555555,29.4647777778,23.8646666667,35.6701111111,6.95811111111
375.09,11.3622222222,41.7775,21.5974444445,24.9386666667,19.0037777778,6.69622222222,24.8657777778,4.88,29.5159444444,23.821,35.734,6.96811111111
375.45,11.5435555556,42.0268580247,21.8433333333,25.0901111111,19.21,6.88722222222,25.1048888889,5.03288888889,29.8397777778,24.0787777778,36.0704444444,7.075
375.81,11.4844444444,42.0334814815,21.828,24.9946666667,19.129,6.81466666667,25.0404444445,4.95588888889,29.815,24.0313333333,36.0577777778,6.99077777778
376.18,11.3825555555,42.0424074074,21.7658888889,24.9018888889,19.0227777778,6.67322222222,24.9466666667,4.75833333333,29.8294444444,23.904,36.0115555556,6.80666666667
376.54,11.3862222222,42.0276049382,21.7575555556,24.9054444444,18.9703333333,6.647,24.9356666667,4.708,29.8471111111,23.9152222222,36.0402222222,6.858
376.90,11.3981111111,42.0871111111,21.764,24.8881111111,18.9856666666,6.69566666667,24.9395555556,4.74344444445,29.8972777778,23.9318888889,36.0886666666,6.80688888889
377.26,11.3834444444,42.0824938272,21.7263333333,24.8656666667,18.9637777778,6.67933333333,24.9102222222,4.66466666667,29.8745555555,23.9407777778,36.071,6.74466666667
377.63,11.4035555555,42.1037777778,21.7273333333,24.9033333334,18.9623333333,6.71211111111,24.8983333333,4.65655555555,29.8050555556,23.9554444444,36.0462222222,6.73277777778
377.99,11.4981111111,42.1564135802,21.7898888889,24.961,18.9608888889,6.80888888889,24.8953333333,4.728,29.8274444444,24.0273333334,36.1206666667,6.75511111111
378.35,11.553,42.3051049382,21.9064444444,25.083,19.0416666667,6.89033333333,24.9908888889,4.82188888889,29.9417222222,24.1012222222,36.1772222222,6.80122222222
378.71,11.567,42.4106049383,21.9277777778,25.1061111111,19.0181111111,6.96088888889,25.0173333333,4.78433333333,29.928,24.1396666666,36.1933333333,6.76155555555
379.07,11.593,42.5486111111,21.945,25.1238888889,19.0107777778,6.98333333333,25.0368888889,4.804,29.925,24.1124444444,36.2262222222,6.78422222222
379.44,11.4291111111,42.5145925926,21.7975555556,25.0321111111,18.8216666666,6.84022222222,24.8395555556,4.64666666667,29.7614444444,23.9396666666,36.0235555556,6.64877777778
