wavelength,Back_EmbYpim,Belly_EmbYpim,Breast_EmbYpim,Crissum_EmbYpim,Crown_EmbYpim,DorTail_EmbYpim,Patch10_EmbYpim,Patch11_EmbYpim,Rump_EmbYpim,Throat_EmbYpim,WingTip_EmbYpim
787.14,21.2283333333,44.9438,37.4652666667,31.2325333333,16.2955333333,15.8076466667,28.8072,12.1903,21.8290666667,46.5706333333,24.826
787.45,21.2277333333,44.3105333333,37.2039333333,31.8026,16.4013333333,15.7944666667,28.5954666667,12.3882333333,21.7087333333,46.3204666667,24.8219166667
787.76,21.5388666667,44.1310666667,37.7546,32.2799666667,16.6068666667,16.2173266667,28.912,12.8792666667,22.2580666667,46.4396,24.8698333333
788.07,20.8635333333,43.2061333333,37.5863,31.9260333333,15.57,15.53826,28.9284,11.9632666667,21.9820666667,46.1260666667,24.339875
788.38,20.9896888889,42.9262666667,37.8021666667,31.9895333333,15.5187333333,15.7722066667,28.9073333333,11.9558666667,21.8306,46.2535333333,24.7284166667
788.69,20.7594222222,42.5678666667,37.2663,31.769,15.3827333333,16.0660177778,28.734,12.1155666667,21.6394,46.0007,24.3671666667
789.00,20.7732444444,42.8071333333,37.3864666667,31.7128333333,15.5813333333,17.0075777778,28.8968,12.6256,21.7365333333,46.0034666667,24.513
789.31,21.6113333333,43.2189333333,38.4668666667,32.4581333333,16.3699333333,18.3756422222,29.9207333333,13.7091666667,22.4964666667,46.1233666667,25.0842916667
789.62,21.7809777778,43.0622,38.5009333333,32.3825666667,16.1504666666,18.7775422222,29.6879333333,13.7328333333,22.6305333333,45.6022333333,25.1712083334
789.92,22.2144,43.6739333333,39.1674,33.2357,16.7526666667,19.3379444444,30.0682,14.1097333333,22.5481333333,46.0326666667,25.5
790.23,22.4929111111,43.2965333333,39.4994333333,33.6294666667,16.8681333333,19.3732,30.2074,14.0964333333,22.6983333333,46.2300666667,25.94625
790.54,23.4328888889,43.7243333333,40.3198666667,34.4567,18.0239333333,20.1611555556,31.1236,15.1216,23.7487333333,46.9067333333,26.658375
790.85,24.5702222222,44.9058,41.1195,35.2515666667,18.8805333333,21.0780444445,31.7861333333,15.6636,24.8050666667,48.0156666667,27.3977916667
791.16,24.4422444445,44.8632666667,40.6900333333,35.1138,18.1901333333,20.6675577778,31.4649333333,15.1009333334,24.4726,47.7800333333,27.0590416666
791.47,24.5884222222,45.2227333333,40.9210333333,34.9762333333,18.0095333333,20.4041644445,31.1268666667,15.2532666667,24.1296,48.1241333333,27.020125
791.78,24.2424666667,45.1304,40.4052,34.7604,17.4138,19.80094,30.8173333333,14.8486,23.7351333333,48.0796333333,26.0746666667
792.08,24.2715555556,45.0594666667,40.3459,34.8396,17.3047333333,19.4409177778,31.1496,14.4397333333,23.4594,47.6433,26.0181666666
792.39,23.5948222222,44.0088666667,39.2478,33.9941333333,16.6776666666,18.0228422222,30.2957333333,13.4136666667,22.8404666667,46.5096666667,25.66625
