wavelength,Back_CalCocf,Belly_CalCocf,Breast_CalCocf,Crissum_CalCocf,Crown_CalCocf,DorTail_CalCocf,Rump_CalCocf,Throat_CalCocf,WingTip_CalCocf
368.56,6.0385,10.60525,8.82083333334,10.7984166666,5.836,5.5235,8.18166666667,6.10283333333,4.20808333333
368.93,6.07066666666,10.5086666667,8.80700000001,10.7891666667,5.87741666667,5.51416666667,8.17225,6.16258333334,4.2265
369.29,6.06275,10.5400833333,8.88150000001,10.741,5.93475,5.58308333333,8.22825,6.2545,4.2945
369.65,5.96733333333,10.6765833333,8.84375000001,10.5989166667,5.8215,5.56616666667,8.20108333333,6.25,4.25316666666
370.01,6.22525,10.9415833333,9.04958333332,10.76575,6.04058333334,5.86483333333,8.47741666666,6.455,4.55408333333
370.38,6.13291666667,10.8508333333,9.043,10.6230833333,6.03033333333,5.81158333333,8.37791666666,6.26225,4.55725
370.74,6.01716666667,10.7739166667,8.99899999999,10.521,5.87058333333,5.702,8.30225,6.12366666667,4.49516666667
371.10,5.9945,10.7381666667,9.03816666667,10.4166666667,5.76558333333,5.7435,8.17474999999,6.04291666666,4.475
371.46,5.928,10.6600833333,8.87458333334,10.3545,5.67508333333,5.77091666667,8.17625000001,5.91933333333,4.30858333333
371.83,5.93508333333,10.66675,8.76616666667,10.3463333333,5.56708333333,5.85708333333,8.12550000001,5.91775,4.225
372.19,5.89958333334,10.6724166667,8.71166666666,10.26425,5.51683333333,5.78783333333,8.04541666666,5.92966666667,4.18808333333
372.55,6.14116666667,10.9259166667,8.97933333332,10.5943333333,5.77508333333,5.95183333333,8.18266666666,6.13708333333,4.47883333333
372.92,6.26416666667,11.1268333333,9.19541666667,10.7776666667,5.93208333334,6.09583333333,8.38499999999,6.21233333333,4.62583333333
373.28,6.29833333333,11.1898333334,9.17225,10.9060833333,5.93708333333,6.06616666667,8.41516666666,6.17358333333,4.59041666667
373.64,6.58,11.32975,9.38783333334,11.0939166667,6.20275,6.27575,8.68908333334,6.36575,4.88241666667
374.00,6.569,11.33,9.43241666667,11.1153333333,6.26391666667,6.16075,8.68100000001,6.34558333333,4.84716666667
374.37,6.60683333334,11.2383333333,9.29725,11.1354166667,6.17816666666,6.19108333334,8.59891666667,6.3625,4.76858333334
374.73,6.72258333333,11.4396666666,9.45508333332,11.3165833333,6.3955,6.3145,8.7965,6.56108333334,4.95508333333
375.09,6.66075,11.5110833333,9.47058333333,11.3354166666,6.47683333333,6.35983333333,8.86008333333,6.69425,5.03425
375.45,6.84658333333,11.734,9.68049999999,11.4876666667,6.61658333333,6.47691666666,8.83441666666,6.87125,5.17083333333
375.81,6.66091666667,11.5891666667,9.52908333334,11.35075,6.51558333333,6.26516666667,8.72508333333,6.67708333334,5.05325
376.18,6.53791666667,11.48325,9.42158333334,11.213,6.32333333333,6.14475,8.58766666666,6.4825,5.03641666667
376.54,6.42941666667,11.50925,9.39966666667,11.11375,6.23933333333,6.09591666667,8.59300000001,6.44116666667,5.03725
376.90,6.35541666667,11.57925,9.30916666666,11.101,6.20341666667,5.96433333333,8.54216666667,6.4275,5.02275
377.26,6.16075,11.35925,9.07024999999,10.9006666667,5.9765,5.71716666667,8.34083333334,6.2585,4.90533333333
377.63,6.11366666666,11.40525,8.97983333333,10.8295833333,5.90066666666,5.62783333333,8.225,6.14341666667,4.85033333333
377.99,6.08341666667,11.4268333333,8.95866666668,10.8273333333,5.90591666667,5.67266666667,8.21491666667,6.16491666667,4.86975
378.35,6.027,11.4254166667,8.98391666666,10.7859166667,5.86983333333,5.63591666667,8.20175,6.177,4.95608333333
378.71,6.22383333333,11.6024166667,9.06300000001,10.9631666667,6.07941666666,5.86616666667,8.31158333333,6.36833333333,5.14366666667
379.07,6.38841666667,11.7738333333,9.17466666667,11.0619166666,6.26616666667,5.95691666667,8.46633333333,6.38458333333,5.27375
379.44,6.33516666666,11.7161666667,9.14058333332,10.9161666666,6.28491666666,5.90116666667,8.58458333333,6.34233333333,5.3595
379.80,6.39058333333,11.81725,9.27941666666,10.9713333333,6.31183333334,5.99283333333,8.68458333334,6.4875,5.47658333334
380.16,6.50816666667,11.9266666667,9.35133333334,11.0300833333,6.426,6.05808333333,8.81199999999,6.651,5.5615
380.52,6.44758333334,11.8648333333,9.14208333334,10.9595833334,6.39391666666,6.00408333334,8.75191666667,6.59791666667,5.48516666667
380.88,6.31941666667,11.7065,9.00225000001,10.7849166667,6.25891666667,5.94583333333,8.60033333334,6.5685,5.41558333333
381.24,6.20333333334,11.7856666667,9.03508333333,10.7701666667,6.26316666667,5.95641666667,8.58724999999,6.577,5.39216666667
381.61,6.21616666667,11.8526666667,9.15608333333,10.96425,6.32025,6.10175,8.65266666666,6.69175,5.52891666667
