wavelength,Back_TanPref,Belly_TanPref,Breast_TanPref,Crissum_TanPref,Crown_TanPref,DorTail_TanPref,Patch10_TanPref,Patch11_TanPref,Rump_TanPref,Throat_TanPref,WingTip_TanPref
444.66,7.11766666667,28.2347333333,18.5205333333,10.6518,5.38493333333,6.58673333333,9.4326,4.73026666667,8.36693333333,20.7244666667,8.03386666667
445.02,7.12713333333,28.2232666667,18.5462,10.6971333333,5.41426666667,6.60386666667,9.48026666666,4.751,8.3772,20.765,8.05613333334
445.37,7.1212,28.2000666667,18.5551333333,10.7102,5.4286,6.599,9.49126666666,4.7652,8.35673333333,20.7894,8.06186666667
445.72,7.05233333333,28.1272666667,18.5181333333,10.6834,5.38166666667,6.534,9.4482,4.70873333333,8.29806666667,20.7596,8.01246666667
446.08,7.0744,28.119,18.5443333333,10.7172,5.4228,6.55193333333,9.47573333333,4.73286666667,8.3166,20.8173333333,8.04006666667
446.43,7.05746666667,28.0775333333,18.5684666667,10.7278666667,5.43293333334,6.55646666667,9.46766666667,4.72906666667,8.29666666667,20.8196,8.04866666666
446.79,7.04326666667,28.0176666667,18.5642666667,10.7051333333,5.42353333333,6.5444,9.46173333333,4.72386666667,8.27666666667,20.7934,8.03519999999
447.14,7.03933333333,28.0079333333,18.6054666667,10.7352,5.44033333333,6.55493333333,9.48613333332,4.74106666667,8.27393333333,20.8176,8.05533333333
447.50,7.02906666667,27.9313333333,18.6364666667,10.7326,5.439,6.5544,9.48773333333,4.74906666667,8.244,20.8030666667,8.05206666667
447.85,7.03393333333,27.894,18.6728666667,10.7430666667,5.4568,6.56,9.50393333334,4.7568,8.22673333333,20.8094,8.05680000001
448.21,7.06666666667,27.9235333333,18.7528,10.8113333333,5.53093333333,6.6192,9.54953333335,4.80486666667,8.2594,20.8589333333,8.10853333334
448.56,7.09713333333,27.9544666667,18.8441333333,10.8562666667,5.56426666667,6.64893333333,9.59073333333,4.84166666667,8.27926666667,20.9242,8.1512
448.92,7.09133333333,27.9332,18.8839333333,10.8659333333,5.57293333333,6.65186666667,9.5914,4.84213333334,8.25586666667,20.9473333333,8.15593333334
449.27,7.094,27.9401333333,18.9475333333,10.8872,5.58653333333,6.6556,9.59926666666,4.8374,8.25533333333,20.9789333333,8.16033333333
449.62,7.12873333333,27.9126666667,19.0072666667,10.9384,5.638,6.70473333333,9.63526666668,4.89026666667,8.25773333333,21.0145333333,8.19433333333
449.98,7.1616,27.9306666667,19.0896666667,10.9905333333,5.68933333333,6.7606,9.67986666667,4.92853333333,8.2838,21.0654666667,8.23059999999
450.33,7.1922,27.9376666667,19.1564,11.0254,5.70046666667,6.76693333333,9.70573333335,4.94033333333,8.29093333333,21.1164666667,8.25680000001
450.69,7.24266666667,27.9842666667,19.2331333333,11.0999333333,5.76026666667,6.8168,9.75580000001,4.977,8.319,21.1949333333,8.31053333334
451.04,7.21933333333,27.9357333333,19.2390666667,11.071,5.73966666667,6.78166666667,9.71493333333,4.936,8.28626666667,21.2034,8.27260000001
451.40,7.19013333333,27.904,19.2436666667,11.0787333333,5.7274,6.76546666667,9.68546666668,4.89933333333,8.26746666667,21.2205333333,8.24593333334
451.75,7.18593333333,27.9066,19.2906,11.1082666667,5.74366666667,6.7736,9.68966666667,4.91586666667,8.26986666667,21.2634666667,8.27126666666
452.10,7.23386666667,27.9156,19.3532666666,11.1545333333,5.77946666667,6.8186,9.74106666665,4.9588,8.30773333333,21.3162,8.30606666666
452.46,7.1818,27.8474,19.3322,11.1298666667,5.73166666667,6.78313333333,9.69186666667,4.89953333333,8.24873333333,21.2718,8.24206666666
452.81,7.17313333333,27.8326,19.3591333333,11.1393333333,5.73726666667,6.7808,9.70419999999,4.90433333333,8.248,21.2926,8.24193333334
453.17,7.16466666667,27.8094666667,19.3792,11.1614,5.7358,6.78053333333,9.70586666665,4.90126666667,8.24313333333,21.3094,8.24119999999
453.52,7.1594,27.8372666667,19.4463333333,11.1628666667,5.7368,6.78046666667,9.70893333333,4.8846,8.24446666667,21.3358666667,8.24559999999
453.87,7.15006666666,27.8570666667,19.4866666667,11.1658,5.71586666667,6.76186666667,9.71593333333,4.8644,8.22313333334,21.3626,8.231
454.23,7.09586666667,27.8346,19.4702,11.1342666667,5.6916,6.73573333333,9.68706666668,4.819,8.20386666667,21.333,8.1852
454.58,7.07933333333,27.8359333333,19.5166,11.1552666666,5.68526666667,6.75293333333,9.69233333333,4.82606666667,8.22213333333,21.3495333333,8.18926666666
454.93,7.1132,27.8852,19.5720666667,11.2097333333,5.71153333333,6.80246666667,9.74739999999,4.86453333333,8.26926666667,21.3956,8.23513333334
455.29,7.0974,27.9085333333,19.5903333333,11.2133333333,5.68673333333,6.78826666667,9.75493333335,4.8418,8.25813333333,21.4126,8.2054
455.64,7.0636,27.9064,19.5658666667,11.1927333333,5.64206666667,6.7568,9.75073333333,4.7858,8.22793333333,21.389,8.14219999999
456.00,7.04953333333,27.9359333333,19.5715333333,11.1876,5.6152,6.71233333333,9.74646666667,4.74606666667,8.20633333334,21.3772666667,8.09480000001
456.35,7.07053333333,28.0073333333,19.5888,11.2323333333,5.6376,6.7226,9.80693333335,4.75033333333,8.25613333333,21.4254666667,8.09926666666
456.70,7.1248,28.0996,19.6228666667,11.3033333333,5.68993333333,6.75473333333,9.89306666667,4.779,8.32793333333,21.4816,8.13466666667
457.06,7.1706,28.1926666667,19.6413333333,11.3532,5.72193333333,6.77613333333,9.98073333333,4.80873333333,8.38019999999,21.512,8.14493333333
457.41,7.1862,28.2603333333,19.6222,11.3916666667,5.724,6.77213333333,10.0338666667,4.80873333333,8.41306666667,21.55,8.12066666667
457.76,7.20446666667,28.3316666667,19.6116,11.429,5.7452,6.76586666667,10.0886,4.8146,8.45693333334,21.5597333333,8.1286
458.12,7.2412,28.3677333333,19.6147333333,11.4718,5.76586666667,6.78413333333,10.1501333333,4.83046666667,8.48746666667,21.5692,8.13499999999
458.47,7.2264,28.3978,19.5838,11.4687333333,5.7506,6.73653333333,10.1664,4.7926,8.48046666667,21.5458666667,8.09246666667
458.82,7.24253333333,28.4494666667,19.5892666667,11.4964666667,5.769,6.73993333333,10.2126,4.79626666667,8.49746666667,21.5494666666,8.08266666667
459.18,7.29406666667,28.533,19.6148666667,11.5564,5.80633333333,6.77306666667,10.2768,4.82413333333,8.5464,21.5724666667,8.11093333333
459.53,7.33866666667,28.5969333333,19.6524666666,11.6028666667,5.8414,6.80453333333,10.3419333333,4.85733333333,8.60606666667,21.6033333333,8.14053333332
459.88,7.33026666667,28.6443333334,19.6593333333,11.6164,5.8418,6.81926666667,10.3779333333,4.85313333334,8.62786666666,21.6236666667,8.13986666667
460.24,7.33406666667,28.6743333333,19.6836666667,11.6324,5.84826666667,6.82846666667,10.4104666667,4.8518,8.64633333333,21.6266,8.14806666666
460.59,7.3454,28.7216666667,19.7214,11.6511333333,5.84066666667,6.84,10.4316666667,4.85813333333,8.66106666666,21.6335333333,8.12899999999
460.94,7.3508,28.7667333333,19.7497333333,11.6686666667,5.83946666667,6.8546,10.4561333333,4.8452,8.67773333334,21.6448,8.11866666667
461.29,7.34326666666,28.7889333333,19.7770666667,11.6762666667,5.82393333333,6.8556,10.48,4.81666666667,8.6846,21.6349333333,8.11113333333
461.65,7.341,28.817,19.8098666667,11.6752666667,5.7998,6.8682,10.4887333333,4.80073333333,8.69066666666,21.6203333334,8.07946666667
462.00,7.37246666667,28.9526,19.9123333333,11.7278666666,5.81226666667,6.91253333333,10.5424,4.80473333333,8.73753333333,21.6814,8.08839999999
462.35,7.41413333333,29.0384666667,20.0000666667,11.7614,5.83226666667,6.97546666667,10.6163333333,4.82446666667,8.79733333334,21.7382,8.11526666667
462.71,7.43886666667,29.1398,20.0802666667,11.8064,5.84486666667,7.01686666667,10.6656666667,4.83413333333,8.85066666666,21.7756,8.12053333333
463.06,7.46666666667,29.257,20.1674,11.8386666667,5.87993333333,7.0744,10.7501333333,4.84346666667,8.90886666666,21.8256,8.14873333334
463.41,7.49866666667,29.383,20.2498666667,11.8787333333,5.86833333333,7.10033333333,10.7962666667,4.83813333333,8.94586666666,21.8604666667,8.14240000001
463.76,7.53966666666,29.5076666667,20.3278666667,11.9342666667,5.8918,7.13873333333,10.8579333333,4.845,9.01906666666,21.8941333333,8.13813333333
464.12,7.632,29.6698666667,20.4449333333,12.031,5.96846666667,7.25106666667,10.9798,4.9106,9.12279999999,21.9724666667,8.18299999999
464.47,7.67326666667,29.7958,20.5116666666,12.0854666667,6.01253333333,7.31133333333,11.0571333333,4.92886666667,9.20206666665,21.9938666667,8.21153333334
464.82,7.72353333333,29.9166,20.6061333333,12.1472,6.06486666667,7.3782,11.142,4.955,9.29666666666,22.0368,8.24053333334
465.17,7.82226666667,30.101,20.7201333333,12.2470666667,6.13166666667,7.47326666667,11.2614,5.02726666667,9.41406666667,22.1117333333,8.30006666667
465.53,7.87126666667,30.2308,20.7949333333,12.3259333333,6.18613333333,7.5234,11.3658,5.0514,9.49859999999,22.181,8.33646666667
465.88,7.90993333333,30.333,20.8201333333,12.3610666667,6.21033333333,7.55733333333,11.4507333333,5.07286666667,9.56766666667,22.1982,8.34213333334
466.23,7.93793333333,30.4656666667,20.8758,12.419,6.22273333333,7.58713333333,11.5030666667,5.06486666667,9.60760000001,22.207,8.33846666666
466.58,7.96326666667,30.5656666667,20.9119333333,12.4401333333,6.22093333333,7.6218,11.567,5.0472,9.65593333333,22.2438,8.33253333334
466.94,7.94673333333,30.6284666666,20.9240666667,12.4490666667,6.17766666667,7.60753333333,11.5767333333,5.003,9.68026666668,22.2248666667,8.28733333333
467.29,7.94753333333,30.7174,20.9506666667,12.4867333333,6.20373333333,7.63566666667,11.6525333333,5.00626666667,9.74533333334,22.257,8.28799999999
