wavelength,Back_OreFram,Belly_OreFram,Breast_OreFram,Crissum_OreFram,Crown_OreFram,DorTail_OreFram,Patch10_OreFram,Rump_OreFram,Throat_OreFram,WingTip_OreFram
603.56,10.1833333334,11.4988333333,11.0444166667,10.92475,9.12650000001,10.7922592593,40.411,14.309,11.1348333333,10.6686666667
603.89,10.1891666667,11.5305833333,11.09575,10.9685,9.14066666666,10.8124907407,40.4268333334,14.32975,11.1754166667,10.6739166667
604.23,10.17825,11.5271666667,11.0859166667,10.9465,9.12908333333,10.7934722222,40.3530833333,14.2980833333,11.1746666666,10.6500833333
604.56,10.1596666667,11.54025,11.0950833333,10.9604166667,9.11608333334,10.8209074074,40.3550833334,14.2895833333,11.1971666667,10.6576666667
604.90,10.1596666667,11.53675,11.100625,10.9658333333,9.10983333333,10.819412037,40.3335833333,14.26925,11.2126666666,10.638
605.23,10.1630833334,11.5743333334,11.136375,11.0113333333,9.14158333333,10.8381805556,40.3600833333,14.2999166667,11.237,10.6710833333
605.57,10.1298333333,11.5628333333,11.1285416667,10.9989166667,9.11183333334,10.8036296296,40.3411666667,14.2531666667,11.2464166667,10.64325
605.90,10.0965,11.5834166666,11.1662083333,11.024,9.10150000001,10.7935092593,40.3703333334,14.235,11.265,10.6378333333
606.24,10.098,11.6346666667,11.2167916667,11.06525,9.11641666666,10.803462963,40.3598333333,14.2405833333,11.29725,10.6401666667
606.58,10.07775,11.6534166667,11.21575,11.1020833333,9.10816666667,10.7883287037,40.32475,14.2135,11.3226666667,10.6245
606.91,10.0931666667,11.6649166667,11.251375,11.1620833333,9.10858333333,10.7950694444,40.33525,14.20875,11.35575,10.6415
607.25,10.0741666667,11.6935833334,11.2777916667,11.1714166667,9.11866666666,10.8081203704,40.3235833334,14.1790833333,11.3801666667,10.6473333333
607.58,10.0413333333,11.7079166667,11.29625,11.1980833333,9.101,10.8120416666,40.2711666667,14.1365,11.39675,10.6569166667
607.92,10.04725,11.75725,11.34525,11.2744166667,9.09558333334,10.8536018519,40.3139166667,14.13125,11.4324166666,10.6920833333
608.25,10.0379166667,11.7846666667,11.36375,11.31975,9.08808333333,10.8494537037,40.3350833333,14.1115833333,11.4554166667,10.70425
608.59,10.0313333333,11.83,11.3999583333,11.3810833334,9.07716666667,10.8457777778,40.3799166667,14.1235,11.4878333333,10.7434166667
608.92,10.0115833333,11.8430833334,11.4030833333,11.4053333333,9.03549999999,10.8652361111,40.4025833333,14.0839166667,11.4996666667,10.7356666666
609.26,9.99366666666,11.86875,11.4232916667,11.4516666667,9.013,10.879375,40.4093333333,14.0546666667,11.51375,10.7520833334
609.59,9.94925,11.8545,11.410625,11.44425,8.97758333332,10.8797777778,40.3611666666,14.0291666667,11.48025,10.7440833333
609.93,9.95608333332,11.8763333333,11.4442083333,11.50975,9.02183333334,10.9172361111,40.3831666667,14.0199166667,11.5229166666,10.778
610.26,9.98741666665,11.9231666667,11.5147916666,11.5898333333,9.06916666667,10.9706898148,40.3996666666,14.04425,11.5685833334,10.8318333333
610.60,9.98600000002,11.9875833333,11.545375,11.6235833333,9.08549999999,10.9852638889,40.4025,14.0478333333,11.59425,10.8418333333
610.93,10.04475,12.0848333333,11.6355416667,11.7445833333,9.14133333334,11.0543425926,40.4416666667,14.0988333333,11.6891666667,10.9116666667
611.27,10.0423333333,12.1039166667,11.6402083333,11.7648333333,9.14083333334,11.0524027778,40.4705,14.1018333333,11.6960833333,10.91925
611.60,10.015,12.1175,11.65175,11.794,9.13391666666,11.0425416666,40.47125,14.07125,11.7205833333,10.9105833334
611.93,9.98099999999,12.1311666667,11.673625,11.792,9.12516666667,11.0141157408,40.3745,14.0294166667,11.7214166667,10.892
612.27,9.97233333333,12.1351666667,11.6839583333,11.802,9.14008333333,11.0199166667,40.2730833333,14.0075833334,11.7303333333,10.8659166667
