wavelength,Back_SalSimm,Belly_SalSimm,Breast_SalSimm,Crissum_SalSimm,Crown_SalSimm,DorTail_SalSimm,Patch10_SalSimm,Patch11_SalSimm,Patch12_SalSimm,Patch13_SalSimm,Rump_SalSimm,Throat_SalSimm,WingTip_SalSimm
219.72,-522.0514,-544.102533333,-345.384633333,-593.846066667,-517.948666667,-611.281933333,-647.1796,-527.692266667,-438.4616,-490.256266667,-611.282066667,-432.820533333,-444.102533333
220.10,-284.2106,-297.8948,-161.7544,-340.701533333,-289.824533333,-337.5436,-353.684,-290.1754,-221.0528,-259.649133333,-336.491266667,-232.982466667,-231.579033333
220.47,-380.0,-380.833333333,-226.458333333,-402.083333333,-366.25,-447.5,-450.416666667,-360.0,-305.0,-333.333333333,-427.083333333,-324.166666667,-320.208333333
220.85,-629.333333333,-585.333333333,-373.333333333,-612.0,-584.0,-744.666666667,-727.333333333,-601.333333333,-511.333333333,-520.0,-670.666666667,-509.333333333,-493.666666667
221.23,-1398.66666667,-1241.33333333,-902.000000001,-1248.0,-1277.33333333,-1590.66666667,-1560.0,-1277.33333333,-1181.33333333,-1129.33333333,-1424.0,-1122.66666667,-1062.66666667
221.61,7800.0,6973.33333333,4956.66666667,6460.0,7026.66666667,8520.00000001,8160.0,6780.0,6586.66666667,6100.0,7773.33333333,5840.0,6003.33333333
221.98,2520.0,2248.88886666,1475.5556,1946.6666,2217.7778,2708.88886667,2640.00006667,2188.88886667,1997.77786667,1928.88893333,2451.11113333,1828.88893333,2036.6666
222.36,928.333333333,771.666666667,567.083333333,669.166666667,773.333333333,999.166666666,958.333333333,815.833333334,680.833333333,690.0,897.499999999,630.0,746.25
222.74,672.666666667,518.0,392.333333334,426.666666667,540.0,716.0,656.0,576.0,475.333333333,503.333333333,630.0,429.333333333,522.666666667
223.11,-693.333266667,-490.4762,-341.428566667,-361.904666667,-556.190466667,-799.047733334,-680.9524,-583.809533333,-463.809533333,-536.1904,-617.142733333,-347.619,-514.2857
223.49,-960.000000001,-600.0,-508.666666667,-449.333333333,-724.0,-1044.0,-878.666666667,-804.0,-512.0,-715.999999999,-799.999999999,-465.333333333,-627.999999999
