wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
395.68,13.1641333333,9.53612500002,7.35466666666,8.68773333333,13.1166,8.48406666667,10.3206666667,10.6145333333,27.0181333333,12.3962666666,27.7675333333,7.82613333334,9.6834
396.04,13.1954666667,9.51304166667,7.37400000001,8.65006666667,13.1542666667,8.52566666667,10.3391333333,10.6490666666,27.0693333333,12.3916,27.8677333333,7.82313333334,9.73959999999
396.40,13.1938666667,9.49262500001,7.32146666667,8.58246666667,13.1803333333,8.56093333333,10.3243333334,10.6590666667,27.0585333333,12.3337666667,27.8538,7.79040000001,9.74273333333
396.76,13.1342,9.40491666668,7.26319999999,8.51453333333,13.1494,8.5476,10.2996666667,10.6032,27.0874,12.2213666667,27.8922666667,7.73753333333,9.71213333333
397.12,13.1517333333,9.41041666667,7.27260000001,8.46286666667,13.1714666667,8.60546666667,10.3334666667,10.634,27.1152,12.1941,27.9344,7.7624,9.78066666667
397.48,13.1796,9.35216666668,7.27200000001,8.41606666666,13.1883333333,8.64473333334,10.3605333333,10.6760666667,27.1504,12.1583,27.9616,7.7566,9.81386666667
397.84,13.1261333333,9.26404166666,7.16693333334,8.31506666667,13.1412666667,8.61326666667,10.2881333333,10.6182666667,27.1555333333,12.0305333334,27.9577333333,7.66186666667,9.75980000001
398.20,13.1262,9.23649999998,7.15839999999,8.2942,13.1283333333,8.66113333334,10.3154,10.6375333333,27.1686666667,11.9555,27.9509333333,7.65093333334,9.78406666667
398.56,13.1984,9.28137499999,7.22046666666,8.34959999999,13.224,8.74913333334,10.4167333333,10.7475333333,27.2551333333,12.0187333333,28.0638,7.72686666667,9.85166666666
398.92,13.1759333333,9.25595833332,7.22166666667,8.32313333333,13.2398666667,8.75833333333,10.412,10.7528666667,27.2998666667,11.9641666667,28.0828666667,7.69146666667,9.83413333333
399.28,13.1927333333,9.26283333333,7.21113333333,8.29899999999,13.2486666667,8.73719999999,10.4139333333,10.7748,27.3336,11.9071666667,28.1422666667,7.68573333333,9.84933333333
399.64,13.1478666667,9.20858333333,7.14846666667,8.21486666667,13.205,8.71446666667,10.3634666667,10.7656666667,27.318,11.8409,28.13,7.63919999999,9.80733333333
400.00,13.1699333333,9.19566666666,7.1674,8.20473333333,13.2382,8.73313333333,10.3864,10.7672666667,27.3164,11.8100333333,28.1620666667,7.64746666667,9.80699999999
400.36,13.1464,9.11104166665,7.1486,8.145,13.2252666667,8.70886666667,10.3559333333,10.7526666667,27.2972,11.7542666667,28.1788,7.61953333334,9.77186666667
400.72,13.1586666667,9.07704166667,7.10886666667,8.0988,13.2350666667,8.72579999999,10.3674,10.7950666667,27.2658666667,11.7224,28.1635333333,7.59559999999,9.75600000001
401.08,13.1006666667,8.95350000001,7.00913333333,7.99826666667,13.1792,8.6464,10.3054,10.7241333333,27.1854666667,11.6145666667,28.09,7.50386666667,9.64213333333
401.44,13.0688666667,8.87841666667,6.94186666667,7.92046666667,13.1598,8.61406666667,10.2688666667,10.6727333333,27.1630666667,11.5418666667,28.0791333333,7.45453333334,9.58013333333
401.80,13.0446,8.81545833333,6.94146666666,7.8554,13.1725333333,8.5716,10.2743333333,10.6338,27.1401333333,11.5066,28.0778666667,7.43560000001,9.56439999999
402.16,13.0360666667,8.76208333334,6.9126,7.78673333333,13.1900666667,8.54093333333,10.264,10.6234,27.1447333333,11.4899666667,28.1221333333,7.40079999999,9.54306666667
402.52,12.9803333333,8.68320833333,6.82993333334,7.6702,13.1357333333,8.46846666666,10.1968,10.538,27.123,11.3996666667,28.0916666667,7.30486666667,9.47513333333
402.88,12.9946666667,8.64604166666,6.79186666667,7.58106666667,13.1224,8.4646,10.1724,10.5108,27.099,11.3563333333,28.0739333333,7.2572,9.45773333333
