wavelength,Back_TanCyom,Belly_TanCyom,Breast_TanCyom,Crissum_TanCyom,Crown_TanCyom,DorTail_TanCyom,Patch10_TanCyom,Patch11_TanCyom,Patch12_TanCyom,Patch13_TanCyom,Rump_TanCyom,Throat_TanCyom,WingTip_TanCyom
230.65,-13.34025,-11.6948333333,-6.89774999999,-11.9749166667,-10.06425,-11.3095416667,-11.5545833333,-10.9943333333,-9.03358333334,-19.7830833333,2.41608333333,-13.6555,-14.54825
231.02,-4.01841666667,-2.30558333333,0.395250000001,-4.08416666667,-0.0754047619025,-1.943375,-1.77858333333,-2.23975000001,0.724583333333,-10.2438333333,10.8695,-4.05141666667,-5.615875
231.40,-2.78966666667,-1.20066666667,-0.688541666667,-3.88400000001,0.620511904763,-0.547333333333,-1.02408333333,-0.494333333343,-0.670916666674,-9.95783333332,12.7118333333,-5.72033333334,-5.13754166667
231.78,3.74658333334,8.08824999999,7.79058333334,4.90200000001,7.3979047619,7.52804166666,7.70308333333,7.633,4.51674999999,-2.69608333333,20.2381666666,1.75058333333,3.65875
232.15,7.443,13.0698333333,12.820375,9.22358333332,10.2513333333,11.2534166667,12.3219166667,12.2151666667,8.29775000001,1.70941666667,24.0029166667,6.90883333333,7.88816666667
232.53,6.77575000001,13.6683333333,13.2399583333,9.50158333334,10.1915,9.20945833332,10.98125,11.9549166666,9.07333333333,-0.389249999983,24.3769166667,7.86616666666,6.77566666668
232.90,4.38141666667,11.16825,8.52654166668,7.17333333333,7.59698809524,6.2715,8.07558333333,10.0085833333,4.98283333332,-3.56516666668,23.8831666666,3.39358333334,2.38395833334
233.28,9.15008333334,17.0751666667,11.8466666667,11.4789166667,11.6188690476,11.2745,12.9494166667,14.7059166667,9.06875,2.53258333334,27.7779166667,8.33316666667,5.923375
233.66,11.9615833333,19.338,13.7362083333,13.2774166667,14.1148690476,12.9785,16.8660833333,16.0285833333,10.0079166667,5.06391666667,29.8245,10.56625,8.07437500001
234.03,12.59425,18.8914166667,15.931375,13.42375,15.7024642857,13.8764583333,17.4961666667,15.573,10.4825,6.14641666666,31.2971666666,12.66975,9.50216666666
234.41,12.2245833333,17.47425,15.7489166667,12.6651666667,14.5164642857,11.9675416667,16.5931666667,12.0410833334,8.14983333334,5.72683333335,30.80025,11.0865,8.663875
234.78,14.9511666667,19.3626666667,17.8397083333,15.2309166667,15.7363452381,15.1261666667,18.2074166667,13.2353333333,10.189,9.17375,32.1078333333,13.4804166667,10.766875
235.16,10.8998333333,14.95575,14.7179583333,12.2305,12.1038214286,10.2186666667,13.0228333333,10.488,6.43208333334,7.858,26.7109166667,9.88574999999,8.98283333333
235.54,11.3201666667,14.994,15.81525,12.81375,12.6088214286,9.91633333332,12.66425,10.9019166667,6.92941666666,8.27366666665,25.8065,11.1110833333,11.42475
235.91,10.8773333333,11.3743333333,14.1520416667,11.0526666667,11.5539285714,8.42112499999,10.6140833333,9.29841666667,6.78358333334,7.0175,24.4151666667,8.71358333334,10.1315416667
236.29,10.5629166667,9.55975,13.1549166667,10.2565,9.73491666667,7.56695833332,8.97433333334,8.44483333333,6.29883333333,5.49058333333,23.1046666667,7.27424999999,10.8694166667
236.66,12.3064166667,11.4294166667,16.08625,13.1320833333,11.842047619,10.835875,11.8679166667,12.20325,9.18475000001,8.02366666668,25.5675833333,9.23641666668,13.2225416667
