wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
346.35,5.25693333333,19.3880666667,8.36373333333,7.886,5.32153333333,6.7584,8.24486666667,4.865,5.96173333333,11.1079333333,6.08773333333
346.72,5.25426666667,19.4464666667,8.3984,7.93473333333,5.3206,6.766,8.2246,4.91366666667,5.92506666667,11.1368666667,6.1816
347.08,4.94406666667,19.2751333333,8.12713333333,7.67173333333,4.9832,6.46766666667,7.9972,4.61606666666,5.66166666666,10.868,5.912
347.45,5.08053333333,19.5216,8.31273333333,7.84726666667,5.11866666667,6.6188,8.1416,4.8052,5.79693333333,11.0555333333,6.06493333333
347.81,5.19086666667,19.7164,8.43433333333,8.00973333333,5.20046666667,6.69406666667,8.243,4.93253333333,5.86,11.2089333333,6.1712
348.18,5.31793333333,19.9110666666,8.6056,8.203,5.3288,6.8182,8.40373333333,5.12553333333,6.032,11.4280666667,6.33973333333
348.54,5.38213333334,20.1317333333,8.7088,8.3368,5.3664,6.9784,8.466,5.16566666667,6.09993333333,11.5642666667,6.43946666667
348.91,5.22673333333,20.1536666667,8.5886,8.24213333333,5.23646666667,6.8072,8.38146666667,5.0062,5.89886666667,11.6051333333,6.2936
349.27,5.21733333333,20.1849333334,8.6116,8.2176,5.23786666667,6.77666666667,8.33353333333,5.00213333333,5.8724,11.5792,6.29426666667
349.64,5.20653333333,20.2129333333,8.65773333334,8.2244,5.27633333333,6.74973333333,8.3604,5.00406666667,5.8576,11.6059333333,6.29353333333
350.00,5.1942,20.281,8.6928,8.1714,5.23513333333,6.72546666667,8.3708,5.0226,5.81746666667,11.6134666667,6.25706666667
350.37,5.06006666667,20.2028,8.52286666667,8.0154,5.04573333333,6.51026666667,8.19453333333,4.87966666667,5.60433333333,11.4998,6.08786666667
350.73,5.09693333333,20.2152666667,8.519,8.0072,5.03293333333,6.45986666666,8.24813333333,4.87006666667,5.60766666667,11.4964,6.007
351.10,5.1174,20.3098,8.5504,7.99533333333,5.02,6.53513333333,8.2548,4.88613333333,5.56566666666,11.5504666667,5.99413333333
351.46,5.02106666667,20.2473333333,8.44173333333,7.87233333333,4.9148,6.41233333333,8.1642,4.7224,5.43646666667,11.4962666667,5.9068
351.83,4.88773333334,20.094,8.333,7.75166666667,4.73113333333,6.2756,8.03353333333,4.54886666667,5.32046666667,11.3978,5.78013333333
352.19,4.77346666667,20.0923333333,8.1502,7.55686666667,4.55873333333,6.1112,7.83266666667,4.3556,5.166,11.3165333333,5.599
352.55,4.6492,20.0321333333,8.10633333333,7.4828,4.47146666666,5.99386666667,7.72,4.286,5.02866666667,11.2104666667,5.4494
352.92,4.74286666667,20.0692,8.196,7.5394,4.5332,6.11453333333,7.79353333334,4.43006666667,5.14646666667,11.2327333333,5.55213333333
353.28,4.71066666667,20.1614666667,8.22666666667,7.5596,4.45273333333,6.12046666667,7.841,4.4528,5.1648,11.3222,5.50806666667
353.65,4.78186666667,20.2585333333,8.24513333334,7.5314,4.44126666667,6.12713333333,7.89106666667,4.55546666667,5.16473333333,11.3432,5.46233333333
354.01,4.84706666667,20.2310666667,8.20826666667,7.55073333333,4.4482,6.0988,7.881,4.53853333333,5.1818,11.3807333333,5.3986
354.38,4.87486666667,20.3217333333,8.28406666667,7.57706666667,4.49506666667,6.1608,7.90206666667,4.5596,5.18686666667,11.4048,5.37433333333
354.74,4.72366666667,20.2459333333,8.17306666666,7.47986666667,4.40033333333,6.13153333333,7.76913333333,4.4574,5.0904,11.2990666667,5.25566666667
355.11,4.69673333333,20.293,8.16633333334,7.4706,4.43293333333,6.05446666667,7.75006666667,4.42766666667,5.1056,11.2820666667,5.25773333333
355.47,4.56793333333,20.2504,8.04593333333,7.34033333333,4.30613333333,5.9572,7.60833333334,4.32033333333,4.99313333333,11.123,5.05346666667
355.83,4.5422,20.3591333333,8.033,7.33086666667,4.3192,5.95373333333,7.55,4.2612,4.97333333333,11.071,5.08866666667
