wavelength,Back_ThrSayf,Belly_ThrSayf,Breast_ThrSayf,Crissum_ThrSayf,Crown_ThrSayf,DorTail_ThrSayf,Patch10_ThrSayf,Patch11_ThrSayf,Rump_ThrSayf,Throat_ThrSayf,WingTip_ThrSayf
194.37,8.68413333335,41.228,22.0176333333,23.2456666667,17.1053333333,19.1228,39.8245333334,49.9123333333,23.7895866667,19.5613333333,17.0550761905
194.75,12.1296666667,46.8518666667,24.6758666667,26.1111333333,20.1851333333,19.4445333333,47.0369333334,56.7591333333,27.4075066667,21.1110666667,21.9179523809
195.13,11.1711333333,41.1712000001,15.991,17.6576,19.2792666667,13.7838,42.1620666666,53.2432,21.45932,17.5674,19.047647619
195.51,5.67566666666,37.1170666667,10.7658333333,14.9550666667,11.1712,10.2702,37.3874666667,46.3062666667,15.8918533333,13.1532,9.18916190476
195.89,10.6838,37.8633333333,12.6923333333,19.5727333333,13.5898,16.3248666667,35.8119333333,50.9401333333,18.9572933333,19.4017333333,6.83768571426
196.27,4.64140000002,29.9578,11.3923666667,13.3333333333,8.01680000001,14.346,31.0548,46.5822,13.9578533333,13.3333333333,-0.42205714286
196.65,-9.31026666665,28.161,3.21853333332,10.6896,-8.39080000001,11.954,25.6321333334,43.5630666667,4.18386666666,1.26433333332,-17.5531904762
197.03,-28.5507333333,7.39126666661,-9.49266666668,-2.029,-24.6377333333,4.78273333333,15.5075333334,31.5941333333,-16.8406,-21.5941333334,-39.5859904762
197.40,-56.9229333334,-5.64113333339,-19.1453,-19.1454,-44.9572666667,-12.3076,-1.88039999993,22.0513333333,-40.4787333333,-40.8545333333,-51.9168476191
197.78,-98.3908,-26.2069333334,-46.2068333333,-42.7586666667,-63.2184000001,-28.5058666667,-36.7815999999,14.0230666666,-75.5862666666,-65.5172666665,-79.9672285715
198.16,-112.533333333,-39.2,-51.2000000001,-36.5333333333,-73.3333333333,-26.9333333333,-52.5333333333,18.1333333333,-85.1200000001,-71.7333333335,-91.2000000001
198.54,-68.8889333333,-12.1212666667,-14.7473333333,-3.63626666667,-42.8283333333,-6.86866666665,-37.5759333333,30.303,-51.3938933333,-32.5251333334,-61.9625809523
198.92,-67.6768,-16.1616666666,-23.2323000001,2.22213333335,-43.0302666667,-3.43419999999,-49.0908666666,30.3030666667,-58.98992,-37.3736666666,-63.896152381
199.30,-66.8964666667,2.98859999994,-0.68966666666,18.8506,-37.0116000001,-2.75873333333,-45.7472000001,39.7702,-55.3102933334,-29.1953333333,-51.3628571429
199.68,-48.5416666666,11.4583333334,9.27083333328,31.25,-19.375,-10.8333333333,-34.3750000001,46.0416666667,-38.6666666667,-9.58333333326,-32.3511904762
200.06,-24.9333333333,10.1333333333,18.2666666666,23.4666666667,-2.93333333331,-0.666666666674,-16.4,32.5333333334,-18.9066666667,2.66666666665,-12.5333333333
200.44,-1.48153333335,15.7407333333,22.5925333333,31.6667333333,7.22219999998,14.1666,0.092600000006,35.4629333333,-0.296226666672,14.2594,8.66404761904
200.82,12.5170666667,23.1972666667,26.1224,37.1428,16.1906,25.8503333333,9.59179999999,36.8025333333,10.5714666667,23.7416,17.035847619
201.19,18.289,24.5427333333,30.2065,33.8642,17.8170666667,30.3245333333,13.9232666667,34.0413333333,14.9852666667,27.3154,16.9994761905
201.57,22.6042,28.698,34.7134333333,35.2083333333,22.9688666667,31.0938666667,17.5000666667,34.8436,19.6771733333,28.4374,21.1608571429
