wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
762.26,10.83825,20.2156666667,15.7735416667,18.4609166667,35.7335,11.4139583333,6.0775,11.10575,14.16425,13.6474166667
762.57,11.2756666667,20.2765833333,16.038125,18.7648333333,35.928,11.5815833334,6.4465,11.3020416667,14.3138333334,14.0390833333
762.88,11.28625,20.2405833333,16.2113333333,18.79225,36.0481666667,11.5780833333,6.38925,11.2949166667,14.3151666667,13.9665833333
763.20,11.3233333333,20.1523333333,16.2825,18.87625,36.0456666667,11.5627916667,6.45425,11.333,14.3374166667,14.0045833333
763.51,11.50125,20.2198333333,16.3888333334,18.8604166666,36.09225,11.708125,6.57925,11.4480416667,14.3995833333,14.13
763.82,11.5281666667,20.2374166667,16.3211666667,18.8375,36.0836666667,11.691375,6.56683333333,11.4500416667,14.31625,14.0865833333
764.14,11.4684166667,20.2139166667,16.158125,18.7846666667,36.1206666667,11.6089583333,6.5155,11.2695416666,14.2486666667,13.9341666667
764.45,11.4445833333,20.2123333333,16.038375,18.748,36.33475,11.5189583333,6.58616666667,11.3152916667,14.1728333333,13.7748333333
764.76,11.4488333333,20.0959166667,16.060875,18.6034166667,36.2455833333,11.3510416667,6.43441666667,11.0965,14.0428333333,13.7293333333
765.07,11.6640833333,20.28025,16.1897916667,18.8076666667,36.7555,11.513375,6.562,11.2409166667,14.2584166667,13.9753333333
765.39,11.6323333333,20.09675,16.0926666667,18.7875833333,36.5965833333,11.35475,6.554,11.1566666667,13.9444166667,13.8379166667
765.70,12.09875,20.4895,16.4933333334,19.3431666667,36.8780833333,11.8894583333,6.94341666666,11.6232916667,14.2938333333,14.1305
766.01,12.11675,20.6166666667,16.4379166667,19.2535833333,36.9925833333,11.9470833333,6.97008333333,11.8244583333,14.29475,13.9010833333
766.32,12.0451666667,20.4679166667,16.20075,18.9901666667,36.8761666667,11.9350833333,6.9735,11.7532083333,14.0495833333,13.7750833334
766.64,12.1210833333,20.6734166666,16.308,19.0908333333,37.2458333333,12.2271666667,7.2355,11.90725,14.229,14.05725
766.95,11.9805,20.7105833333,16.2630416667,19.071,37.2789166667,11.8997083333,7.11883333334,11.82075,14.1075833333,13.9743333333
767.26,11.8335,20.7616666667,16.0312083333,18.8078333333,37.6045833333,11.6093333333,7.06625,11.827875,14.0334166666,13.79825
767.57,11.0588333333,19.83575,15.286625,18.0045833333,37.01825,10.4737916667,6.37991666667,11.3034166667,13.10775,13.0770833333
767.88,10.7454166667,19.6628333333,15.1293333333,18.01675,36.8268333333,10.26175,6.1225,11.3078333333,12.7940833333,13.0743333333
768.20,10.709,19.7246666667,15.036125,18.2343333334,36.9965,10.4450833334,6.3555,11.480625,12.7760833333,13.1008333333
768.51,10.2303333333,19.4471666667,14.8619166666,17.99825,36.6164166667,10.1485833334,5.99241666667,11.1536666667,12.3325,12.7219166667
768.82,10.1633333333,19.49725,14.7960833333,17.6970833333,36.53575,10.077875,5.94758333333,11.029125,12.35675,12.81
