wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
616.95,10.8288666667,20.2004333334,18.0276,20.9258985621,20.0860666667,10.5893666667,21.5524,20.4705333333,15.8432,19.5314666667,9.48453333333
617.28,10.8991333333,20.2852,18.0878666667,21.0192193464,20.1494333334,10.6227333333,21.6776666667,20.5018666667,15.9179333333,19.6345333333,9.53786666665
617.62,10.8966,20.2917333333,18.1418666667,21.0408164706,20.1142,10.5754,21.6866666667,20.5114666667,15.9093333334,19.6038,9.51406666667
617.95,10.8637333333,20.2913666667,18.1486,21.0277213072,20.0990333333,10.5844333333,21.721,20.4732,15.9023333333,19.6033333333,9.50713333333
618.28,10.8054,20.3046666667,18.1272,21.0458650981,20.0563333333,10.5318333333,21.7142666667,20.4794666667,15.9312666667,19.5808,9.48580000001
618.62,10.7934666667,20.3378666667,18.1492666666,21.1228447059,20.0528666667,10.5321666667,21.7636,20.4892666667,15.9368,19.5964,9.48266666667
618.95,10.8327333333,20.4018,18.2186,21.1997040523,20.1521333333,10.5841666667,21.8580666667,20.555,16.0061333333,19.6691333333,9.55693333333
619.28,10.7904666667,20.3829,18.2088666667,21.2029837909,20.1332,10.5884,21.881,20.4687333333,15.9985333333,19.6900666667,9.54366666667
619.62,10.7689333333,20.3370333333,18.1669333334,21.1769181699,20.1079,10.6405333333,21.8133333333,20.4328666667,16.0100666667,19.7176666667,9.57413333334
619.95,10.8029333333,20.3974333333,18.2025333334,21.1699129412,20.1612,10.6153666667,21.8537333334,20.4738,16.0425333333,19.7544,9.62813333332
620.28,10.8777333333,20.4361666667,18.2719333333,21.2603586928,20.2456333334,10.6701666667,21.8939333333,20.5552,16.1082,19.7955333333,9.70613333333
620.62,10.9272666667,20.4838666667,18.2901333333,21.3097461438,20.3115,10.7369666667,21.9275333333,20.6085333333,16.1768,19.8708666667,9.75259999999
620.95,10.9763333333,20.4733,18.2798666667,21.351132549,20.3376666667,10.7383,21.9,20.6100666667,16.2167333334,19.8746,9.75373333333
621.28,10.9357333333,20.4527,18.1938,21.2864972549,20.2530666667,10.6607,21.8467333333,20.5164,16.1767333334,19.8202666667,9.70693333332
621.62,10.9883333333,20.4661333333,18.2329333333,21.2940258824,20.3358333333,10.7010333333,21.8811333333,20.5479333333,16.2491333333,19.8386666667,9.79660000001
621.95,11.0640666667,20.5021,18.2391333333,21.3335845751,20.3414333333,10.7284666667,21.8606,20.5841333333,16.2984,19.8634,9.83326666666
622.28,10.9782666667,20.4167333333,18.1631333333,21.2595647059,20.2443,10.6157333333,21.7773333334,20.5272666667,16.2048,19.7863333333,9.73693333333
622.62,10.8964666667,20.3341,18.1014,21.1968101961,20.1711,10.5439333333,21.6725333334,20.4292666667,16.1078,19.6708,9.65160000001
622.95,10.8238,20.2553666667,18.0670666667,21.1582904575,20.1151,10.4804,21.6223333333,20.3552,16.0834,19.6002,9.59466666665
623.28,10.7948666667,20.216,18.0060666667,21.0912086275,20.0343333333,10.4541,21.5652,20.2896666666,16.0597333333,19.5545333333,9.58140000001
623.62,10.8409333333,20.2214,18.0187333333,21.1141749019,20.0569333333,10.4814333333,21.5758,20.2975333333,16.0626,19.571,9.6544
623.95,10.8298,20.2684666667,18.0631333333,21.0921589542,20.0302333333,10.4620666667,21.5563333333,20.2996,16.0377333333,19.5722,9.69126666665
624.28,10.8631333333,20.2891666667,18.1333333333,21.1507945098,20.0998,10.5449,21.5919333333,20.4075333333,16.0643333333,19.6398666667,9.736
624.62,10.7986,20.2508,18.0732,21.1008271895,19.9972666667,10.4662666667,21.5168,20.3492666667,16.0035333333,19.5839333333,9.65999999999
624.95,10.731,20.2143,18.0295333333,21.0258300654,19.8991666667,10.4350333333,21.4875333334,20.3048666667,15.9327333334,19.5295333333,9.59546666667
625.28,10.8124,20.3125666667,18.1156666667,21.1140222222,19.9501,10.5074,21.5668,20.3748666667,15.9916666667,19.6016,9.6568
625.61,10.8362666666,20.3066,18.1444666667,21.0885333333,19.9415666667,10.4930666667,21.5612,20.3790666667,15.9952666667,19.5965333334,9.65446666666
625.95,10.8355333333,20.2793333333,18.1463333333,21.0901584314,19.9122666667,10.5213333333,21.5331333333,20.3689333333,15.9963333333,19.6225333333,9.63113333333
626.28,10.9017333333,20.3195333333,18.1835333333,21.1073952941,19.9815,10.6114666667,21.5518666667,20.4340666667,16.0328,19.6874,9.64813333334
626.61,10.8578,20.3133,18.1670666667,21.1100980392,19.9421666667,10.581,21.5216666667,20.4067333333,16.0259333333,19.6866,9.59133333333
626.94,10.8840666666,20.3054,18.1616,21.1090013072,19.9216,10.6754333333,21.5389333333,20.4446666667,16.0808666667,19.7022,9.60799999999
