wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
815.37,30.4421666666,53.9681666666,42.9158333333,55.056,30.8012142857,23.5743333333,32.0986666666,28.924,38.8301666667,26.4253333334
815.68,30.3354833333,53.9433333333,42.7173333333,53.9723333334,29.9613571429,22.6253333333,30.1381666667,28.2956666666,38.342,27.087
815.98,32.01295,55.9196666667,44.0516666667,55.7471666667,31.5558333333,24.77,31.4941666666,28.563,39.1381666667,29.9423333333
816.29,31.4921,55.2083333333,43.0741666667,54.5328333333,31.5112857143,24.9436666667,30.4053333334,27.5336666667,38.1475,30.0958333334
816.59,32.367175,54.2421666667,42.6653333333,55.4733333333,32.6961190477,25.1505,31.1165833334,27.3125,37.6575,31.8005
816.89,32.7923583334,54.0791666666,42.8073333334,55.4751666666,33.3485,24.8791666667,30.8104166666,26.6505,37.1441666666,32.4478333333
817.20,32.555325,54.404,41.324,55.6961666667,31.943047619,24.8155,30.472,26.635,37.5528333333,32.8583333334
817.50,33.4313083334,55.3838333333,40.8808333333,57.6508333334,32.7738571428,25.6055,31.7105,27.9238333333,38.1245,33.8228333333
817.81,32.18345,53.907,40.6281666667,56.9483333333,32.1605238095,25.2471666666,30.7985,27.3986666667,37.7103333334,32.8631666667
818.11,32.3788166666,54.3136666667,41.6178333333,58.2351666667,32.6926428571,25.711,31.56875,28.1861666667,37.7448333334,33.1128333334
818.41,33.256025,54.7311666666,42.4155,58.8681666667,33.6492380952,26.2721666667,33.0123333333,29.0536666667,38.8966666666,31.5265
818.72,33.857775,54.8898333333,43.5263333333,58.1266666666,33.9661190476,26.9051666667,32.01325,29.9128333334,39.256,31.8638333334
819.02,33.4878,54.9228333333,43.907,58.4106666667,34.4403095238,27.0201666667,32.638,29.5805,40.066,31.3463333334
819.33,33.298275,55.5003333333,44.6443333334,58.685,33.9801904762,26.9021666667,32.4235,30.6865,40.7981666667,30.6868333334
819.63,32.863625,54.8716666667,44.1393333333,57.9486666667,33.3540952381,26.2268333334,32.2984166666,30.5311666667,39.7435,29.6155
819.93,30.820775,53.8365,43.915,55.6445,31.3184047619,24.827,30.4245,28.9465,38.4588333334,27.3898333333
820.24,29.9417916667,53.579,43.7533333333,55.5203333333,30.0260714286,24.1283333333,29.2659166666,28.2883333333,38.4311666667,27.1261666667
820.54,30.4439833334,53.3598333333,44.4371666667,55.6291666666,30.7226904762,24.631,29.8965,28.2111666667,38.3455,27.7705
820.85,30.210075,53.0388333333,44.654,54.6615,30.5692142858,24.6201666667,30.0176666667,27.7995,38.107,27.6685
821.15,30.427725,52.8721666667,44.7651666667,54.5873333334,30.3152857143,24.5951666667,29.9915833334,27.5726666667,38.0986666667,28.034
821.45,30.613525,53.022,45.0901666666,54.4661666666,30.4099285715,24.8308333333,30.2619166667,27.7826666666,38.4968333333,28.205
821.76,30.5533666666,53.2043333334,45.2128333333,54.5971666666,30.2041190476,24.563,30.07225,27.8496666667,38.488,28.1535
822.06,30.5545166667,52.992,45.2196666666,54.6868333333,30.1818333333,24.3863333333,30.3004166667,27.7525,38.5458333334,28.2431666666
822.36,30.6404666666,53.3476666666,45.227,54.7066666667,30.3486428572,24.8368333333,30.6928333334,28.2398333333,38.6753333333,28.3065
822.67,30.4712666666,53.2971666667,45.3871666667,54.3943333334,30.3038571428,24.5551666667,30.5394166666,28.0866666666,38.5001666667,28.3051666667
