wavelength,Back_TanArgm,Belly_TanArgm,Breast_TanArgm,Crissum_TanArgm,Crown_TanArgm,DorTail_TanArgm,Patch10_TanArgm,Patch11_TanArgm,Rump_TanArgm,Throat_TanArgm,WingTip_TanArgm
775.36,61.4706666667,5.60483333333,4.21583333334,6.97166666666,3.59466666667,6.85183333333,5.087,45.4466666667,53.3551666666,21.8301666667,7.05866666667
775.67,62.2933333333,6.04225,4.41716666667,7.29233333333,4.05383333333,7.00616666666,5.76116666666,46.0341666667,53.8113333333,22.1743333333,7.4135
775.98,62.045,5.98925,4.20266666667,7.258,3.94883333333,6.7285,5.956,46.1395,54.0371666666,22.0936666667,7.4455
776.30,62.2575,7.016,4.795,8.13466666666,4.44233333334,7.53966666666,6.691,46.7481666667,54.8721666667,22.7733333333,8.38866666666
776.61,62.6391666666,8.63366666665,6.025,9.6705,5.85016666667,8.92833333335,8.16416666667,47.839,55.228,24.0448333333,10.0085
776.92,62.6556666666,8.81966666665,6.43733333333,10.0765,6.02183333333,9.02716666665,8.448,47.847,55.2351666667,24.426,10.5246666667
777.23,62.7193333333,9.1395,6.83116666667,10.3506666666,6.11833333334,9.13383333333,8.57466666666,47.9276666666,55.4276666666,24.8681666666,10.8003333333
777.54,63.2446666667,8.95366666665,6.81066666666,10.1553333334,5.93583333334,9.23566666668,8.67133333333,48.1505,55.3598333333,24.8616666667,11.0408333334
777.85,63.2378333333,8.71058333335,6.8575,10.0533333333,6.092,9.40966666669,8.45533333333,48.1913333334,55.8033333333,24.9668333333,10.8521666667
778.16,63.8501666667,10.077,8.12983333334,11.474,7.514,10.858,9.681,48.8448333333,56.3255,26.1718333334,12.1231666667
778.47,63.8925,10.1514166667,8.12333333333,11.6268333333,7.9025,11.2511666667,9.737,49.2705,56.5981666667,26.6801666667,12.3118333333
778.78,64.1008333333,10.6315,8.12133333335,11.8361666667,8.177,11.6243333333,9.69416666668,49.9666666666,57.0726666667,27.0081666666,12.5613333333
779.09,63.9303333333,11.0244166666,7.88266666667,11.4866666666,8.02933333333,11.6666666667,9.38033333332,50.0225,57.3198333333,27.072,12.3875
779.40,63.6665,11.0655833333,6.98183333334,11.1566666667,7.803,11.3848333333,8.84083333333,49.7605,57.2668333334,27.1848333333,12.2063333333
779.71,63.9623333334,11.0089166667,6.91183333334,11.1418333334,7.90566666667,11.408,8.8765,50.1038333333,57.085,27.3115,12.0663333334
780.02,64.2686666667,10.5006666666,6.7445,10.4536666666,7.44183333334,10.9496666667,8.33916666667,50.0473333333,57.7013333333,27.061,11.5993333333
780.33,64.8646666667,10.2684166667,6.55533333333,10.1838333333,7.02716666666,10.728,8.13983333333,50.5685,58.3213333333,26.9955,11.236
780.64,64.2963333333,10.096,6.139,9.64033333333,6.7225,10.71,7.756,50.1701666667,57.841,26.6715,10.7098333333
780.95,63.828,10.4413333334,6.384,9.75883333331,6.89566666666,10.7821666667,7.724,50.2923333333,57.9066666666,26.8151666667,10.4896666667
781.26,64.2265,11.2614166666,7.34516666667,10.8345,7.7355,11.408,8.88233333331,50.8175,58.1505,27.4158333334,11.3713333333
781.57,64.218,10.31575,6.438,9.69416666666,6.525,10.44,8.11583333334,50.4845,57.917,26.7213333333,10.8875
781.88,63.4228333333,9.79375,6.31383333334,9.135,6.1025,9.44583333332,8.09116666666,49.1425,57.0096666667,26.0253333333,10.4523333333
782.19,64.0615,9.68633333333,6.348,8.97833333334,5.96866666667,9.06666666665,7.99183333334,49.1528333334,56.955,26.0495,10.2426666667
782.50,64.424,8.70075,6.17433333333,8.9845,5.49116666667,8.50733333333,7.81116666666,49.1106666667,57.025,25.638,9.91249999999
782.81,64.805,8.61766666666,7.43466666666,9.64566666667,5.8445,8.81816666669,8.66283333335,49.3405,57.3311666667,25.7821666667,10.383
783.12,65.2605,8.24225,7.87766666667,9.7525,6.08083333333,8.77583333335,9.1535,49.4663333334,57.5913333333,25.3255,10.9375
783.43,64.88,7.73316666667,7.59016666667,9.41566666667,6.03816666667,8.35949999998,8.81583333334,48.8523333334,56.8858333333,24.5828333334,10.5633333333
783.74,64.174,7.41325,7.322,8.66616666666,5.92533333333,7.93516666667,8.392,48.3556666667,55.9645,24.132,10.6891666666
784.05,64.4553333333,6.87433333334,6.79466666666,8.11366666667,5.329,7.2075,7.94016666667,48.4145,55.8086666666,23.6211666667,10.445
784.36,64.4246666666,6.36141666666,6.07766666666,7.87383333333,4.8485,6.95566666666,7.26633333333,48.0011666667,55.821,23.3791666667,10.0215
784.67,63.8645,7.14583333334,6.512,8.38,5.49766666667,7.713,7.72616666667,48.0516666667,55.7243333334,23.8055,10.5683333333
784.98,63.6621666667,7.04658333334,6.06316666666,8.16483333333,5.40283333333,7.47783333333,7.80116666666,48.0058333333,55.78,23.7538333333,9.66033333335
785.29,64.1393333333,6.91925,5.49166666667,8.07383333333,4.87716666666,7.582,7.39083333333,48.7978333333,56.3388333333,23.6886666667,9.20766666667
785.60,63.0788333333,6.69358333333,5.52883333333,8.03216666667,4.99316666667,7.83116666667,7.59016666667,47.992,55.7965,23.2665,9.25033333331
785.91,62.513,6.85466666667,5.54666666667,8.29416666667,5.13933333334,8.08333333333,7.558,47.8706666667,55.4286666667,23.1598333334,9.41116666665
786.22,62.0356666667,7.01883333333,4.9975,8.137,4.93183333333,7.95383333333,6.88116666666,47.4098333334,54.7881666666,22.6713333333,9.00050000002
786.53,61.4648333333,6.76125,4.27,7.78983333333,4.16683333334,7.72516666667,5.9395,46.558,53.9983333333,22.8001666667,8.24266666667
786.84,61.2223333334,6.95341666667,3.82633333333,7.63983333333,3.60816666667,7.62716666666,5.4185,46.1351666667,53.9035,23.1895,7.948
787.14,61.6175,7.46666666667,4.34566666667,8.37733333333,3.99383333334,8.28916666667,5.853,45.9933333333,54.1321666667,23.6373333333,8.05066666667
787.45,61.6496666667,8.05816666666,4.84566666667,8.87166666667,4.65,8.9575,6.44866666666,45.925,54.5643333333,24.3515,8.5415
787.76,62.0303333333,8.34525,5.2625,9.044,4.75666666666,8.80333333334,6.71966666666,45.8695,54.7326666667,24.699,8.88733333332
788.07,63.2243333333,8.30908333333,5.3575,8.94533333333,4.37566666667,8.61816666666,6.5695,46.4846666667,55.2605,24.8366666667,8.84849999999
788.38,62.847,8.64466666666,5.90266666667,9.423,4.77733333333,8.872,6.59716666667,46.4436666667,54.9926666667,25.3831666667,9.45866666666
788.69,62.9893333334,9.65,6.631,9.97633333333,5.86016666667,9.50166666665,6.97516666667,46.5598333333,55.006,26.2988333334,10.2846666667
