wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
325.84,13.9756666666,22.8818333334,20.271,18.8010208333,9.05016666667,14.1093333333,20.763,15.2263333333,16.8213333334,14.5373333334,9.83333333335
326.21,14.2788333334,23.26975,20.5495,19.1174328704,9.482,14.0918333333,21.1863333333,15.2756666667,17.1165,14.7768333334,10.23675
326.57,14.8933333334,23.60025,21.1101666667,19.7116979167,9.947,14.5398333333,21.5925,15.9875,17.3733333334,15.1653333334,10.7725
326.94,14.5653333334,23.2445,20.7603333333,19.3725347223,9.61766666667,14.362,21.2145,15.9141666666,17.0326666667,15.0941666667,10.4918333333
327.31,14.1425,23.28125,20.9298333334,19.2712893519,9.54133333334,14.197,21.0243333334,15.7873333333,17.005,14.9613333334,10.39725
327.67,14.5985,23.4371666667,21.325,19.4895277778,9.99433333331,14.2323333333,21.2843333333,16.3546666666,17.46,15.1546666666,10.6013333333
328.04,14.9546666667,23.77775,21.7336666666,20.2503541667,10.4218333333,14.4205,21.6653333333,16.8036666666,17.8993333334,15.6463333334,10.9353333334
328.41,15.3573333333,24.1774166667,22.1238333333,20.7346527778,10.8118333333,14.884,22.0345,17.1326666666,18.1818333333,16.0015,11.0964166667
328.78,15.8486666667,24.7435833333,22.837,21.2384224537,11.37,15.2175,22.5736666667,17.568,18.4968333333,16.3548333334,11.3595833333
329.14,15.7166666666,24.87075,22.9605,21.1060613426,11.225,14.6968333333,22.7158333333,17.0928333334,18.6645,16.7226666666,11.0749166667
329.51,15.8146666667,25.14925,23.3135,21.1987986111,11.1276666667,14.7706666666,22.994,17.256,18.7826666667,16.8586666666,11.0709166666
329.88,15.6471666666,25.1461666667,23.2178333333,21.1487986111,11.0993333333,14.4925,23.0538333333,17.2656666667,18.506,16.4385,10.946
330.24,15.4728333333,25.0034166667,23.2556666667,20.8499479166,10.905,14.4941666666,22.9318333333,17.3213333333,18.3065,16.1558333333,10.83675
