wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
445.72,13.2003333333,9.78066666667,9.3188,7.58206666667,4.32953333333,6.53126666667,18.5198666667,5.70026666667,6.2959
446.08,13.1766666667,9.79600000001,9.33346666667,7.57753333333,4.319,6.5194,18.4996666667,5.67533333333,6.29776666667
446.43,13.1572,9.8104,9.35646666667,7.59186666666,4.31446666667,6.5198,18.4667333333,5.6838,6.28933333333
446.79,13.1562666667,9.84139999999,9.38533333333,7.61613333334,4.33893333333,6.53346666667,18.4664666667,5.69866666666,6.30853333333
447.14,13.1175333333,9.84046666666,9.37613333333,7.6056,4.32346666667,6.513,18.4337333333,5.68493333333,6.2849
447.50,13.0931333333,9.84866666667,9.37713333333,7.60893333334,4.3178,6.5134,18.3975333333,5.68006666667,6.28296666667
447.85,13.0644666667,9.85086666667,9.39333333333,7.59973333334,4.30793333333,6.49673333333,18.3538,5.665,6.26806666667
448.21,13.0286666667,9.85839999999,9.40106666667,7.59466666667,4.30133333333,6.46733333333,18.3180666667,5.65053333333,6.24816666667
448.56,13.0189333333,9.88213333332,9.4262,7.62420000001,4.3044,6.47146666667,18.3025333333,5.6594,6.2492
448.92,13.0,9.916,9.44386666667,7.63373333333,4.30446666667,6.47246666667,18.2876666667,5.662,6.24803333333
449.27,12.9954,9.95579999999,9.49526666667,7.66726666666,4.3154,6.48886666667,18.2836666667,5.6652,6.26526666667
449.62,12.9661333334,9.97153333334,9.5286,7.68193333333,4.30693333333,6.48733333333,18.2387333333,5.65733333333,6.25373333333
449.98,13.0042,10.0598,9.60646666667,7.77153333334,4.36173333333,6.55806666667,18.2608,5.72226666667,6.32733333333
450.33,12.9868666667,10.1083333333,9.6524,7.81913333334,4.39446666667,6.57366666667,18.2567333333,5.728,6.3533
450.69,12.9442666667,10.0992666667,9.6644,7.8062,4.35726666667,6.54813333333,18.204,5.69746666667,6.31603333333
451.04,12.9234,10.1334666667,9.70646666667,7.82946666667,4.36626666667,6.55453333333,18.1639333333,5.7026,6.3225
451.40,12.9208666667,10.1504,9.73726666667,7.85713333333,4.3758,6.56153333333,18.153,5.709,6.3286
451.75,12.9064666667,10.1802,9.75073333333,7.88166666666,4.37106666667,6.56966666667,18.1330666667,5.7082,6.32383333333
