wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
813.54,18.977,36.8158666667,30.508,43.4824,21.2669333333,24.0987333333,19.6002,23.9974,26.1788
813.85,17.8446,36.0968666667,29.7687333333,42.8531333333,20.0208666667,22.9639333333,18.1969333333,22.9499333334,25.1467333333
814.15,17.2831333333,35.6391333333,29.4810666667,42.5356666667,19.3451333333,22.9536,17.6452666667,22.3963333333,24.7926666667
814.46,17.4894,36.0250666667,29.6930666667,43.0892666667,19.6860666667,23.3192666667,18.0892666666,22.7616,25.4740666666
814.76,18.3088,36.7016666667,30.0418666667,43.6198,20.1188,23.8364666667,18.6864,23.04,26.1775333333
815.07,19.26,37.3614,30.4572666667,43.9651333333,20.8027333334,24.4608,19.1832,23.8604666667,26.6806666667
815.37,17.7754666667,36.2598,29.5157333333,42.9123333333,20.1262666667,24.0699333333,18.4631333333,22.7298,25.6492
815.68,18.9932666667,37.1911333333,30.3344666667,43.8296,21.0136666667,25.7164,19.2819333334,23.1467333333,26.3005333333
815.98,19.4948,37.993,31.2491333333,44.3228,21.2211333333,26.3438666667,19.5579333333,23.5438666667,26.7928
816.29,19.8610666667,37.7407333333,31.3382,44.5116666667,20.73,26.3540666667,19.3882666667,23.4412,26.5206
816.59,19.6407333333,37.8654666667,31.6614666667,44.7460666667,20.5594666667,26.7357333333,19.3161333333,23.4059333334,26.6044666666
816.89,19.4337333333,37.6205333333,31.7627333333,44.6713333333,20.4582666667,26.3364666667,19.9327333333,23.2153333333,26.3296666667
817.20,19.9479333333,37.6865333333,31.9908666667,44.7442666667,21.0166666667,26.5429333333,20.4562,23.7144666667,26.5624
817.50,20.518,38.1398666667,32.2534,44.7002666667,21.5793333333,26.8662,21.1611333333,24.5878666666,26.9350666667
817.81,20.4808666667,38.1184,31.9686666667,44.2861333333,21.6471333333,26.8229333333,21.0700666667,24.4243333333,27.2498
818.11,20.1087333334,37.5851333333,32.0228,44.1202666667,21.4478,26.7810666667,21.0471333334,24.3776666667,27.1131333333
818.41,18.8132,36.8149333333,31.5196666667,43.7784,20.2967333333,25.8382666667,19.9666,23.2072666667,26.0958
818.72,18.1564,35.9376,30.8082666667,43.1060666667,19.4611333333,25.0658666667,18.9540666667,22.5092666667,25.5098
819.02,17.5455333333,35.4544,30.4704,43.0122666667,19.0092,24.247,18.4466666667,22.2852666667,25.4816
819.33,17.0944,35.1248,29.9332666667,42.6292,18.8592666667,23.9706,18.3288666667,21.9206,25.1248
819.63,17.0792,35.2368666667,29.9673333333,42.656,19.1402666667,24.0912666667,18.5876,21.8922,25.2657333334
819.93,17.1946,35.3768666667,29.824,42.7215333333,19.1766666667,23.9871333333,18.7861333333,21.9984666667,25.3204
820.24,17.3061333333,35.4536666667,29.7443333333,42.7126666667,19.3210666667,24.1892666667,18.8776666667,22.0906666667,25.6388666667
820.54,17.5508666667,35.6958,29.9056666666,42.9132666666,19.522,24.4452666667,19.201,22.3922,25.9382666666
820.85,17.4836666666,35.5262,29.8735333333,42.9165333333,19.4587333333,24.5052,19.1859333333,22.2792666667,25.9606
821.15,17.6408,35.8004666667,30.0967333333,43.0874666667,19.582,24.6982666667,19.3729333333,22.5425333333,26.0634666667
821.45,17.8890666667,36.0259333333,30.2846,43.2542666667,19.8858666667,24.9588666667,19.5556,22.7824666667,26.2952666666
821.76,18.1862666667,36.2924,30.488,43.3596666667,20.2456,25.3743333333,19.9541333333,23.1587333333,26.6418
822.06,18.4092666667,36.5941333333,30.6907333333,43.6437333333,20.4896,25.6018,20.1598,23.4241333334,26.8731333333
822.36,18.4445333333,36.619,30.6319333333,43.5596666667,20.5122,25.5714666667,20.1872666667,23.4357333333,26.7709333333
822.67,18.6236,36.7570666667,30.7519333333,43.7042,20.6116666667,25.7139333333,20.2974,23.5608666666,26.9106666667
822.97,18.6722666667,36.8816,30.85,43.8316666667,20.7268,25.7431333333,20.358,23.679,27.0331333333
823.27,18.6983333333,36.9577333333,30.9791333333,43.9282,20.828,25.859,20.4664,23.7516666667,27.1658666667
823.58,18.9073333333,37.1778666667,31.2184,44.2033333333,21.0221333334,26.0592666667,20.6724,24.0466,27.4030666667
823.88,19.0744,37.3147333334,31.3996666667,44.3549333333,21.2392,26.2288666667,20.8442,24.1954,27.5536666667
824.18,19.3200666667,37.6362666667,31.6744666667,44.5663333333,21.4606,26.4622,20.9990666666,24.4795333333,27.8082666667
824.49,19.4373333333,37.5946,31.7237333333,44.6336,21.4975333333,26.5188,20.9876,24.5316666667,27.7886666666
824.79,19.5172666667,37.7578666667,31.8158666667,44.6104666667,21.3934,26.5614666667,20.9954,24.5914666667,27.7635333333
825.09,19.4948666667,37.6569333334,31.7888666667,44.6087333333,21.2795333333,26.3895333333,20.9496,24.5148666667,27.6915333333
825.39,19.3945333333,37.4413333333,31.6515333333,44.4488666667,21.0958666667,26.1784,20.9200666667,24.3988,27.5541333333
