wavelength,Back_SicTacm,Belly_SicTacm,Breast_SicTacm,Crissum_SicTacm,Crown_SicTacm,DorTail_SicTacm,Patch10_SicTacm,Rump_SicTacm,Throat_SicTacm,WingTip_SicTacm
648.47,20.9266333333,63.8328666667,41.4212666667,48.69975,16.9045333333,21.0879859649,16.6058666667,23.0132,60.7347333333,17.3853888889
648.80,21.0790666667,63.9476,41.576,48.7443333333,17.0589333333,21.2555631579,16.7140666667,23.1396666667,60.8308,17.5075777778
649.13,21.1385833334,63.9828666667,41.6213333333,48.8346666667,17.0902,21.3577616228,16.7959333333,23.2452666666,60.8186666667,17.6303111111
649.46,21.1596,64.1339333333,41.7376,48.9763333333,17.2074666667,21.467979386,16.8777333333,23.349,60.9837333333,17.7221333333
649.79,21.2519333333,64.2305333333,41.8660666667,49.11075,17.3511333333,21.589622807,16.9892,23.4888,61.1301333333,17.8812555555
650.11,21.2513,64.2286,41.8724666667,49.1183333333,17.3593333333,21.6233234649,17.0345333333,23.5416,61.0796666667,17.8861444444
650.44,21.2442,64.2116666667,41.8920666667,49.0351666667,17.3565333333,21.5871804824,17.0227333333,23.5274,61.1236,17.8723777778
650.77,21.1523666667,64.0886666667,41.7668666667,48.9333333333,17.2131333333,21.4165528509,16.9110666667,23.3762,61.0201333333,17.7340222222
651.10,21.17995,64.1361333333,41.8138,48.9319166667,17.2485333333,21.4960287281,16.9801333333,23.4186666667,61.1136,17.8043666667
651.43,21.1875,64.2459333333,41.9366666667,49.0125833333,17.2117333333,21.4712620614,16.9762,23.4415333333,61.2625333333,17.7750444444
651.76,21.1426,64.3624666667,42.0376666667,49.1323333333,17.1988,21.4583513158,16.9683333333,23.5094,61.4424,17.7529
652.09,21.1754333333,64.5433333333,42.1327333333,49.15925,17.2011333333,21.430905921,16.9444,23.4870666667,61.6171333333,17.7464777778
652.42,21.0716333333,64.4091333333,42.0551333333,49.03775,17.0671333333,21.2870083333,16.8416666667,23.4134666667,61.4579333333,17.6523
652.75,21.0876333333,64.4546,42.0635333333,49.03225,17.0872666667,21.291856579,16.8162,23.4126,61.4876666667,17.6392666667
653.08,21.1666166667,64.5824,42.1652666667,49.1675,17.0444666667,21.3253173245,16.871,23.4983333333,61.6017333333,17.7005333333
653.41,21.0533166667,64.4365333333,42.0532666667,48.9954166667,16.9088,21.1778940789,16.7472666667,23.3218,61.4752,17.5300888889
653.74,21.0105333333,64.2756666667,41.9621333333,48.9515,16.8314,21.0755971491,16.6684,23.2004,61.3292,17.4928111111
654.06,20.98015,64.3465333334,41.9627333333,49.0289166667,16.7915333333,21.1001098684,16.6496666667,23.1857333333,61.3898,17.4720222222
654.39,21.0124,64.3522666667,41.9747333333,49.0360833333,16.8218,21.1853857456,16.7018666667,23.2270666667,61.3571333333,17.5076222222
654.72,20.8798,64.0517333333,41.7682666667,48.7814166667,16.7128666667,21.0727425439,16.5434,23.1071333333,61.1687333333,17.3398222222
655.05,20.8171,63.8925333333,41.6396,48.6963333333,16.6782666667,21.0798210527,16.5216,23.0100666667,61.0392,17.3272888889
655.38,20.8552333333,63.8786666667,41.6107333333,48.7185,16.7081333333,21.1264274123,16.5238666667,22.9880666667,60.9771333333,17.4056222222
655.71,20.72955,63.5744666667,41.3894666667,48.514,16.6266,21.087485307,16.4411333333,22.9657333333,60.7187333333,17.3517555555
656.04,20.7494666667,63.5888666667,41.4108,48.4938333333,16.6593333333,21.1546537281,16.5019333333,22.9529333333,60.7466,17.3619333333
656.37,20.7536333333,63.5195333333,41.3492666667,48.4249166667,16.6063333333,21.0724197369,16.4856,22.8956,60.6382,17.3681444444
656.69,20.7195333333,63.3745333333,41.3141333333,48.29325,16.6754666667,21.0538973684,16.4204666667,22.8360666667,60.5186666667,17.3461222222
657.02,20.6728,63.4173333334,41.3432666667,48.29475,16.7115333333,21.1211497807,16.4492,22.8984666667,60.5115333333,17.3373
657.35,20.7502,63.5444,41.4639333333,48.2840833333,16.7781333333,21.2322326754,16.4990666667,22.9856,60.6744,17.3865111111
657.68,20.8765666667,63.5476666667,41.5484666667,48.2959166667,16.8964666667,21.3069984649,16.6066,23.0818,60.6639333333,17.5075111111
658.01,20.8448833333,63.5274666667,41.5397333333,48.2504166667,16.8674666667,21.2802464912,16.5928,23.0643333333,60.6851333333,17.4769777778
658.34,20.9315666667,63.6122,41.6126,48.3661666667,16.9518666667,21.3106302631,16.647,23.1155333333,60.7473333333,17.6006555556
