wavelength,Back_PorCaem,Belly_PorCaem,Breast_PorCaem,Crissum_PorCaem,Crown_PorCaem,DorTail_PorCaem,Rump_PorCaem,Throat_PorCaem,WingTip_PorCaem
616.28,9.3474,9.4696,8.84126666667,9.58366666667,8.64713333334,7.43453333333,9.08066666667,9.90720000001,8.07853333333
616.61,9.42093333333,9.54113333333,8.8974,9.64246666667,8.70346666667,7.5066,9.15993333334,9.9436,8.1488
616.95,9.47686666667,9.59166666667,8.91586666667,9.69246666666,8.70700000001,7.5686,9.21846666666,9.95233333333,8.2142
617.28,9.45873333333,9.57786666667,8.90073333333,9.6808,8.66993333333,7.55753333333,9.19493333332,9.9306,8.20693333333
617.62,9.40453333334,9.50686666667,8.81613333333,9.60859999999,8.59666666667,7.471,9.14379999999,9.86626666666,8.153
617.95,9.38,9.45646666667,8.77946666667,9.57799999999,8.54586666667,7.41326666667,9.11113333333,9.81500000001,8.14153333333
618.28,9.3942,9.46866666667,8.77033333333,9.58053333333,8.58266666667,7.4292,9.1012,9.78973333334,8.16226666667
618.62,9.39686666667,9.46686666667,8.77993333334,9.59773333333,8.58479999999,7.45273333334,9.0814,9.75693333333,8.17506666667
618.95,9.32073333333,9.371,8.697,9.509,8.4748,7.3608,8.98866666667,9.6616,8.08533333333
619.28,9.26386666667,9.3422,8.6738,9.48593333333,8.45026666667,7.33686666667,8.9576,9.652,8.08653333333
619.62,9.23386666667,9.29186666667,8.63386666667,9.46066666667,8.38759999999,7.26726666667,8.89133333333,9.58486666667,8.02826666667
619.95,9.21513333333,9.2468,8.60486666667,9.43286666667,8.31933333333,7.22913333333,8.87386666667,9.54359999999,7.99233333333
620.28,9.12553333333,9.15813333333,8.5222,9.34846666666,8.2418,7.133,8.79013333333,9.47973333334,7.89773333333
620.62,9.121,9.14086666667,8.544,9.32626666666,8.26146666667,7.11626666667,8.78373333333,9.49966666666,7.89993333333
620.95,9.08833333333,9.11953333333,8.50686666667,9.2938,8.24193333333,7.0894,8.77193333333,9.48700000001,7.88793333333
621.28,9.12,9.13,8.52086666667,9.33886666666,8.2578,7.15433333333,8.79846666667,9.50833333333,7.94253333333
621.62,9.1152,9.1504,8.51626666667,9.34293333334,8.26193333333,7.17153333333,8.8014,9.50213333333,7.933
621.95,9.09733333333,9.117,8.49926666667,9.31719999999,8.1956,7.15793333333,8.81006666667,9.49026666667,7.93053333333
622.28,9.0232,9.0656,8.44586666667,9.26253333333,8.13873333333,7.11106666667,8.77693333333,9.47786666667,7.882
622.62,9.03706666667,9.09886666667,8.45213333333,9.29179999999,8.17693333334,7.15073333333,8.8098,9.49653333333,7.91333333333
622.95,9.05553333333,9.10273333333,8.42953333333,9.28540000001,8.1632,7.17446666667,8.80026666667,9.48826666667,7.9064
623.28,9.11053333333,9.15613333333,8.47166666666,9.30126666667,8.2096,7.2434,8.8562,9.54226666666,7.98826666667
623.62,9.13606666667,9.1998,8.51353333333,9.33293333333,8.2544,7.2938,8.8936,9.58213333333,8.0318
623.95,9.2598,9.30286666667,8.61333333333,9.45706666667,8.36086666667,7.4116,8.9848,9.68633333334,8.15753333333
624.28,9.252,9.2812,8.5998,9.46080000001,8.31166666667,7.41113333333,8.97733333333,9.66453333334,8.15773333333
624.62,9.2646,9.2962,8.62126666667,9.46853333333,8.3128,7.40986666667,8.97153333333,9.68013333333,8.1612
624.95,9.26346666667,9.29713333333,8.62373333333,9.48200000001,8.3238,7.42293333333,8.9702,9.68353333333,8.15573333333
625.28,9.23386666667,9.2578,8.59793333333,9.45706666667,8.292,7.41593333333,8.95566666667,9.68220000001,8.1358
