wavelength,Back_HemXanm,Belly_HemXanm,Breast_HemXanm,Crissum_HemXanm,Crown_HemXanm,DorTail_HemXanm,Rump_HemXanm,Throat_HemXanm,WingTip_HemXanm
832.35,22.1036666667,61.7636,41.157,42.0631333334,28.2038666667,25.8980666667,20.6877333333,43.7864666667,26.7232666667
832.65,22.1721333333,61.6836,41.3078666667,41.9091333333,28.7486,25.9300666667,20.6013333333,44.0511333333,26.3134666667
832.95,22.3910666667,62.2502666667,41.5822,42.0464,29.1983333334,25.7383333333,21.1674,44.4654,26.5400666667
833.25,23.6905333333,62.7726666667,42.7468,42.9105333334,29.6952666667,26.542,22.196,45.0147333333,27.6695333333
833.55,24.1372666667,62.3129333333,42.5852,42.7768,29.2888,26.5554,22.5294,44.6258666667,27.6499333333
833.85,24.178,62.5488666667,42.8434666667,42.7893333333,29.3298,26.7086666667,23.0718,44.9474,27.7848
834.16,23.9356,62.3076,42.9338,42.6178,29.2306666667,26.6190666667,23.0054,44.8955333333,27.4538
834.46,23.8524,62.7363333333,43.2824666667,43.0303333333,29.6250666667,26.9308,23.7322,45.4725333333,28.0468
834.76,24.0283333333,62.7983333333,43.5362666667,43.2226666667,29.5634,26.7034666667,23.6101333333,45.7073333333,27.6691333333
835.06,23.6835333333,62.419,43.5085333333,42.6459333333,28.9235333333,26.0636666667,23.074,45.1492,27.406
835.36,23.1003333333,61.2698,42.2695333333,41.4252666667,28.3890666667,25.3697333333,22.4518666667,44.2688,26.7546
835.66,23.1915333333,61.5702666667,41.9266666667,41.5412666667,28.7023333333,25.3071333333,22.2755333333,44.3184666667,27.0446666667
835.96,22.7048666667,61.4956666667,42.0046666667,41.2809333333,28.2976666666,25.1870666666,22.0364666667,44.264,27.1041333333
836.26,22.0431333333,60.9071333333,41.2682,40.6956,27.8468,25.2928,21.2945333333,43.7340666666,26.5784666667
836.57,21.2627333333,60.7342666667,40.3426,39.7453333334,27.5574666667,25.2472666667,20.4992666667,43.8766666667,26.1184666667
836.87,20.7016666667,62.0486666667,40.8715333333,39.9206666667,27.7306,25.1272666667,19.7283333333,44.6632666667,25.9535333333
