wavelength,Back_LoxAnom,Belly_LoxAnom,Breast_LoxAnom,Crissum_LoxAnom,Crown_LoxAnom,DorTail_LoxAnom,Patch10_LoxAnom,Rump_LoxAnom,Throat_LoxAnom,WingTip_LoxAnom
187.53,83.3332500003,497.222083333,797.222249999,519.444333333,1277.77783333,1380.55558333,386.111166668,1236.11108333,802.777666667,605.555583334
187.91,6.25,-136.458333333,-251.041666667,-184.375,-400.0,-503.125,-126.041666667,-479.166666667,-259.375,-198.958333334
188.29,-13.6904999998,-91.0715,-166.071416667,-154.166583333,-236.904833333,-342.85725,-124.40475,-307.142916667,-195.833333333,-166.666583333
188.67,11.7646666667,-69.6079166666,-161.2745,-128.4315,-173.03925,-324.019666667,-86.2744166667,-264.705916667,-154.41175,-150.980333333
189.05,31.9444166667,-38.8890000002,-106.249916667,-98.6110000001,-114.930583333,-226.38875,-62.4999166668,-173.263833334,-101.388833333,-111.45825
189.43,34.6491666666,-27.1930833334,-70.6140833334,-53.50875,-59.6490833333,-138.596333333,-36.6226666666,-99.1227499999,-66.8859999999,-74.1228333334
189.81,33.33325,-0.847583333325,-35.452,-23.3050833333,-24.9999166666,-81.0735,-14.12425,-54.3785,-30.5083333333,-35.1695833333
190.19,30.7018333333,8.55274999999,-23.3550833333,-14.6930833333,-17.5438333333,-61.4033333333,-5.81133333335,-34.6490833333,-18.2018333334,-19.6270833333
190.57,35.4166666667,7.78516666665,-26.5351666666,-21.82025,-20.614,-70.8333333333,-4.93416666666,-34.42975,-18.53075,-24.0131666667
190.95,42.7630833333,7.89475000001,-29.386,-26.8639166667,-19.1885833333,-70.3946666666,-1.64475000001,-30.5920833333,-15.4604166667,-20.614
191.33,50.0,2.27275,-56.3636666667,-50.9090833333,-37.5755833333,-111.666666667,-9.69700000003,-45.909,-26.0605,-42.7273333333
191.71,65.0710000002,3.54608333333,-67.1985833332,-58.1560833334,-39.36175,-129.787416667,0.0,-45.3900833333,-29.0781666667,-46.4538333333
192.09,91.2035833333,8.33333333331,-90.0462499998,-80.7870833333,-56.7128333333,-169.907333333,9.25924999993,-57.4073333333,-34.7220833333,-58.1018333332
192.47,146.875,17.0138333334,-135.0695,-98.9583333334,-81.5973333333,-227.4305,36.4583333334,-71.875,-28.4723333333,-65.6249999999
192.85,146.354166667,53.3854166667,-51.5625,-33.8541666667,-30.46875,-117.1875,57.0312500001,-5.72916666666,26.3020833333,-14.3229166667
193.23,148.958333333,60.9375,-39.8437500001,-17.1875000001,-11.71875,-106.510416667,68.4895833333,2.60416666665,46.6145833333,-8.07291666665
193.61,238.75,123.333333333,-29.5833333334,-18.3333333333,-13.3333333333,-159.583333333,122.083333333,19.1666666667,103.75,-10.4166666668
193.99,282.5,159.583333333,-2.49999999999,24.1666666668,12.5,-107.083333333,166.25,60.8333333333,138.333333333,22.9166666667
194.37,363.157916667,230.701833333,67.9825833334,92.5439166667,99.1228333333,-33.3332500001,238.157833333,125.877083333,217.982416667,92.1052499999
194.75,270.238083334,203.273666667,88.0953333334,91.3690000001,111.904916667,14.28575,195.535666667,125.89275,180.059416666,102.380833333
195.13,192.1875,167.447916667,67.7083333333,63.2812499999,72.3958333333,-7.81250000002,151.5625,93.4895833333,126.5625,55.7291666667
195.51,137.5785,122.641416667,64.9370833334,57.7044166667,64.9373333333,24.52825,111.635166667,82.7043333333,94.9685833333,52.9874166667
195.89,150.969166667,142.635583333,74.4186666666,55.6201666667,65.8915833333,14.7285833333,113.953583333,94.1860000001,101.550333333,46.5116666666
196.27,163.333333333,158.809583333,88.3333333333,49.28575,66.66675,0.71433333335,111.666666667,106.1905,103.571416667,30.9523333332
196.65,174.462333333,170.43025,97.5805833334,34.1396666668,71.7743333333,-10.2150833333,118.010666667,104.032416666,107.79575,13.7097500001
