wavelength,Back_TanCalf,Belly_TanCalf,Breast_TanCalf,Crissum_TanCalf,Crown_TanCalf,DorTail_TanCalf,Patch10_TanCalf,Rump_TanCalf,Throat_TanCalf,WingTip_TanCalf
631.60,5.29175,11.40575,9.52016666666,6.66475,67.6660833334,5.96416666667,10.8145,88.18025,10.9430833333,7.79966666666
631.93,5.41225,11.5395,9.62283333332,6.82241666667,67.61275,6.10425,10.9219166667,87.9023611111,11.0365,7.91741666667
632.26,5.44808333333,11.5286666667,9.59733333333,6.83033333333,67.4104166667,6.08608333333,10.8999166667,87.5294166667,11.0019166667,7.91870833334
632.59,5.4575,11.5346666667,9.57633333334,6.78925,67.3194166667,6.08083333333,10.8988333333,87.2515277779,10.98575,7.90695833333
632.92,5.46991666667,11.5066666667,9.55,6.74266666667,67.1710833333,6.06833333333,10.8560833333,86.883638889,10.9279166666,7.89214583334
633.26,5.47466666667,11.5143333333,9.51158333333,6.743,67.1085,6.04758333333,10.833,86.6295833334,10.9055833333,7.8681875
633.59,5.46541666667,11.4873333333,9.48541666666,6.75316666666,67.0425833333,6.002,10.8195,86.3800555555,10.8760833333,7.86664583333
633.92,5.43216666667,11.4938333333,9.46574999999,6.72741666667,67.0411666667,5.96083333333,10.7884166667,86.2681944444,10.8361666667,7.88204166666
634.25,5.37058333333,11.4498333333,9.41183333334,6.64525,66.9489166667,5.901,10.7486666667,85.9829166668,10.7768333333,7.819875
634.58,5.27908333333,11.3514166667,9.28783333334,6.53741666666,66.8483333333,5.83108333334,10.6893333333,85.7581944443,10.6815,7.73622916667
634.91,5.20991666667,11.28225,9.21133333333,6.49308333333,66.7071666667,5.79691666667,10.6615833333,85.4641666668,10.5975,7.67116666667
635.25,5.206,11.25375,9.205,6.4815,66.6111666667,5.79491666667,10.62625,85.1065,10.5553333333,7.68214583333
635.58,5.05875,11.069,9.05541666668,6.28383333334,66.5038333334,5.65075,10.4713333333,84.8556111112,10.3841666666,7.5535625
635.91,5.05116666667,11.0536666667,9.07408333332,6.26566666667,66.63725,5.65291666667,10.46425,84.7701111111,10.391,7.5825
636.24,5.03791666666,11.0188333334,9.09966666667,6.28808333333,66.6698333333,5.64225,10.4245833333,84.5951666667,10.37025,7.57502083333
636.57,5.06141666667,11.072,9.17725000001,6.34216666667,66.7103333333,5.67966666666,10.4898333333,84.4369722223,10.4115833333,7.61410416667
636.90,5.05958333333,11.0561666667,9.15683333333,6.31775,66.689,5.65916666666,10.4534166667,84.2121388888,10.4281666667,7.61360416666
637.23,5.04041666667,11.0119166667,9.09966666666,6.26641666667,66.57775,5.65941666667,10.4195833333,83.8822222223,10.3849166667,7.57083333333
637.56,5.01141666667,10.9358333333,9.04925,6.20775,66.4235833333,5.6075,10.376,83.4449166667,10.3345833333,7.48145833333
637.90,5.046,10.9685833333,9.05066666667,6.24433333333,66.4853333333,5.64216666667,10.3959166667,83.3355555555,10.3346666666,7.53314583334
638.23,5.12566666667,11.0123333333,9.08058333333,6.29958333333,66.4398333333,5.71433333333,10.3923333333,83.0113055555,10.3770833333,7.57252083334
638.56,5.13741666667,11.0641666667,9.09741666666,6.31775,66.37075,5.72008333333,10.3723333333,82.7914722221,10.4128333333,7.61816666667
638.89,5.17141666667,11.1115833333,9.11033333333,6.30208333333,66.4229166667,5.69175,10.3954166667,82.7053055555,10.4479166667,7.65785416667
639.22,5.14091666667,11.08,9.05966666666,6.29125,66.4435,5.67058333334,10.36425,82.5734166666,10.40825,7.63254166666
639.55,5.11208333334,11.11325,9.04841666666,6.318,66.4215,5.73641666666,10.36575,82.4333055556,10.466,7.639375
639.88,5.17383333333,11.1741666667,9.0595,6.37783333333,66.292,5.79858333333,10.4009166667,82.1463611111,10.5261666667,7.69889583333
640.21,5.21541666667,11.1301666667,9.03108333333,6.42341666667,66.1265,5.82733333333,10.3601666667,81.7736666668,10.5236666667,7.71810416667
640.54,5.29225,11.202,9.12983333334,6.51775,65.9795,5.89975,10.4274166667,81.4345555556,10.5345,7.78354166667
640.87,5.41583333333,11.3401666667,9.29633333333,6.65841666667,65.9431666667,6.02216666667,10.5403333334,81.2353055555,10.64975,7.9551875
641.20,5.48775,11.464,9.38191666668,6.76833333334,66.0385,6.13516666667,10.6315,81.266611111,10.7399166667,8.0715
641.53,5.54058333333,11.5326666667,9.44341666666,6.86358333333,65.892,6.20116666667,10.6855,80.9916388889,10.81175,8.1595625
641.87,5.49208333333,11.5114166666,9.42966666668,6.84183333333,65.78825,6.1525,10.6914166667,80.7539722223,10.7723333333,8.17208333333
642.20,5.594,11.5816666667,9.50258333332,6.91158333333,65.8363333333,6.183,10.76075,80.6050277777,10.8591666667,8.2150625
642.53,5.63466666666,11.6661666667,9.54333333333,6.99566666667,65.7616666667,6.26225,10.8434166667,80.3662222223,10.91375,8.27245833333
642.86,5.80283333334,11.8109166666,9.68974999999,7.14108333334,65.6256666667,6.43066666667,10.9205,79.8889722223,11.0454166667,8.38670833333
643.19,5.82833333333,11.7800833333,9.73300000001,7.14908333334,65.5136666667,6.42225,10.9703333333,79.5845833333,11.0381666667,8.39675
643.52,5.7605,11.7609166667,9.76283333334,7.12358333333,65.3359166667,6.41525,10.9723333333,79.1707499999,11.0484166667,8.4023125
643.85,5.70316666667,11.7513333334,9.73725000001,7.07683333333,65.34425,6.40716666666,10.9938333333,79.0025555556,11.03275,8.39939583333
644.18,5.621,11.6895,9.66333333333,7.0165,65.29175,6.36625,10.9540833333,78.7812500001,11.0365833333,8.36025
644.51,5.58666666667,11.653,9.56158333333,6.97308333333,65.16875,6.3345,10.9224166667,78.4023888888,11.0005,8.29035416667
644.84,5.6255,11.6341666666,9.56058333334,6.9905,65.1144166667,6.40808333333,10.95675,78.1490555555,11.0353333333,8.279875
645.17,5.59716666667,11.53325,9.50358333334,6.928,64.9873333333,6.37191666667,10.8705,77.8120277777,10.9815,8.23829166666
645.50,5.61683333333,11.5691666667,9.51500000001,6.95241666667,64.8905833333,6.4035,10.8895,77.5606666666,11.0005,8.22710416667
645.83,5.58641666667,11.52125,9.50583333334,6.93091666667,64.7830833333,6.45883333333,10.848,77.2980833333,10.9591666667,8.2078125
646.16,5.5105,11.3875,9.4305,6.81791666667,64.7123333333,6.38908333333,10.7113333333,77.0544444444,10.8288333333,8.12472916667
646.49,5.48425,11.3361666667,9.37583333333,6.75991666667,64.5100833333,6.32908333333,10.7124166667,76.8711666667,10.76275,8.10191666666
646.82,5.5015,11.34125,9.33599999999,6.72175,64.3985833333,6.33408333333,10.6601666666,76.5229444444,10.75775,8.12058333334
647.15,5.44766666666,11.3091666667,9.23575,6.6485,64.382,6.299,10.58325,76.4043333334,10.6843333333,8.04904166667
647.48,5.43558333333,11.3439166666,9.22691666667,6.64383333333,64.2434166667,6.24958333333,10.5445833333,76.2516388889,10.6256666666,8.00733333333
647.81,5.46266666667,11.3744166667,9.25358333332,6.6885,64.2101666667,6.28508333333,10.55775,76.0890277778,10.5885833333,8.02425
648.14,5.435,11.3445833333,9.26283333334,6.65333333334,64.17825,6.22741666667,10.5204166667,76.0183888889,10.5578333333,8.0298125
648.47,5.421,11.3225833333,9.25566666668,6.65675,63.91,6.16141666667,10.451,75.5544166667,10.4658333333,8.05289583334
648.80,5.40108333333,11.3539166667,9.27466666667,6.64666666667,63.91825,6.15133333333,10.4755,75.5056111111,10.4200833333,8.0355625
649.13,5.41991666667,11.3076666667,9.25716666667,6.63258333333,63.78475,6.168,10.4679166667,75.1856388889,10.3598333333,8.06347916667
649.46,5.44025,11.3819166666,9.27550000001,6.64066666667,63.6945,6.16691666667,10.4841666667,74.88325,10.36975,8.13708333333
649.79,5.45666666667,11.4395,9.29866666666,6.72833333333,63.6056666667,6.19066666667,10.53725,74.68125,10.4414166667,8.15164583333
650.11,5.436,11.4760833333,9.31866666666,6.73258333333,63.6655,6.21516666667,10.5536666667,74.5774166667,10.4719166667,8.19079166666
650.44,5.42641666667,11.5070833333,9.345,6.82116666667,63.54825,6.22516666667,10.5795833333,74.3799722222,10.4733333333,8.18854166666
650.77,5.37891666667,11.4508333333,9.29783333333,6.79266666667,63.3233333333,6.13791666667,10.4979166667,74.096,10.39025,8.15166666667
651.10,5.43125,11.43525,9.32524999999,6.81175,63.2101666666,6.19483333333,10.5126666666,73.8109444445,10.4229166667,8.17716666667
651.43,5.45625,11.4519166667,9.36424999999,6.77766666667,63.1161666667,6.21533333333,10.49475,73.5716388889,10.4073333333,8.217875
651.76,5.43466666666,11.42025,9.28841666668,6.73408333333,62.9300833333,6.19091666667,10.475,73.2715277778,10.4014166667,8.166
652.09,5.48608333333,11.4841666667,9.30008333334,6.72458333333,62.7735833333,6.20633333333,10.4761666667,73.1130555556,10.5025,8.1798125
652.42,5.47175,11.4950833333,9.29933333334,6.71141666667,62.5834166667,6.178,10.4471666667,72.7801388889,10.5119166667,8.1809375
652.75,5.44616666666,11.4984166667,9.32749999999,6.72475,62.5299166666,6.16741666667,10.4108333333,72.6927222222,10.5559166667,8.18341666667
653.08,5.40341666667,11.4080833333,9.25633333334,6.7055,62.3935,6.12425,10.3655,72.4960277778,10.4893333333,8.141125
653.41,5.362,11.3659166667,9.18508333334,6.63458333333,62.26025,6.1025,10.31425,72.2596388889,10.4486666667,8.13295833333
653.74,5.38216666667,11.43475,9.17741666668,6.70008333333,62.2095,6.081,10.3358333333,72.1248888889,10.48325,8.17266666667
654.06,5.4045,11.4170833333,9.15775000001,6.67066666667,62.06475,6.07308333333,10.3191666667,71.8925,10.45325,8.16172916666
654.39,5.47383333334,11.4625833333,9.23533333333,6.70491666667,62.0389166666,6.14541666667,10.3948333333,71.7775555555,10.5188333333,8.19539583334
654.72,5.49625,11.5025833333,9.26883333334,6.77975,61.9199166667,6.2055,10.4709166667,71.4583055556,10.5698333333,8.29393749999
655.05,5.45916666667,11.5100833333,9.24341666666,6.83233333333,61.9009166667,6.246,10.5231666667,71.4078611111,10.63625,8.28549999999
655.38,5.49191666667,11.5303333333,9.33333333332,6.85091666667,61.7843333333,6.31733333333,10.4931666667,71.1524444444,10.644,8.35824999999
655.71,5.45575,11.5158333333,9.37833333334,6.89466666667,61.88925,6.36066666667,10.5035,71.1543055555,10.5843333333,8.40583333333
656.04,5.42008333334,11.4830833333,9.36416666667,6.895,61.7555,6.3845,10.4725833333,70.9091944444,10.5825833333,8.40458333333
656.37,5.40508333333,11.4571666667,9.31741666667,6.8235,61.5120833333,6.34033333333,10.4491666667,70.5520555555,10.5511666667,8.40793749999
656.69,5.49633333333,11.5409166667,9.4115,6.888,61.30525,6.41175,10.51225,70.2897222222,10.6136666667,8.44420833332
657.02,5.58225,11.59275,9.49516666667,6.95408333333,61.0665,6.47375,10.5174166667,69.9688333334,10.61725,8.47122916668
657.35,5.55591666667,11.5023333333,9.46125,6.882,60.7058333333,6.46425,10.42525,69.52675,10.536,8.40841666666
657.68,5.58458333333,11.5951666666,9.53208333334,6.87416666666,60.57825,6.48366666667,10.45425,69.34025,10.5860833334,8.43870833334
658.01,5.64241666667,11.57975,9.53108333334,6.94133333333,60.4,6.53658333333,10.4945833333,69.0984722222,10.6001666667,8.50014583333
658.34,5.62858333333,11.59525,9.54824999999,6.92566666667,60.2155,6.51216666667,10.469,68.8887222222,10.60175,8.52572916666
658.66,5.63016666667,11.56125,9.502,6.89558333333,60.0225,6.4545,10.3999166667,68.6346666667,10.577,8.508875
658.99,5.65391666667,11.6204166666,9.52058333332,6.953,60.0135,6.46883333333,10.43375,68.6339722222,10.6075,8.54133333333
659.32,5.58475,11.5096666667,9.40591666666,6.83291666666,59.759,6.35408333333,10.3400833333,68.3224722222,10.5266666667,8.42683333334
659.65,5.65491666667,11.5746666666,9.41966666666,6.87291666667,59.7389166667,6.37591666667,10.36725,68.2526111111,10.56825,8.46814583333
659.98,5.62308333333,11.5708333333,9.43899999999,6.90108333334,59.6806666666,6.387,10.3303333333,68.1042222222,10.5286666667,8.435125
660.31,5.48475,11.4705833333,9.32591666667,6.81316666667,59.5668333333,6.30141666667,10.21475,67.8941388889,10.43925,8.35547916667
660.63,5.44733333333,11.44075,9.29208333334,6.77075,59.5400833333,6.24958333333,10.1821666667,67.7390833333,10.4694166667,8.35283333333
660.96,5.4575,11.4625833334,9.32441666668,6.79891666667,59.5069166666,6.245,10.2340833334,67.5794722222,10.5024166667,8.40297916667
661.29,5.376,11.3869166667,9.20600000001,6.77833333333,59.29925,6.22241666667,10.15425,67.2965,10.4233333334,8.3724375
661.62,5.35466666667,11.4186666667,9.19291666666,6.77241666667,59.2095833333,6.20141666667,10.1195,67.1795833333,10.3956666666,8.37322916667
661.94,5.46316666667,11.4693333333,9.238,6.83025,59.16225,6.259,10.1585833333,67.0164722223,10.4599166667,8.42366666667
662.27,5.54541666667,11.5393333333,9.30491666668,6.92675,59.0349166667,6.37383333333,10.2335,66.7534444444,10.5091666667,8.5405
662.60,5.4675,11.4851666667,9.24691666667,6.91825,58.9449166667,6.37591666667,10.19,66.45725,10.5015,8.50264583333
662.93,5.49733333333,11.5633333333,9.28808333332,7.01816666667,58.8860833334,6.42908333333,10.234,66.2505833333,10.5295833333,8.535625
663.26,5.57091666667,11.6216666667,9.39500000001,7.09716666667,58.75525,6.55591666667,10.34475,66.0053055556,10.56,8.63527083334
663.58,5.71991666667,11.71525,9.4545,7.20841666666,58.6145,6.63233333333,10.4535833333,65.82375,10.6234166667,8.72229166667
