wavelength,Back_ThrOrnm,Belly_ThrOrnm,Breast_ThrOrnm,Crissum_ThrOrnm,Crown_ThrOrnm,DorTail_ThrOrnm,Patch10_ThrOrnm,Patch11_ThrOrnm,Rump_ThrOrnm,Throat_ThrOrnm,WingTip_ThrOrnm
602.88,10.7828666667,26.0777333333,17.6162,22.9030666667,16.4892666667,10.5994,15.2554666667,29.2594,16.1982666667,20.3692666667,9.62473333333
603.22,10.7886,26.1104,17.6341333334,22.9532666667,16.4849333333,10.6081333333,15.2462,29.2993333333,16.2538,20.411,9.63539999999
603.56,10.7262,26.0269333333,17.5659333333,22.8624666667,16.3883333333,10.5347333333,15.158,29.2118,16.1562666667,20.3182666667,9.56553333333
603.89,10.7276,26.0329333333,17.5206666667,22.8462666667,16.3488666667,10.5244,15.1472666667,29.2237333333,16.1517333333,20.3138,9.5514
604.23,10.8,26.0688666667,17.571,22.8882666667,16.3852666667,10.5991333333,15.1721333333,29.2808666667,16.2166,20.3755333333,9.5942
604.56,10.8088666667,26.078,17.6028,22.8995333333,16.3884,10.6333333333,15.2038666667,29.2884666667,16.2455333333,20.3954666667,9.64219999999
604.90,10.7572666667,25.9713333333,17.5008,22.8586666667,16.2886,10.5334,15.1255333334,29.2516,16.1702666667,20.2958666667,9.54619999999
605.23,10.8011333333,26.0136666667,17.5714,22.9134666667,16.3208666667,10.5680666667,15.1684,29.3369333333,16.2026,20.3182,9.58153333333
605.57,10.8174,26.0058,17.5666666667,22.9303333333,16.2921333333,10.5633333333,15.1288666667,29.3392,16.1761333333,20.3221333333,9.5852
605.90,10.8452,26.0011333333,17.5804,22.9534,16.3316,10.6051333333,15.132,29.3512666667,16.2276666667,20.3524666667,9.61406666668
606.24,10.8055333333,25.9512,17.5158,22.9061333333,16.2895333333,10.5850666667,15.1044666667,29.3375333333,16.2142666667,20.3034666667,9.58106666666
606.58,10.7576,25.9278,17.4854666667,22.8687333333,16.2438,10.6081333333,15.0884666667,29.3209333334,16.206,20.2795333333,9.53880000001
606.91,10.7170666667,25.9247333333,17.4602,22.8452666667,16.239,10.6356,15.0972,29.3482666667,16.169,20.278,9.52426666665
607.25,10.6827333333,25.9317333333,17.4546,22.8588666667,16.2151333333,10.6276,15.0605333333,29.3854,16.1477333333,20.3,9.47973333333
607.58,10.6242,25.9222,17.4692,22.8132,16.179,10.6019333333,15.0138,29.3117333333,16.1238666667,20.2624,9.44059999999
607.92,10.5232,25.8582,17.4068666666,22.7671333333,16.0912,10.4898,14.9256666667,29.2586666667,16.036,20.1876,9.36306666665
608.25,10.5492,25.9043333333,17.4406,22.7687333333,16.0851333333,10.5190666667,14.9304666666,29.2707333333,16.0396,20.217,9.40693333335
608.59,10.4968666667,25.8567333333,17.4197333333,22.6935333333,16.0295333333,10.5176666667,14.8926,29.1529333333,16.0038,20.1647333333,9.36733333333
608.92,10.2944666667,25.7070666667,17.2186666667,22.5424666667,15.8560666667,10.4003333333,14.7301333333,28.9947333333,15.862,20.0380666667,9.19233333334
609.26,10.2654,25.6914666667,17.1583333333,22.505,15.8281333333,10.3995333333,14.6654666667,28.9518666667,15.8325333333,20.0508,9.14586666667
609.59,10.2187333333,25.7074,17.1366666667,22.5046,15.8118666667,10.3949333333,14.6606,28.938,15.7668,20.0704,9.14699999999
609.93,10.2248,25.7040666666,17.1331333333,22.5291333333,15.8124666667,10.4404666667,14.6088,28.9467333333,15.7679333333,20.0724,9.154
610.26,10.2146,25.6798666667,17.1044,22.4896,15.7923333333,10.4383333333,14.5345333333,28.9282,15.7085333333,20.0468666667,9.13793333333
610.60,10.2577333333,25.7218,17.1581333333,22.5192666667,15.8103333333,10.5150666667,14.5652,28.9834666667,15.7449333333,20.1163333333,9.18386666667
610.93,10.2675333333,25.7082,17.1272666667,22.5222666667,15.7988,10.5207333333,14.5697333333,28.9237333333,15.7548,20.1288,9.18586666667
611.27,10.3000666667,25.7361333333,17.1132,22.5627333333,15.8148,10.5778666667,14.5798,28.9918666667,15.7454,20.2036666667,9.25106666667
611.60,10.2883333333,25.7225333333,17.0724666667,22.5107333333,15.8105333333,10.625,14.5817333333,28.9260666667,15.7446666667,20.1887333333,9.27093333333
611.93,10.2120666667,25.6828,16.9736666667,22.4846,15.7113333333,10.5256,14.4723333333,28.8654,15.6723333333,20.1057333333,9.1738
612.27,10.2437333333,25.7627333333,17.0084666667,22.5526,15.7346,10.5958666667,14.4969333333,29.0083333334,15.736,20.1745333333,9.25266666667
612.60,10.3865333333,25.9134,17.1561333334,22.6174666667,15.8484,10.6852666667,14.5780666667,29.0725333333,15.8296,20.2589333333,9.42966666669
612.94,10.3926,25.9798,17.1942,22.6679333333,15.884,10.6949333333,14.6594666667,29.0964666667,15.8486666666,20.2252666667,9.47833333334
613.27,10.4656666667,26.0581333333,17.2665333333,22.7714,15.9449333333,10.7886666667,14.7350666667,29.1591333333,15.922,20.2952,9.53086666667
613.61,10.4953333333,26.0634,17.2928666667,22.7932,15.9346,10.81,14.7694666667,29.1139333333,15.9157333333,20.3218666667,9.53613333331
613.94,10.5300666667,26.1325333333,17.2840666667,22.828,15.9289333333,10.8776,14.8524,29.1060666667,15.9816,20.3772666667,9.5774
614.28,10.493,26.1062666667,17.2401333333,22.8228,15.8958,10.8157333333,14.8209333333,29.0496666667,15.9302666667,20.2938,9.5818
614.61,10.4915333333,26.1335333333,17.2526666667,22.8588666667,15.9056666667,10.828,14.7896,29.0827333333,15.9302,20.2626,9.62680000001
614.94,10.5755333333,26.2028666667,17.3696666667,22.9685333333,15.9925333333,10.8655333333,14.8676666667,29.1616666667,16.0294,20.3216,9.69346666667
615.28,10.6067333333,26.2817333333,17.4281333333,23.0606666667,16.0022666667,10.8776,14.9073333333,29.2776,16.0622,20.3656666667,9.73306666665
615.61,10.5404666667,26.1841333333,17.4417333333,23.0006666667,15.9748666667,10.8356,14.8503333333,29.2524,16.0284666667,20.3608666667,9.7244
615.95,10.5518,26.2122666666,17.5055333333,23.0311333333,15.9957333333,10.8417333333,14.8641333333,29.2574,16.0449333333,20.4071333333,9.7638
616.28,10.4696666667,26.1162666667,17.4262,22.9674,15.8973333333,10.7670666667,14.7806666667,29.1944666667,15.9486666667,20.3872666667,9.65353333333
616.61,10.4648666667,26.0976666667,17.4724,22.9641333334,15.8976,10.8023333333,14.7926,29.1644,15.9506666667,20.4261333333,9.66126666665
616.95,10.3696,26.0259333333,17.438,22.88,15.794,10.6875333333,14.7214666667,29.1362,15.9110666667,20.348,9.61406666667
617.28,10.2387333333,25.9622,17.3384,22.7448,15.6945333333,10.5890666667,14.5880666667,29.1030666667,15.8278,20.2869333333,9.54413333333
617.62,10.266,26.039,17.494,22.7987333333,15.7822,10.6227333333,14.6023333334,29.2044666667,15.904,20.3792666667,9.63120000001
617.95,10.2489333333,26.0819333333,17.5162666667,22.7803333333,15.7424666667,10.5948,14.6047333333,29.1498666667,15.9236,20.3606666667,9.63106666667
618.28,10.2160666667,26.1166666667,17.552,22.7605333333,15.7332,10.6311333333,14.6399333333,29.1623333333,15.963,20.4026666666,9.64766666668
618.62,10.1438666667,26.1253333333,17.4971333333,22.7231333333,15.6948666667,10.6693333333,14.6264,29.1062,15.923,20.3718,9.6422
618.95,10.1899333333,26.1142666667,17.5155333333,22.6837333334,15.7091333333,10.6969333333,14.6061333333,29.0703333333,15.9473333333,20.3657333333,9.69073333333
619.28,10.3609333333,26.348,17.6505333333,22.8162666667,15.8622,10.9114,14.7806666667,29.2262666667,16.0964,20.481,9.88279999999
619.62,10.3574666667,26.342,17.5989333333,22.8033333333,15.8981333333,10.8927333333,14.7907333333,29.1619333334,16.0915333333,20.5108666666,9.91140000001
619.95,10.4272,26.4172,17.6424,22.8278666667,15.9576666667,10.9392,14.8642,29.2688666667,16.1562666667,20.4935333333,9.99766666667
620.28,10.3676666667,26.3648,17.5503333333,22.7914666667,15.883,10.8710666667,14.7818666667,29.2676666667,16.0934,20.4213333333,9.90659999999
620.62,10.4028,26.4033333333,17.5494666667,22.7662666667,15.9064666667,10.9292666667,14.7161333333,29.2006,16.0905333333,20.4406666667,9.93333333334
620.95,10.5417333333,26.5130666667,17.6936666667,22.9295333333,15.9931333333,11.0432,14.8492666667,29.2822666667,16.1909333333,20.5292,10.1170666667
621.28,10.4572,26.3336,17.5611333333,22.8294,15.8818,10.9774666667,14.7432666667,29.0993333333,16.0914,20.3858,10.0180666667
621.62,10.5609333333,26.3456,17.6123333333,22.9038,15.9792,11.1093333333,14.8000666667,29.1438666667,16.1444666667,20.4846,10.1326666667
621.95,10.6591333333,26.4214,17.6700666667,23.0020666667,16.0287333333,11.1454,14.8708,29.186,16.1272,20.5348666667,10.245
622.28,10.6688666666,26.4276,17.6544,22.9563333333,15.9751333333,11.0303333333,14.8586666667,29.1728,16.0968666667,20.4866666667,10.2205333333
622.62,10.6957333333,26.4732666667,17.7285333333,23.0316666667,16.0001333333,11.102,14.9054666667,29.1978666667,16.1011333333,20.5144,10.2688666667
622.95,10.6527333333,26.4004666667,17.7038,22.9768,15.9314666667,11.0238,14.8086666667,29.1327333334,16.0326666667,20.4611333333,10.1934666667
623.28,10.6880666667,26.4191333333,17.728,23.0141333333,15.9256,11.0764,14.7848,29.1975333333,16.0392666667,20.4454666667,10.2059333333
623.62,10.7121333333,26.4929333333,17.7748,23.0820666667,15.939,11.1582666667,14.8166666667,29.2242,16.032,20.4997333333,10.2322666667
623.95,10.7576666667,26.5302666667,17.843,23.0862666667,15.9394666667,11.1524,14.8242,29.2131333333,16.0622,20.542,10.3026666667
624.28,10.7556666667,26.5442,17.84,23.1276666667,15.9328666667,11.1405333333,14.8794666667,29.2531333333,16.0718666667,20.5373333333,10.311
624.62,10.7111333333,26.5647333333,17.8275333333,23.0906,15.9418666667,11.0881333333,14.8594,29.2842,16.0540666667,20.5093333333,10.2737333333
624.95,10.7588,26.6948666667,17.8976,23.1721333333,15.936,11.0921333333,14.9226666667,29.3934,16.0742666667,20.5412,10.3227333333
625.28,10.5867333333,26.5768666667,17.7491333333,23.0195333333,15.7774666667,10.9268666667,14.7465333333,29.259,15.8965333333,20.3837333333,10.1347333333
