wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
750.33,12.541025,36.0706666667,9.112,31.4436888889,9.51826666667,11.4237333333,10.2602,12.5453,15.3556333333,11.4572666667,15.7222666667
750.64,12.3186416667,35.6236,8.7732,31.0147814815,9.19196666667,11.1629333333,10.0573333333,12.3056333333,15.0516,11.3085333333,15.4626
750.96,12.294675,35.4072666667,8.86366666667,30.9143259259,9.20053333333,11.1110666667,10.237,12.4515333333,15.1691666667,11.4608666667,15.3783333333
751.27,12.7160333333,35.6440666667,9.32573333334,31.1239333333,9.50309999999,11.6226666667,10.873,12.7886666667,15.5698,11.8768,15.8087333333
751.59,13.0199,35.8596333333,9.85220000002,31.5239296296,9.85233333333,12.062,11.2962666667,13.2006666667,16.0247333333,12.4449333333,16.2712
751.90,13.2051916667,35.8333333333,10.1784666667,31.6620185185,10.0125,12.1229333333,11.5274666667,13.3308333333,16.2041,12.7083333333,16.2524
752.22,13.1645,35.6855333333,10.0272666667,31.4755888889,9.84856666667,12.1062666667,11.3910666667,13.0502333333,15.9898333333,12.5808,16.083
752.53,13.2675333333,35.6503,9.92000000001,31.6257148148,9.85616666667,11.9954666667,11.3454,13.1031666667,15.9566333333,12.6681333333,16.0990666667
752.85,13.0338416667,35.1495,9.6558,31.2587962963,9.7184,11.6960666667,11.1979333333,12.8891666667,15.6665666667,12.382,15.8492666667
753.16,12.98595,35.1073666667,9.6682,31.0463962963,9.66326666665,11.8014,11.0754666667,12.8329666667,15.5477333333,12.2854,15.7386666667
753.47,12.7904083333,34.6594666667,9.57046666666,30.623662963,9.3662,11.5924666667,10.7957333333,12.5576,15.1924666667,11.9811333333,15.4675333333
753.79,13.0891833333,34.7634333333,9.80153333333,30.9580259259,9.57659999999,11.6474666667,11.0602,12.7500666667,15.4788666667,12.1994,15.8062
754.10,13.0353083333,34.8365666667,9.73873333333,31.1010518519,9.47883333333,11.6168,11.0135333333,12.5910666667,15.4094333333,12.1544666667,15.8122666667
754.42,13.0681666667,34.884,9.69393333333,31.0794740741,9.46053333333,11.5556666667,10.9538666667,12.6078666667,15.3494,12.0836666667,15.8912
754.73,12.428225,34.1514,8.93873333333,30.4824296296,9.03123333334,10.9224666667,10.2740666667,11.9940333333,14.7831333333,11.4654,15.1060666667
755.05,12.0656833333,33.8201,8.43646666667,30.1952851852,8.66086666667,10.5666,9.59013333333,11.4904666667,14.3812,11.1224,14.6044
755.36,11.6313166667,33.5,8.04753333333,29.8228074074,8.29886666667,10.1587333333,9.0132,11.1574333333,13.9522666667,10.6482,14.1691333333
755.67,11.5883666667,33.4848333333,8.1618,29.8131333333,8.32933333333,10.2124666667,9.12359999999,11.2708333333,14.0517666667,10.6506,14.2788666667
755.99,11.07375,33.1783666667,7.6288,29.4472444445,7.72553333333,9.75760000001,8.61233333333,10.6143666667,13.6014,10.0539333333,13.9046
756.30,11.1683916667,33.3481666667,7.67013333333,29.7255444444,7.85116666666,10.0013333333,8.50046666667,10.5977333333,13.6295666667,10.2881333333,14.0581333333
756.62,11.1430583333,33.4328333333,7.38953333333,29.9182148148,7.95823333333,9.89893333333,8.42333333333,10.6342666667,13.6388333333,10.3737333333,14.0862
756.93,10.9730416667,33.3663,7.08293333333,29.995137037,7.92743333333,9.76853333333,8.27373333334,10.56,13.5742666667,10.3382,13.9439333333
757.24,10.6847166667,33.4021666667,6.60046666667,29.7472074074,7.6054,9.65813333334,7.9652,10.2618666667,13.2961,10.1102666667,13.7083333333
757.56,10.8643916667,33.6079333333,6.76326666667,29.8181740741,7.8688,9.68119999999,8.0138,10.6763,13.5763666667,10.3023333333,13.8744
757.87,9.92873333333,32.7821666667,5.9466,29.1621148148,7.089,8.94886666666,7.09873333333,9.8559,12.7475,9.39753333333,12.8459333333
758.18,10.1923833333,33.2419333333,6.26193333333,29.284262963,7.19743333333,9.16713333333,7.25453333333,10.1095666667,13.0616666667,9.64113333333,13.1699333333
758.50,10.79885,33.837,6.6278,29.6449296296,7.46776666666,9.55313333333,7.80413333333,10.4995,13.5133,9.98753333333,13.6074666667
758.81,11.0031083333,34.3203,6.893,29.9110407407,7.757,9.95166666667,8.08553333334,10.8060333333,13.8619666667,10.3050666667,13.7776666667
759.13,10.8538666667,34.5118666667,6.75,29.9520481481,7.68726666667,9.91813333333,7.9438,10.8677,13.8539,10.2512666667,13.6858666667
759.44,11.070275,34.9365666667,6.92313333333,30.1191074074,7.92916666667,10.1268666667,8.15666666667,11.1148,14.0591333333,10.4388666667,13.6672666667
759.75,10.7387,34.7381,6.61393333333,29.9073222222,7.6003,9.81166666667,7.86906666667,10.9463,13.8446333333,10.0776,13.2362
760.07,10.3544666667,34.4462,6.36406666667,29.6059259259,7.10376666667,9.46439999999,7.51586666667,10.5899,13.5329666667,9.71126666666,12.9308666667
760.38,10.3434416667,34.5570666667,6.44773333333,29.5138925926,7.09776666667,9.49960000001,7.56766666666,10.6002666667,13.4885,9.73246666667,12.9924666667
760.69,10.5064666667,34.7976666667,6.6448,29.5499703704,7.31613333334,9.72106666668,7.80153333334,10.8408333333,13.6901333333,9.92886666667,13.0872666667
761.01,10.529975,34.7585333333,6.77846666667,29.3836481481,7.2748,9.86573333333,7.94933333334,10.8515666667,13.7098666667,9.97726666667,13.1098
761.32,11.5454666667,35.7796666667,7.6864,30.2374148148,8.10986666667,10.8098,8.88613333333,11.7083666667,14.6696,10.9900666667,14.1726666667
761.63,11.8914416667,36.0652666667,7.9216,30.4251740741,8.29603333333,11.0542666667,9.17659999999,11.9432,14.8525,11.2872,14.3204
761.94,11.7232583333,35.8340666667,7.92046666666,30.3653444445,8.20963333333,10.9254,9.16253333334,11.8499,14.7001333333,11.2466666667,14.3468666667
762.26,11.8384833333,35.6463333333,7.8272,30.3487259259,8.13603333333,10.8802,9.11326666666,11.6985,14.6020333333,11.2791333333,14.5646666667
762.57,12.11915,35.7605333333,8.02846666667,30.5145777778,8.2526,11.0839333333,9.31553333334,11.7561666667,14.8007,11.442,14.8796666667
762.88,12.164425,35.6045666667,8.23373333333,30.4997555556,8.26133333333,11.1795333333,9.43046666667,11.8075666667,14.8666666667,11.5374666667,15.1609333333
763.20,12.3385,35.7600333333,8.3354,30.4700074074,8.3696,11.2598,9.59113333334,11.8060333333,14.9773333333,11.644,15.3306666667
763.51,12.3694166667,35.7526333333,8.39326666667,30.3884222222,8.48153333333,11.2776,9.68106666666,11.7773666667,14.9858333333,11.692,15.3686666667
763.82,12.5536083333,36.0994333333,8.62206666667,30.6657814815,8.59653333333,11.3962,9.8716,11.8723,15.1511,11.7884,15.5799333333
764.14,12.7198833333,36.1342333333,9.03066666666,30.8805148148,8.90673333334,11.6793333333,10.1684666667,12.1593666667,15.4281,12.1108666667,15.9152666667
764.45,12.7613416667,36.1987666667,9.04646666667,31.0935037037,9.05986666666,11.7134,10.2939333334,12.1998333333,15.6037333333,12.2048,16.0594666667
764.76,12.7535083333,36.1937333333,9.028,31.0693185185,9.04996666667,11.7060666667,10.3282666667,12.2188,15.6525333333,12.2594666667,16.0447333333
765.07,12.7660583333,36.2687666667,9.12159999999,31.3491962963,9.15730000001,11.8679333333,10.5546,12.3275666667,15.7199666667,12.3506,16.2666
765.39,12.7717583333,36.3152666667,9.14893333334,31.3721888889,9.2435,11.8998666667,10.5368,12.3082333333,15.7280666666,12.3434666667,16.3458
765.70,12.9408083334,36.5708333333,9.38560000001,31.6498444444,9.53523333333,12.1690666667,10.854,12.5762,15.9791666667,12.5619333333,16.5840666667
766.01,12.643775,36.3551,9.08560000001,31.6476296296,9.32603333335,11.8734666667,10.5685333333,12.3413666667,15.6811666667,12.3794666667,16.2
766.32,12.5806916667,36.5185666667,8.86266666667,31.742562963,9.36069999999,11.7208666667,10.3800666667,12.2501,15.5361666667,12.2692666667,15.9120666667
766.64,13.310625,37.0141666667,9.64833333333,32.5064555556,10.0841,12.4419333333,11.1633333333,13.0017,16.2651666667,12.9488666667,16.6852666667
766.95,13.8353583333,37.5067333333,10.1870666667,33.2143888889,10.6337,13.1106666667,11.8343333333,13.6405,16.9634666667,13.4460666667,17.1742666667
767.26,13.8797083333,37.4131666667,10.0263333333,33.3760703704,10.6799,13.2406666667,11.9083333333,13.6470333333,17.0606333333,13.7536666667,17.1998
