wavelength,Back_ParDomf,Belly_ParDomf,Breast_ParDomf,Crissum_ParDomf,Crown_ParDomf,DorTail_ParDomf,Rump_ParDomf,Throat_ParDomf,WingTip_ParDomf
275.18,5.66391666667,8.88591666667,7.88291666667,8.88108333335,6.19316666667,9.60074999999,8.25891666666,5.07425,11.074
275.55,6.01825,9.11533333334,8.5425,9.63108333332,6.31775,10.0589166666,8.73250000001,5.35283333333,11.3201111111
275.93,6.13208333333,9.06291666666,8.53575,9.79283333335,6.33416666667,10.3756666667,9.10408333334,5.38533333333,11.0532222222
276.30,5.90258333333,8.93720833333,8.27425,9.98316666668,6.10408333333,10.7445833334,9.00616666667,5.08266666667,10.4369444444
276.67,6.18141666667,8.90004166667,8.06866666667,10.2855,6.24125,10.62025,9.42691666665,5.24766666667,10.4455
277.04,6.00066666667,9.10745833334,7.91841666667,10.5698333333,6.04133333333,10.8529166667,9.54758333334,5.26208333333,10.8784444444
277.41,6.0975,9.35966666668,8.42483333335,11.17875,6.30583333334,11.3313333334,9.99500000001,5.40658333333,11.6699444444
277.79,5.31191666666,8.61125,7.68466666667,10.4950833333,5.71333333333,10.81425,9.31649999999,4.55533333333,11.0597222222
278.16,6.4235,9.607625,8.8855,11.4895,6.78316666667,12.0264166667,10.3343333333,5.87141666667,12.4451111111
278.53,5.80708333334,8.84479166666,8.33341666668,10.83425,6.18166666667,11.4924166667,9.72558333334,5.22483333333,11.8536111111
278.90,5.87566666667,9.07462500001,8.29325,10.7106666667,6.08166666667,11.3891666667,9.51950000001,5.46841666667,11.9353333333
279.27,4.67008333333,7.90329166667,7.10383333333,9.58308333332,4.84716666667,10.1650833333,8.33341666667,4.29066666667,10.6726111111
279.64,4.49883333333,7.61116666666,6.53166666667,8.94216666666,4.52908333333,9.91849999999,8.19741666667,3.85958333334,10.5238888889
280.02,4.1345,7.62608333334,6.44233333334,8.60641666666,4.29325,9.56408333334,7.67308333334,3.80183333333,10.2276111111
280.39,3.9755,7.46904166667,6.22216666667,7.946,3.96575,9.1565,7.4715,3.70408333334,10.1781111111
280.76,3.37491666667,7.02758333334,5.8445,7.33883333333,3.45958333333,8.69616666667,6.61291666667,3.28525,9.72555555556
281.13,3.34533333334,6.73870833333,5.74525,6.96583333333,3.26725,8.18641666667,6.31866666667,2.85425,9.196
281.50,3.4375,6.76483333333,5.51058333333,6.74916666667,3.00658333334,7.99241666667,6.30925,2.91683333333,8.942
281.87,3.98766666667,7.27633333333,5.91816666667,7.01875,3.14025,8.36825,6.54683333333,3.20141666667,9.32327777778
282.25,4.11775,7.11408333333,5.63941666667,6.73916666666,3.086,8.18416666667,6.61558333333,3.00508333333,8.90888888889
282.62,4.84858333334,7.77825000001,6.48291666666,7.40191666667,3.85891666667,8.558,7.16483333334,3.676,9.44472222222
282.99,5.07658333333,8.03341666666,6.99266666667,7.75375000001,4.41225,9.00975000001,7.50816666667,3.98141666667,9.75316666667
283.36,5.515,8.37441666666,7.21391666667,8.071,4.873,9.39800000001,7.95358333334,4.34866666667,10.2680555556
283.73,5.71191666667,8.59995833333,7.52008333334,8.30300000001,5.12175,9.69866666667,7.95883333333,4.67916666667,10.3396111111
284.10,5.57625,8.37937499999,7.31866666667,8.13491666667,4.90741666667,9.45799999999,7.94,4.47358333334,10.3662777778
284.47,5.83658333333,8.41345833333,7.67883333333,8.53266666665,5.27825,9.61724999999,8.12000000002,4.87633333333,10.8122777778
284.85,6.18691666667,8.60933333333,8.04691666667,8.83708333334,5.54866666667,10.0345,8.45075000001,4.98291666667,11.0420555556
