wavelength,Back_SpoLucm,Belly_SpoLucm,Breast_SpoLucm,Crissum_SpoLucm,Crown_SpoLucm,DorTail_SpoLucm,Patch10_SpoLucm,Rump_SpoLucm,Throat_SpoLucm,WingTip_SpoLucm
381.61,5.64574074075,34.0753333333,4.29544444445,40.1087777778,4.05288888889,6.82777777778,32.8244444445,4.95955555555,4.40155555556,7.88155555555
381.97,5.61007407408,34.1141111111,4.251,40.1934444445,4.006,6.78333333333,32.8604444444,4.94577777778,4.35055555555,7.86244444444
382.33,5.57435185186,34.2566666666,4.20855555555,40.342,3.97211111111,6.75088888889,32.9925555555,4.90977777778,4.29966666667,7.82222222222
382.69,5.60683333334,34.4627777778,4.21744444444,40.4682222222,3.96411111111,6.76877777778,33.1266666666,4.89022222222,4.32755555556,7.82688888889
383.05,5.58266666667,34.5574444444,4.20111111111,40.5043333333,3.96966666667,6.753,33.2042222222,4.82955555556,4.27211111111,7.75977777778
383.41,5.55155555555,34.6913333333,4.21288888889,40.5553333333,3.93122222222,6.72511111111,33.2743333333,4.73777777778,4.22822222222,7.75444444444
383.77,5.58655555555,34.7595555556,4.243,40.6152222222,3.98144444444,6.74577777778,33.3367777778,4.77644444444,4.25555555555,7.75477777778
384.14,5.56877777778,34.9643333333,4.19844444444,40.7954444444,3.933,6.70122222222,33.4964444444,4.75322222222,4.22022222222,7.69855555555
384.50,5.64418518519,35.0545555556,4.20333333333,40.8484444444,3.93777777778,6.68244444444,33.5506666667,4.75311111111,4.232,7.73133333333
384.86,5.67324074074,35.2034444445,4.16977777778,40.9592222222,3.90988888889,6.682,33.6304444444,4.75211111111,4.22877777778,7.74866666667
385.22,5.70985185186,35.3655555556,4.18333333333,41.1092222222,3.88488888889,6.70888888889,33.7348888889,4.747,4.22088888889,7.78811111111
385.58,5.76103703703,35.5053333333,4.21488888889,41.2418888889,3.94288888889,6.73866666667,33.8655555555,4.79111111111,4.25355555555,7.83911111111
385.94,5.73833333333,35.6048888889,4.14566666667,41.2913333333,3.92544444444,6.716,33.8911111111,4.76377777778,4.21788888889,7.80888888889
386.30,5.76798148148,35.6984444445,4.13711111111,41.3542222222,3.89777777778,6.71622222222,33.9474444444,4.76511111111,4.23733333333,7.82955555556
