wavelength,Back_TanPerm,Belly_TanPerm,Breast_TanPerm,Crissum_TanPerm,Crown_TanPerm,DorTail_TanPerm,Patch10_TanPerm,Patch11_TanPerm,Rump_TanPerm,Throat_TanPerm,WingTip_TanPerm
812.93,15.2876666667,51.3396666667,17.6123333333,50.3546666667,40.6226666667,11.584,13.7116666667,47.045,54.0583333333,20.2916666667,17.2973333333
813.24,14.8773333333,52.714,18.8176666667,51.7893333333,42.4206666667,12.364,14.1533333333,48.492,55.0463333333,20.426,17.692
813.54,15.7166666667,53.6023333333,20.467,52.2566666667,43.3886666667,14.252,14.806,49.3666666667,55.1463333333,22.1693333333,19.121
813.85,16.1713333333,54.7763333333,21.641,53.151,43.48,14.804,14.5063333333,48.6723333333,55.6876666667,24.376,19.659
814.15,15.981,54.9546666667,22.0133333333,53.8973333333,44.2616666667,14.689,14.3753333333,48.335,55.5033333333,24.011,20.6813333333
814.46,16.2343333333,55.975,22.7983333333,53.656,44.8903333333,14.092,14.2296666667,48.3096666667,56.6036666667,23.2313333333,20.5186666667
814.76,14.5706666667,56.1276666667,22.1956666667,53.6126666667,45.1493333333,13.054,13.7723333333,48.423,56.7666666667,21.437,20.3193333333
815.07,15.339,57.5506666667,24.0983333333,53.9043333333,46.6113333333,15.22,15.9333333333,49.1876666667,57.709,22.6316666667,21.0066666667
815.37,15.083,58.63,24.4653333333,54.1566666667,47.625,15.855,16.1123333333,50.0793333333,57.1653333333,22.763,21.734
815.68,15.579,59.0353333333,25.1876666667,55.16,48.438,15.836,16.9236666667,51.4036666667,57.651,22.6966666667,22.2613333333
815.98,16.092,60.2853333333,25.7233333333,56.48,49.3856666667,15.636,16.1316666667,51.9223333333,57.8676666667,23.583,23.187
816.29,16.9003333333,60.4363333333,26.6743333333,56.4253333333,49.6496666667,16.2965,16.8223333333,52.765,57.866,23.8706666667,25.039
816.59,17.6493333333,59.826,26.153,55.0266666667,48.1856666667,15.5895,16.6663333333,52.1543333333,57.521,23.9606666667,24.6786666667
816.89,17.245,59.3506666667,25.0843333333,54.9083333333,48.4883333333,15.2855,16.5733333333,51.5116666667,57.559,23.7026666667,23.5533333333
817.20,16.9736666667,58.3966666667,25.1356666667,54.749,48.2123333333,16.4135,17.046,51.21,56.8436666667,23.1493333333,22.4993333333
817.50,16.1543333333,57.6526666667,24.284,52.8806666667,46.5183333333,15.854,15.942,50.3713333333,55.8503333333,22.3753333333,20.926
817.81,16.2886666667,57.0103333333,24.2613333333,52.8523333333,46.4606666667,16.392,15.3606666667,50.7556666667,55.67,22.921,22.0616666667
818.11,17.443,57.4493333333,24.711,52.6923333333,47.1756666667,17.0465,15.494,51.4703333333,56.4586666667,24.2153333333,22.4643333333
818.41,16.7773333333,57.03,24.1706666667,51.8166666667,46.2876666667,16.019,14.1233333333,51.5006666667,56.2716666667,23.9176666667,21.8953333333
818.72,16.337,56.265,22.842,51.019,45.3836666667,14.703,13.729,50.5096666667,55.3656666667,23.3513333333,22.1223333333
819.02,16.044,55.9423333333,21.477,50.8206666667,44.5953333333,13.837,13.2426666667,49.321,55.3766666667,22.807,21.958
819.33,15.8983333333,54.48,20.635,50.1023333333,42.985,13.364,13.2873333333,49.8206666667,54.8386666667,21.6846666667,20.635
819.63,15.8196666667,54.2336666667,19.5633333333,50.3343333333,42.2236666667,12.634,13.2573333333,49.4873333333,54.9686666667,21.435,19.8306666667
819.93,15.3946666667,53.417,18.489,50.7973333333,42.0843333333,11.845,12.5283333333,49.1266666667,54.5176666667,20.805,19.5326666667
820.24,15.0423333333,52.9683333333,18.339,50.8723333333,41.3506666667,11.498,12.45,48.5836666667,54.2326666667,19.779,19.315
820.54,14.762,52.7583333333,17.7443333333,51.0643333333,41.1956666667,11.224,12.1053333333,48.204,54.1006666667,19.3303333333,19.4113333333
820.85,14.724,53.008,17.6383333333,51.58,41.3623333333,11.3235,12.1956666667,48.338,54.389,19.1363333333,19.745
821.15,14.629,52.8693333333,17.4476666667,51.5716666667,41.322,11.3445,12.186,47.9723333333,53.7816666667,18.8466666667,19.5053333333
821.45,14.6003333333,52.7406666667,17.9513333333,51.788,41.3116666667,11.563,12.48,47.9513333333,53.5576666667,18.931,19.937
821.76,14.5456666667,52.4163333333,17.74,51.941,41.2203333333,11.7935,12.58,47.7556666667,53.538,18.8533333333,20.2706666667
822.06,14.9616666667,52.653,17.9513333333,52.2936666667,41.613,12.2705,12.867,47.8133333333,54.098,19.1283333333,20.2373333333
822.36,15.1496666667,52.677,18.016,52.312,41.736,12.363,12.925,47.6663333333,53.8363333333,19.1463333333,20.2993333333
822.67,15.036,52.7866666667,17.8906666667,52.3586666667,41.854,12.235,12.9733333333,47.4273333333,54.093,19.1253333333,20.367
822.97,15.2253333333,53.025,18.1866666667,52.647,42.0803333333,12.639,13.2776666667,47.56,54.3806666667,19.3703333333,20.698
823.27,15.4203333333,53.446,18.556,53.1243333333,42.359,13.0345,13.8273333333,47.738,54.6516666667,19.513,21.1646666667
823.58,15.458,53.45,18.474,53.235,42.4976666667,13.0095,13.7766666667,47.663,54.7393333333,19.664,21.5133333333
823.88,15.492,53.6313333333,18.5276666667,53.383,42.506,12.928,13.7966666667,47.9816666667,55.095,19.5453333333,21.7286666667
824.18,15.4906666667,53.7066666667,18.4976666667,53.4373333333,42.6316666667,13.139,13.8753333333,47.9983333333,54.954,19.6463333333,21.9256666667
824.49,15.6876666667,54.253,18.912,53.9266666667,42.73,13.398,13.9663333333,48.3976666667,55.727,19.7626666667,22.4136666667
824.79,15.959,54.6373333333,18.648,54.115,42.9456666667,13.455,14.032,48.3453333333,56.0523333333,19.791,22.8063333333
825.09,16.0733333333,55.0926666667,18.673,54.2256666667,43.1026666667,13.408,13.9363333333,48.3023333333,56.256,19.919,22.768
825.39,15.6253333333,55.2593333333,19.004,54.3063333333,43.0513333333,13.434,13.986,48.6283333333,55.9833333333,19.944,23.1963333333
825.70,15.591,55.7503333333,19.2563333333,54.6746666667,43.4396666667,13.725,14.1566666667,49.1633333333,56.388,20.173,23.612
826.00,15.7716666667,56.2923333333,19.4603333333,54.7466666667,43.7616666667,14.178,14.2393333333,49.634,56.6176666667,20.613,24.2746666667
826.30,15.7946666667,56.4093333333,19.3246666667,54.9416666667,44.1306666667,13.9535,14.0086666667,49.6403333333,57.129,20.764,24.765
826.61,15.663,56.393,19.0176666667,54.3016666667,44.1123333333,13.937,13.4596666667,49.628,57.0383333333,21.0526666667,24.9266666667
826.91,15.9623333333,56.8046666667,19.3996666667,54.7053333333,44.2796666667,14.2225,13.553,49.9576666667,57.298,21.499,25.0636666667
827.21,15.8016666667,56.2966666667,19.2343333333,54.3973333333,44.3083333333,14.141,13.8176666667,49.4583333333,56.4936666667,21.8233333333,24.6796666667
827.51,16.1396666667,56.0256666667,19.6013333333,54.3876666667,44.3446666667,14.1455,13.775,49.4446666667,56.5953333333,22.0083333333,24.5586666667
827.82,16.1696666667,55.424,19.722,54.0496666667,44.4006666667,14.1665,13.9033333333,49.2253333333,56.0233333333,22.091,24.6343333333
828.12,15.2946666667,54.6253333333,19.0716666667,53.5766666667,43.7866666667,13.506,13.182,48.7973333333,55.936,21.4,23.3426666667
828.42,15.4473333333,54.3116666667,18.933,53.3793333333,43.5933333333,13.402,13.3036666667,49.1573333333,55.8336666667,21.4856666667,23.2206666667
828.72,15.4573333333,53.645,18.7873333333,52.9093333333,43.428,13.328,13.1966666667,49.2466666667,55.6956666667,21.2936666667,23.3263333333
829.02,15.0286666667,53.3526666667,18.6096666667,52.6286666667,42.876,13.486,13.257,49.238,55.4096666667,21.219,22.8376666667
829.33,14.9906666667,52.5406666667,18.659,52.5826666667,42.7156666667,12.903,13.0086666667,48.893,54.6276666667,20.7886666667,22.0953333333
829.63,14.7706666667,52.1303333333,18.797,52.411,42.1816666667,12.6055,12.9213333333,49.2273333333,53.4643333333,20.3183333333,21.5586666667
