wavelength,Back_GeoConf,Belly_GeoConf,Breast_GeoConf,Crissum_GeoConf,Crown_GeoConf,DorTail_GeoConf,Patch10_GeoConf,Rump_GeoConf,Throat_GeoConf,WingTip_GeoConf
800.70,15.0878,16.6271333333,11.6934,17.4722,10.4117333333,17.0067333334,31.758,14.7941555556,13.6340666667,24.8119666667
801.00,14.2836666667,15.7163666667,10.9539333333,16.7644666667,9.75706666665,16.5687333333,30.9685333333,14.0564,13.2898,24.1893666667
801.31,14.9068,16.5752666667,11.4965333333,17.8851333333,10.8307333333,16.9777333333,31.9575333333,14.6334666667,13.9554,25.2177
801.62,14.6174,16.6891333333,11.6161333333,18.2604,10.9144,17.5960666667,32.2806666667,14.5028666667,13.9604,25.3825666667
801.92,14.0928666667,16.6628333333,11.2082666667,18.2738666667,10.4106666667,17.6064666667,32.3053333333,14.5760666667,13.5942,24.6835333333
802.23,14.2582666667,16.3119666667,11.0982,17.9498,10.4508666667,17.1636666667,32.578,14.9955111111,12.8477333334,24.6745
802.54,12.3202666667,14.2755666667,9.23433333334,16.2386,9.01446666667,15.3435333333,30.6792,13.5113333333,11.2445333333,22.8465666667
802.84,11.3054,12.6946,8.07180000001,14.9381333333,7.54486666666,14.379,29.7805333333,11.9894444444,9.5808,21.5809333333
803.15,12.3639333333,12.9359333333,8.95506666666,15.5502666667,8.29553333332,15.5423333333,30.0992666667,12.6472888889,10.6316,22.1852333333
803.46,13.2614,13.7934666667,9.77200000001,16.5986,9.13166666667,16.4386666667,30.9163333334,13.8187111111,11.2364,22.4009666667
803.76,12.4307333333,12.9295333333,9.45353333333,16.049,8.55106666667,15.9146,30.1109333333,13.2224666667,10.4274666667,21.2550666667
804.07,10.3001333333,10.1841,6.7626,13.7734666667,6.01040000001,13.0932666667,27.7231333333,10.2494444444,7.55486666667,17.8552
804.38,11.643,11.4298666667,7.73286666666,14.7866,6.91946666666,14.2258666667,28.9415333333,11.5771555556,8.38073333334,19.3008666667
804.68,10.6762666667,10.3439333333,6.8644,12.8034,5.90759999999,13.8394,27.6551333334,10.7815777778,7.331,18.0467
