wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
235.54,13.4736,15.228,16.9823333333,7.69063333333,17.9649333333,18.1052666667,23.4209333333,9.96483333333,11.3684666667,19.7544
235.91,14.3925333333,14.3614,16.1682666667,8.58399393939,18.0997333333,19.0967333333,23.7694666667,11.5108,11.5888333333,16.1682666667
236.29,9.753,13.0554666667,11.2347,5.51488787877,14.5986,15.4322,18.0556666667,8.0402,5.91053333333,11.6357333333
236.66,6.79299999999,12.5119333333,8.86246666667,3.53007575757,11.248,12.2591333333,13.0173,4.86573333333,3.04906666667,8.46780000001
237.04,8.3828,14.6203333333,10.9902,4.92193030304,10.099,13.7292,15.3630666667,4.81836666666,3.0199,8.38280000001
237.41,4.0074,9.7378,5.71163333333,0.217954545454,3.40826666667,8.53933333332,10.8991333333,-1.25456666667,-0.842700000006,2.43440000001
237.79,8.25046666667,11.0498,7.0718,2.6052,6.92446666666,13.9594666667,13.4989,2.33876666667,3.51743333332,7.58733333333
238.17,3.77773333333,5.99993333334,3.85193333333,-3.68853636364,2.07413333333,8.81479999999,8.98146666667,-1.426,-0.518433333334,3.51853333333
238.54,2.06773333333,3.70759999999,1.56876666667,-5.69433333333,0.320800000001,5.38319999999,5.65046666667,-3.9929,-2.70929999999,2.38866666668
238.92,0.206066666668,2.92099999999,2.1135,-6.34655757576,-0.859000000001,5.9106,4.58766666667,-2.13066666667,-3.62546666667,2.81773333334
239.29,-0.999999999998,0.9,1.6,-6.62878787879,-1.86666666667,5.40000000001,2.56666666667,-2.83333333333,-4.54999999999,4.33333333333
239.67,6.33473333333,8.21580000002,10.0,2.3162030303,5.44953333333,12.1992666667,9.00410000001,4.744,4.09406666666,11.3968
240.04,10.6866666667,12.7840666667,14.0575333333,6.81315757577,9.88766666665,15.9551333333,11.5106333333,9.31333333333,9.82526666666,16.2298666667
240.42,14.7078,15.2206666667,17.9794,10.3476848485,14.0512,19.7538666667,15.3643333333,14.123,14.6052,19.2207333333
240.79,15.1228666667,15.7018,17.6666666667,10.9592969697,15.5263333333,19.9999333333,16.0438333333,15.0176,15.1404666667,19.6666
241.17,14.3215333333,15.3098,16.4968666667,11.676860606,15.3982,18.3479333333,14.5428666667,15.4203666667,15.5530666667,18.2596
