wavelength,Back_TanSchf,Belly_TanSchf,Breast_TanSchf,Crissum_TanSchf,Crown_TanSchf,DorTail_TanSchf,Patch10_TanSchf,Patch11_TanSchf,Patch12_TanSchf,Patch13_TanSchf,Patch14_TanSchf,Patch15_TanSchf,Rump_TanSchf,Throat_TanSchf,WingTip_TanSchf
221.23,37.0562,27.7489,7.09953333334,-0.51946666666,5.974,4.50226666668,8.48486666667,18.3549333333,-7.2728,17.3161333333,-3.11679999999,-4.32913333335,23.2900666667,25.9739333333,8.98514814813
221.61,29.1280666667,20.5128,-8.71786666667,-14.1025,-3.58979999999,-10.8718666667,-7.79493333334,5.74346666669,-28.6154666667,4.92299999999,-13.4359333333,-14.7692,13.9487333333,17.2308,-4.71795555554
221.98,26.4516666667,15.0538,-15.1613333333,-20.4300333333,-9.78506666668,-16.7743333333,-10.0001333333,-2.25799999999,-36.0214,2.15053333334,-21.2904,-25.8064666667,7.95680000002,15.0538,-13.7396444444
222.36,11.2500666667,-5.3472,-45.1389999999,-45.9724,-34.4444,-38.1944666667,-33.4721999999,-18.7500666667,-71.5277333333,-17.6388,-44.3055333333,-52.9166666667,-13.6111333334,-3.88886666666,-49.4520925925
222.74,11.0382666667,-5.13663333332,-31.0382,-33.0601666667,-23.3879333333,-27.4316666667,-20.8742,-10.8195333333,-51.6938666667,-12.6775333333,-29.8360666667,-31.2566000001,-5.68313333334,-2.40439999999,-34.4383481482
223.11,5.52373333333,-7.57146666666,-25.7142666667,-27.0951333333,-21.5238,-28.2856666667,-21.5238,-11.2381333333,-47.143,-17.0476666667,-29.9048666667,-26.8572,-6.0,-3.04759999999,-34.8676185185
223.49,7.00859999999,-0.811933333334,-18.2051333333,-17.4359333333,-18.6324666667,-18.5468666667,-15.8974666667,-7.69240000002,-38.2905333333,-8.20519999999,-22.1368,-19.8290666667,-0.256599999986,1.53840000001,-27.0988074074
223.87,-1.96073333333,-19.3626666667,-37.0588,-29.2646666667,-38.0393333333,-40.1960666667,-30.8824,-18.0392666667,-54.0196666667,-11.9608,-31.1764,-35.2942666667,-13.4312666667,-7.94120000001,-41.2200740741
224.24,-6.34926666667,-25.9787666667,-45.5027333333,-36.8781666667,-42.1164,-47.3016666667,-36.4021333333,-22.0106,-57.4603333333,-13.3332666667,-29.5236666667,-37.672,-15.344,-12.3808666667,-49.2533333333
224.62,-21.8079333333,-44.8587333333,-58.6440000001,-57.0056666667,-59.8870666667,-70.7344,-62.5988000001,-41.017,-75.0283333333,-31.8644,-44.6326666667,-54.5763333333,-33.6723333333,-29.2655333333,-70.9480962963
225.00,-14.826,-31.8906,-42.2884666667,-52.4875333333,-44.9751333333,-53.1344,-50.2487333334,-31.0448,-59.3034666667,-19.5024666667,-37.1144666667,-46.6667333334,-20.6965333333,-22.2884666667,-55.5278444444
225.38,-5.40093333334,-16.3292,-22.5316666667,-35.6964,-25.1477333333,-36.4556666667,-28.6918666667,-16.1181333333,-42.6161333333,-10.1265333333,-22.3629333333,-33.6708,-9.53586666666,-10.2109333333,-41.3643074074
225.75,-0.755999999994,-7.25099999999,-10.5154666667,-24.708,-11.6151333333,-22.6804,-15.189,-7.28519999999,-25.0858666667,-5.63573333333,-13.7457333333,-20.0687333333,-4.19253333334,-4.46733333334,-24.8874407407
226.13,-5.26320000001,-13.8946666667,-14.3859333333,-26.7017,-14.8771333333,-28.2806,-21.8245333333,-11.7193333333,-30.5964,-9.89460000001,-16.842,-27.0876666667,-10.3859333333,-10.8069333333,-19.5984037037
