wavelength,Back_ParHumf,Belly_ParHumf,Breast_ParHumf,Crissum_ParHumf,Crown_ParHumf,DorTail_ParHumf,Patch10_ParHumf,Patch11_ParHumf,Patch12_ParHumf,Patch13_ParHumf,Rump_ParHumf,Throat_ParHumf,WingTip_ParHumf
750.64,21.5073333333,61.2133333333,34.4363333333,46.5073333333,13.5416666667,27.8183333333,16.6666666667,17.4633333333,43.566,15.38,21.7526666667,41.1153333333,19.3626666667
750.96,22.5293333333,61.8783333333,35.4203333333,48.189,14.426,29.036,17.618,17.864,44.4446666667,16.6973333333,23.143,42.5413333333,20.8716666667
751.27,22.5766666667,63.2896666667,36.273,49.4686666667,14.7593333333,29.1433333333,18.4493333333,18.3866666667,45.2156666667,17.2606666667,22.7016666667,43.6523333333,21.5136666667
751.59,22.9866666667,63.507,36.4313333333,49.5043333333,14.684,29.43,19.207,18.4016666667,45.477,17.224,22.986,43.3703333333,21.933
751.90,22.6413333333,63.7106666667,36.352,49.937,14.7796666667,29.371,18.931,17.8613333333,45.7233333333,17.2953333333,22.5786666667,43.8366666667,21.5723333333
752.22,21.0526666667,62.5313333333,35.213,49.1853333333,13.5336666667,28.1956666667,17.1676666667,17.105,44.1103333333,16.1653333333,21.3033333333,42.1053333333,20.4886666667
752.53,20.7766666667,63.495,34.6926666667,49.7733333333,12.751,28.2846666667,16.6993333333,16.0516666667,44.531,15.4046666667,20.3883333333,41.5533333333,20.518
752.85,21.4946666667,63.6903333333,34.8546666667,49.868,12.3676666667,27.4473333333,16.6003333333,16.2696666667,45.04,15.0133333333,19.9733333333,41.5343333333,20.8993333333
753.16,22.4,65.8,35.6666666667,51.4,11.8,27.1333333333,17.3333333333,15.9333333333,45.2,15.3333333333,19.3333333333,42.1333333333,20.9333333333
753.47,21.8366666667,66.3943333333,35.9866666667,52.3126666667,10.6803333333,27.075,17.347,15.374,45.3063333333,15.034,19.1153333333,41.9046666667,20.5443333333
753.79,22.8993333333,67.717,36.4146666667,52.731,9.73366666667,27.241,16.8763333333,15.3363333333,44.468,15.056,19.3976666667,41.5266666667,20.3783333333
754.10,21.941,66.8073333333,36.3573333333,51.8986666667,9.283,27.0746666667,16.2443333333,14.6976666667,44.585,14.979,19.4793333333,41.1393333333,19.2686666667
754.42,21.8193333333,66.24,35.821,51.2436666667,8.10233333333,26.7236666667,14.641,14.8543333333,44.1363333333,13.0776666667,18.7633333333,40.2986666667,18.479
754.73,22.6606666667,66.6666666667,35.5993333333,51.462,7.529,26.7546666667,13.962,14.181,44.883,12.7193333333,18.2746666667,40.1313333333,17.7633333333
755.05,22.9626666667,65.852,35.2593333333,51.111,6.889,26.074,13.1853333333,14.889,44.5923333333,12.222,17.926,40.3703333333,17.6296666667
755.36,22.443,64.533,35.3203333333,50.11,6.25466666667,25.092,12.73,14.4226666667,44.371,11.1113333333,17.9543333333,39.294,17.9546666667
755.67,23.988,65.9306666667,36.8653333333,51.5086666667,8.683,27.1523333333,15.379,16.483,46.1366666667,13.1716666667,19.279,41.869,19.8676666667
755.99,24.196,65.351,37.2806666667,50.8773333333,8.40633333333,27.5586666667,15.5703333333,17.5436666667,46.199,12.4266666667,19.5906666667,41.8863333333,19.2983333333
756.30,25.0366666667,66.593,38.0323333333,51.8356666667,8.73733333333,28.194,17.6946666667,18.9426666667,46.4023333333,12.4813333333,20.338,43.0983333333,20.191
756.62,25.167,66.8893333333,37.5646666667,52.19,9.79966666667,28.8046666667,17.892,20.6386666667,47.0676666667,12.1753333333,20.2673333333,43.7266666667,20.7126666667
756.93,26.238,67.184,36.4376666667,50.85,9.90366666667,27.938,17.5906666667,21.7296666667,46.3413333333,12.195,18.9206666667,44.1243333333,20.547
757.24,25.839,65.0963333333,35.903,51.1063333333,10.4926666667,27.409,17.63,21.9843333333,46.5383333333,12.4196666667,19.0576666667,44.6823333333,20.6993333333
757.56,26.5363333333,65.4373333333,35.5026666667,51.7716666667,10.0506666667,26.5366666667,18.221,21.692,46.6376666667,11.569,18.6553333333,45.4086666667,21.1136666667
757.87,26.5513333333,65.7286666667,36.508,52.092,10.7503333333,26.046,18.8313333333,21.9336666667,47.3303333333,12.049,18.6866666667,45.8876666667,21.4286666667
758.18,25.3933333333,64.8783333333,35.98,50.3576666667,10.1573333333,25.2506666667,18.3116666667,21.6736666667,46.4236666667,12.0173333333,17.954,45.5653333333,21.2443333333
758.50,23.9916666667,63.482,34.1823333333,49.0446666667,9.20033333333,24.2036666667,17.2683333333,20.6653333333,45.6476666667,11.111,16.348,44.374,20.0283333333
758.81,24.2356666667,63.8236666667,34.044,49.3956666667,8.88433333333,24.3066666667,17.839,21.535,45.487,11.7983333333,16.6313333333,45.0603333333,18.621
