wavelength,Back_SalOref,Belly_SalOref,Breast_SalOref,Crissum_SalOref,Crown_SalOref,DorTail_SalOref,Patch10_SalOref,Patch11_SalOref,Rump_SalOref,Throat_SalOref,WingTip_SalOref
402.52,9.50706666667,16.9113666667,24.2777666667,6.7108,8.46216666667,6.74066666667,26.0455333333,4.63933333333,10.0944133333,35.6384666667,9.12073333333
402.88,9.56259999999,17.0125666667,24.4156333333,6.7742,8.51233333333,6.8066,26.1704666667,4.70713333333,10.1718133333,35.7708,9.1564
403.24,9.62846666667,17.1429,24.5273333333,6.8712,8.60843333333,6.88266666667,26.2922,4.77846666667,10.27908,35.8256666667,9.21746666667
403.60,9.67073333334,17.2156666667,24.6323666667,6.90813333333,8.65086666667,6.89873333333,26.4156,4.82033333333,10.3077066667,35.9675333333,9.2491
403.95,9.6464,17.2613,24.6894666667,6.9214,8.6448,6.9054,26.4544666667,4.81593333333,10.3007333333,36.013,9.2111
404.31,9.71180000001,17.3446666667,24.7792,6.94653333333,8.67753333333,6.9404,26.5027333333,4.85646666667,10.3154533333,36.0438,9.22193333333
404.67,9.71153333333,17.3172,24.8071,6.9634,8.69373333333,6.93466666667,26.5018666667,4.86393333333,10.3122533333,36.0102666667,9.25943333334
405.03,9.69313333334,17.3393666667,24.8572,6.971,8.69586666666,6.9282,26.5408666666,4.83613333333,10.3088133333,36.0762666667,9.24546666667
405.39,9.62366666666,17.3394333333,24.842,6.91606666667,8.64156666667,6.87426666666,26.4957333333,4.76573333333,10.2586533333,36.1289333333,9.18936666667
405.75,9.61486666666,17.3236,24.8573666667,6.91613333333,8.60853333333,6.8498,26.5218666667,4.71973333333,10.20944,36.193,9.15436666666
406.11,9.69739999999,17.4573333333,24.9907,7.02926666667,8.69243333333,6.9366,26.6713333333,4.813,10.2938133333,36.3338,9.23203333333
406.47,9.71666666667,17.5320333333,25.0785,7.04446666667,8.7078,6.93853333333,26.7510666667,4.82053333333,10.3228933333,36.3938,9.26756666666
406.83,9.66546666665,17.5491666667,25.1002333333,7.0132,8.67056666667,6.85773333334,26.7476666667,4.7504,10.2485333333,36.3778666667,9.24313333333
