wavelength,Back_IncPerf,Belly_IncPerf,Breast_IncPerf,Crissum_IncPerf,Crown_IncPerf,DorTail_IncPerf,Patch10_IncPerf,Patch11_IncPerf,Rump_IncPerf,Throat_IncPerf,WingTip_IncPerf
789.62,24.1183333333,38.0476666667,28.7746666667,28.6966666667,18.449,18.761,6.234,31.0925,16.0723333333,22.2093333333,15.5076666667
789.92,24.0073333333,38.227,28.6803333333,28.4396666667,18.0306666667,18.4916666667,6.077,30.9865,15.2023333333,22.142,15.082
790.23,23.657,37.925,28.6386666667,28.1263333333,18.2246666667,18.7166666667,6.17066666667,30.8425,14.7396666667,22.325,14.8216666667
790.54,23.3753333333,38.0206666667,28.875,28.0833333333,18.292,19.042,6.06233333333,30.969,14.9163333333,22.2503333333,14.562
790.85,23.5456666667,38.0043333333,29.1296666667,28.2166666667,18.9596666667,19.6816666667,6.32666666667,31.1785,15.52,22.463,14.947
791.16,23.4853333333,38.0863333333,28.88,28.1313333333,18.968,19.7816666667,6.872,31.053,16.185,22.7573333333,15.2856666667
791.47,23.344,37.9933333333,28.8673333333,27.8966666667,18.9426666667,19.7626666667,7.09833333333,31.165,16.095,22.5026666667,15.2103333333
791.78,23.558,38.0983333333,29.058,27.945,18.5926666667,19.884,6.81333333333,31.463,16.0986666667,22.5563333333,15.0746666667
792.08,22.9266666667,37.9966666667,28.0036666667,27.4293333333,17.62,19.1823333333,6.04166666667,30.6685,15.024,21.2956666667,14.1053333333
792.39,22.7813333333,38.6206666667,28.2786666667,27.6963333333,18.3786666667,19.7066666667,6.406,31.0275,15.467,20.9643333333,14.5123333333
792.70,22.722,39.1426666667,28.672,28.086,18.9973333333,20.2623333333,7.14433333333,32.1505,15.999,21.5273333333,15.5773333333
793.01,22.9426666667,39.4003333333,29.0563333333,29.033,19.6653333333,21.037,7.62433333333,32.6015,16.992,21.711,16.783
793.32,22.7033333333,39.1063333333,29.0493333333,29.095,20.252,20.9163333333,7.94933333333,32.5775,17.045,21.3516666667,17.5026666667
793.62,22.306,38.6636666667,28.758,28.9863333333,20.0183333333,20.11,7.59566666667,32.258,16.7466666667,20.27,16.93
793.93,22.336,38.775,28.119,28.3696666667,20.3093333333,19.513,7.673,32.377,16.3936666667,19.1486666667,17.2133333333
794.24,21.7756666667,38.783,27.407,28.2243333333,19.8683333333,18.892,7.879,31.914,15.554,18.7103333333,16.7346666667
794.55,21.9436666667,38.6893333333,27.051,27.8643333333,19.7516666667,19.209,7.86433333333,32.305,14.9153333333,18.1923333333,16.6326666667
794.86,22.0643333333,38.5273333333,26.8973333333,28.6356666667,19.4896666667,19.3763333333,7.63333333333,32.148,14.3406666667,18.067,16.3956666667
795.16,21.4173333333,38.2963333333,26.4923333333,28.4596666667,18.6006666667,18.936,6.97533333333,31.4555,13.995,17.5276666667,15.8956666667
795.47,21.767,38.2463333333,27.1426666667,28.9273333333,18.4623333333,19.3873333333,7.20433333333,31.89,14.5406666667,18.308,16.105
795.78,22.554,38.5063333333,27.749,29.3936666667,18.29,19.9133333333,7.46733333333,32.662,15.0866666667,19.134,16.4286666667
796.09,22.5433333333,38.043,27.8316666667,29.1796666667,17.4476666667,19.225,7.15066666667,31.535,15.0503333333,19.1606666667,15.6066666667
796.40,21.9013333333,37.808,27.81,28.645,16.9556666667,18.9683333333,6.63666666667,30.636,14.7506666667,18.9253333333,14.8793333333
796.70,22.3373333333,38.2276666667,28.396,28.7623333333,16.753,19.3183333333,6.70533333333,31.3715,15.6103333333,19.7283333333,14.683
797.01,23.2563333333,39.0456666667,29.033,29.076,17.009,19.7473333333,6.97466666667,32.1245,16.3456666667,20.86,15.5326666667
797.32,23.329,38.715,29.21,29.08,15.994,19.5096666667,6.79266666667,31.608,16.1023333333,21.636,15.039
797.63,23.4813333333,38.5243333333,29.556,29.335,15.7276666667,19.726,6.428,31.809,16.501,21.714,15.1536666667
797.93,23.2366666667,38.7646666667,29.9976666667,29.5693333333,15.6863333333,19.5403333333,6.58133333333,31.3725,17.4216666667,22.0643333333,14.5146666667
798.24,24.1323333333,39.3836666667,30.7993333333,29.338,16.4383333333,20.1596666667,7.19166666667,32.226,18.3563333333,22.9453333333,14.9316666667
798.55,24.3176666667,39.0226666667,30.4653333333,29.4103333333,16.724,19.821,7.63933333333,32.3125,18.4673333333,23.882,15.141
798.85,23.9973333333,39.3853333333,30.8233333333,29.1576666667,17.265,19.329,7.76433333333,32.3015,18.1096666667,23.95,15.2006666667
799.16,23.833,39.6043333333,30.599,29.3963333333,17.468,19.802,8.36866666667,32.001,18.1516666667,24.5406666667,15.7
799.47,23.697,40.244,30.7506666667,29.4356666667,18.723,20.5883333333,8.465,31.9585,18.4123333333,24.39,15.8536666667
799.78,24.148,40.3676666667,30.747,29.055,19.1926666667,20.9086666667,8.726,32.995,18.709,24.8003333333,15.736
800.08,23.9356666667,39.6803333333,29.9136666667,28.487,18.647,20.369,7.79833333333,32.251,17.8106666667,24.059,14.9076666667
800.39,23.1233333333,39.0893333333,29.5296666667,28.1533333333,18.4936666667,19.795,7.23233333333,31.7945,17.267,23.6983333333,14.4896666667
800.70,22.4576666667,39.3643333333,29.2706666667,27.7063333333,19.8083333333,19.8836666667,7.04,31.87,17.083,23.2146666667,14.711
801.00,23.042,40.025,29.151,27.351,20.6843333333,20.0506666667,7.42733333333,32.129,16.8063333333,23.042,15.1583333333
801.31,23.343,39.3573333333,28.765,27.1836666667,21.1093333333,20.231,7.35466666667,32.041,16.24,22.49,16.0893333333
801.62,23.321,39.401,28.764,27.6153333333,20.849,20.3246666667,7.46533333333,31.7225,16.604,22.2973333333,16.779
801.92,23.3383333333,39.6526666667,29.4816666667,27.593,21.6516666667,21.0976666667,7.55266666667,31.9865,16.7923333333,21.677,16.8683333333
802.23,23.22,39.5976666667,29.3836666667,27.6476666667,21.7356666667,21.8616666667,7.698,32.4525,17.2576666667,21.258,16.5786666667
802.54,22.784,38.7993333333,29.2463333333,27.3563333333,21.7113333333,21.8393333333,6.94766666667,32.1075,17.3436666667,20.383,16.2196666667
802.84,22.9376666667,38.4276666667,28.7043333333,27.4373333333,21.5156666667,21.6703333333,6.284,32.273,16.7573333333,20.5586666667,16.4983333333
803.15,23.4403333333,38.789,29.3133333333,28.165,21.822,21.7436666667,6.34333333333,31.793,16.5753333333,20.9343333333,17.3846666667
