wavelength,Back_SpoFrof,Belly_SpoFrof,Breast_SpoFrof,Crissum_SpoFrof,Crown_SpoFrof,DorTail_SpoFrof,Rump_SpoFrof,Throat_SpoFrof,WingTip_SpoFrof
200.06,-13.7253333333,43.8375,36.8345,51.4005,40.8961666667,45.3783333333,24.51,20.4481666667,-17.927
200.44,-13.5513333333,46.7288333333,32.5545,59.6573333333,42.056,48.9098333333,28.1931666667,20.0935,-19.3143333333
200.82,-23.9796666667,38.0953333333,20.5781666666,58.6735,30.442,45.4081666667,18.7075,8.33316666667,-27.8913333333
201.19,-52.3076666667,46.4101666667,1.0255,74.6153333335,27.436,59.7433333333,12.5641666666,2.5641666667,-47.436
201.57,-57.0423333333,40.6103333333,-9.62416666665,61.2676666667,23.2393333333,57.5116666667,8.6855,-6.8073333333,-36.6198333334
201.95,-113.945666667,32.993,-41.4968333334,49.3198333333,6.8028333333,61.5645,-20.4083333333,-37.4148333333,-76.5308333333
202.33,-210.416666667,-8.33333333335,-144.270833333,30.7291666667,-7.81249999985,56.2500000002,-73.4375000001,-96.3541666669,-138.541666667
202.71,-286.805666666,-27.7778333331,-222.9165,26.3888333331,-20.138833333,53.4723333335,-109.0275,-120.138833334,-153.472166667
203.09,-323.333333333,-40.8333333332,-260.0,29.1666666667,-15.833333333,68.3333333335,-133.333333333,-139.166666667,-137.5
203.47,-281.9445,-62.5,-249.305666667,-9.0278333333,-36.111,28.4720000001,-120.833333333,-141.6665,-103.472166667
203.85,-218.9655,-52.2988333332,-186.7815,-3.44833333335,-45.9771666665,5.1725,-106.322,-124.138,-87.9309999998
204.22,-248.214333333,-69.0478333333,-185.119166667,-14.881,-48.8095000001,-2.976,-135.119166667,-147.619,-91.6666666667
204.60,-507.843,-207.843166667,-345.098166666,-105.8825,-139.215833334,-105.8825,-318.6275,-322.549,-210.7845
204.98,-313.6905,-109.5235,-193.452666667,-66.6666666667,-59.5238333335,-59.5236666668,-176.785833333,-194.642833333,-124.999666667
205.36,-166.333333333,-47.0,-95.0,-31.6666666667,0.6666666667,-27.0,-90.3333333333,-104.666666667,-61.3333333332
205.74,-201.1365,-72.3485000001,-115.909166667,-48.4848333333,-24.2423333333,-54.1668333333,-112.121333333,-132.197,-95.0756666666
206.12,-131.694166666,-46.7213333334,-79.508,-31.967,-12.295,-40.4371666667,-69.9453333333,-92.8960000001,-57.9235
206.50,-126.410333333,-40.5126666668,-70.7695,-33.0768333333,-10.769,-47.9486666666,-61.2821666667,-84.6155,-54.1023333334
206.87,-129.293,-50.2524999999,-73.2321666667,-49.2426666666,-14.6463333333,-57.0706666667,-62.8788333334,-88.6365,-57.071
207.25,-124.0475,-51.1905000002,-77.3811666667,-54.2858333333,-15.238,-60.0,-65.238,-88.8095,-59.0473333333
207.63,-109.429833333,-45.3948333334,-71.2721666667,-44.2983333333,-14.2543333333,-56.579,-61.8421666667,-82.2368333334,-57.0175
208.01,-107.594833333,-52.1098333332,-74.8943333334,-48.1013333333,-17.2996666667,-52.5315,-63.2911666666,-81.6455,-60.1266666666
208.39,-113.888833334,-53.2051666668,-79.9143333334,-51.282,-21.7948333333,-60.47,-63.6751666667,-85.8975,-69.658
208.77,-90.1516666667,-30.4925,-55.8713333333,-31.4395,-9.8485,-34.8483333333,-39.9621666666,-63.447,-59.2805
209.14,-124.768666666,-43.0554999998,-67.1295,-52.0833333333,-22.4538333333,-47.4538333333,-47.9166666667,-91.2038333331,-81.9441666667
209.52,-96.8253333333,-38.492,-48.016,-42.4603333334,-19.8413333333,-34.9206666667,-30.754,-72.0238333333,-59.524
209.90,-91.1985,-40.0748333333,-49.9998333333,-47.3785,-15.3558333333,-32.21,-30.899,-67.2285,-50.1873333334
210.28,-92.7348333333,-33.7606666666,-48.0768333334,-47.6496666666,1.9231666667,-23.718,-25.0,-64.3163333334,-45.0853333333
210.66,-79.2733333333,-22.4358333333,-28.8463333333,-40.171,15.3845,-5.342,-12.3931666666,-57.4786666667,-37.8206666667
211.03,-69.7316666667,-14.751,-23.5633333334,-30.2681666666,13.793,2.4905,-11.686,-53.8315,-39.4636666666
211.41,-65.5796666667,-14.4926666666,-20.1088333333,-26.4493333333,10.5071666666,-1.99266666665,-9.23916666666,-50.3623333334,-38.2246666666
211.79,-56.4396666666,-5.68183333335,-8.33333333335,-24.6213333333,25.0,1.7045,0.7573333333,-38.0681666667,-18.5608333334
212.17,-74.3418333333,-5.48233333335,-20.8331666667,-31.1401666666,26.5351666667,-3.2895,3.72783333335,-48.465,-17.3245
212.55,-69.5176666667,-6.35966666665,-33.5528333334,-32.4561666667,17.1053333333,3.28949999998,9.2105,-48.2456666667,-5.48266666665
