wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
807.13,17.332,61.17375,36.0286666667,44.3108333334,16.7518333333,22.0318333333,20.8205833334,20.249,34.843,19.0549166667
807.44,17.45175,60.8090833333,35.5073333333,43.6594166667,16.51125,22.0498333334,20.8678333333,20.03975,34.6359166667,18.5301666667
807.74,17.0138333333,60.0605833333,34.3055833333,43.0469166667,15.5640833333,21.4929166667,20.4513333333,19.7655833333,34.3836666667,18.0295833333
808.05,17.6103333333,60.44975,34.3120833334,43.3598333333,15.4938333334,22.2486666666,20.8200833333,20.1411666667,34.79725,18.2275
808.35,17.5946666666,60.4866666667,34.0990833333,43.4595833333,15.009,22.5225833333,21.15325,20.4325,34.9009166667,18.1620833334
808.66,17.8821666667,60.6720833334,34.3830833334,43.8120833334,14.9725833334,23.4254166667,21.2430833333,20.8195,34.8618333333,18.6373333333
808.97,18.0385833333,60.184,34.3555833333,43.72925,15.2026666666,23.895,20.96675,20.90225,34.687,18.6555833334
809.27,18.17925,60.3841666667,34.20575,43.8103333333,15.5251666667,24.59175,21.3993333334,21.548,34.8645833333,19.25575
809.58,17.8980833334,60.1204166667,33.8518333333,43.1759166667,15.59275,24.5185,21.56475,21.3888333334,34.4906666667,19.4259166667
809.88,16.8560833333,59.94325,33.37125,42.5663333334,15.1040833333,24.0719166667,21.1931666667,20.55875,33.03025,18.6931666667
810.19,15.5978333333,60.7184166667,32.9670833334,42.6365,13.9745833333,23.7529166667,20.4868333333,20.03175,32.492,17.37925
810.49,16.27375,61.87025,33.7766666667,43.37975,14.5708333334,24.4356666667,21.4833333333,20.7978333333,33.33325,18.0673333333
810.80,17.5101666667,62.45975,34.6686666667,44.7088333334,15.5220833333,25.0301666667,22.5201666667,21.7471666667,34.1766666667,19.1064166667
811.10,17.8601666667,62.3179166667,35.0121666667,44.7715833333,15.6756666667,25.1921666667,22.56275,21.7435,33.4344166667,19.1444166667
811.41,19.3255833333,63.1926666667,36.9600833333,46.36325,16.9620833333,25.8659166667,23.73675,22.7486666667,34.6373333333,20.7109166667
811.71,20.4655833334,64.2870833333,38.1738333333,47.5591666667,18.5763333334,26.4705,24.6425833334,23.23325,35.6310833333,21.8854166667
812.02,21.3769166667,65.4760833333,39.5135833333,48.5300833333,19.6375833334,27.11175,25.36225,23.8613333334,36.6563333334,22.65
812.32,21.6835,66.6771666667,39.98725,49.12325,19.8564166667,27.10175,25.3063333333,23.66925,36.4703333333,23.2680833333
812.63,21.301,66.4115,39.6790833333,49.1389166667,19.5365,26.3500833333,24.7555833333,23.2035833333,35.6503333333,22.8210833333
812.93,21.9034166666,67.22075,39.9826666667,49.7501666667,19.2851666667,26.5536666667,24.9130833333,23.4788333333,36.1146666667,22.7944166667
813.24,21.8805,65.90025,39.2594166667,49.1256666667,18.5880833333,25.79875,24.1363333333,22.7116666667,36.2695,22.0855
813.54,22.8818333333,66.1290833333,39.6558333333,49.3333333333,19.20425,26.3441666667,24.4838333333,23.0106666666,36.68825,22.9030833333
813.85,22.98975,65.55325,39.8616666667,49.0595833333,19.1956666666,26.3834166666,24.0163333333,22.4275,36.1111666667,22.6330833334
814.15,22.8370833333,66.01875,39.7015,48.51775,18.9834166667,25.8674166667,23.5068333333,22.0356666667,35.84775,22.2550833333
814.46,22.82425,65.92675,39.7736666667,48.3135833333,19.6801666666,26.0226666667,23.7705833333,21.9321666667,36.7928333333,22.3238333333
814.76,22.3346666667,65.8505833333,39.0775833333,47.94375,19.9086666666,26.2510833333,23.2595,21.8995,36.2271666667,21.56225
815.07,22.28625,64.5725833333,37.9808333333,47.51075,19.5405833333,26.00425,23.1945,22.2009166667,36.0684166666,21.1965
815.37,22.33325,64.8386666666,37.8063333333,47.81725,19.5483333333,25.8063333334,23.3871666666,22.75275,36.4300833333,20.8494166667
815.68,21.8990833333,63.6935,37.27625,47.3359166667,18.9685,25.61825,23.5401666666,22.76225,36.136,20.2579166667
815.98,21.6285,62.6800833333,36.7048333333,46.2361666666,18.23575,25.27575,23.2719166667,21.9253333334,35.9944166667,19.7730833334
816.29,21.5518333334,62.8459166667,37.3138333333,46.56225,18.6038333333,25.5641666666,22.8820833333,22.0838333334,36.3983333333,19.4018333333
816.59,23.2660833333,65.9406666667,39.6076666667,49.1221666667,20.4053333333,27.7743333334,24.75075,24.4258333333,38.3399166667,21.35875
816.89,23.5525833333,66.1346666667,39.9530833333,49.3080833333,20.6045,27.6605,25.6385833333,24.5424166666,38.889,21.7221666667
817.20,23.8541666667,66.3020833333,40.0520833333,49.7708333333,20.84375,27.5,26.1354166667,25.1875,39.3854166667,21.8020833333
817.50,24.7413333333,65.9109166667,40.6523333333,50.2685,21.6786666667,28.3115833333,27.4463333333,26.2629166666,39.9560833333,22.663
817.81,25.5184166667,67.3220833333,41.7741666666,51.21275,21.9091666667,29.0199166667,28.20825,27.6015833333,40.219,23.4741666666
818.11,25.2606666667,66.54575,41.0801666667,50.6051666667,21.6853333333,28.38,28.082,27.2345,39.7115,23.3146666666
818.41,24.93725,66.8995833333,41.362,50.1343333333,21.1560833334,28.3781666667,27.54475,26.42475,39.2740833333,23.0019166667
818.72,24.36375,65.72025,40.46075,49.2545833333,20.4521666667,27.8561666667,27.1105833334,25.4606666667,38.3500833333,22.5711666667
819.02,24.6158333334,66.4000833333,40.8276666667,49.71,21.2683333333,28.04175,27.5320833333,25.8623333333,39.2835833334,22.8754166667
819.33,24.2110833333,66.95375,40.4618333334,49.6916666667,21.09875,27.4740833333,26.922,25.6024166667,39.0491666667,22.4614166667
819.63,24.3775,67.2081666667,40.2291666667,49.5146666667,21.2845833333,27.3276666667,27.05375,25.7530833333,39.3638333334,22.8964166666
819.93,23.1819166667,66.2569166667,39.071,48.387,20.4709166666,26.2715833333,25.7356666667,24.5955,38.51925,21.9419166667
820.24,22.6246666667,65.51175,38.7881666667,47.8826666667,20.30175,26.0104166667,25.3148333334,24.2695,38.0226666667,21.5748333333
820.54,22.4911666667,65.5001666667,38.6296666667,47.814,20.20975,26.1554166667,25.15025,24.1894166667,37.863,21.76875
820.85,22.111,65.1700833334,38.3333333333,47.3599166667,20.0315833333,25.6553333333,24.6313333333,23.8783333333,37.5298333333,21.547
821.15,22.184,64.9885833333,38.2885,47.4379166666,20.3285833334,25.6166666667,24.77625,23.9575833334,37.65,21.7035833334
821.45,22.4384166666,65.3981666666,38.6774166667,47.7374166667,20.5721666666,25.9405833333,25.0484166667,24.30275,38.0213333334,22.0131666667
821.76,22.2036666667,65.34875,38.63875,47.6000833333,20.5183333333,25.7614166667,24.8509166667,24.2408333333,37.9909166667,21.9344166667
822.06,22.2348333334,65.7498333333,38.9264166666,47.7546666667,20.64325,25.8229166667,24.93525,24.365,38.0973333333,22.14075
822.36,22.0405,65.4874166667,38.69725,47.4318333333,20.3404166667,25.61075,24.7385,24.1160833333,37.8133333333,22.00875
822.67,22.0658333333,65.3768333334,38.8435,47.4880833333,20.3886666666,25.7608333333,24.8345,24.28,37.88825,22.165
822.97,21.9576666667,64.98875,38.7715833333,47.2694166667,20.305,25.6540833333,24.7425833334,24.2278333333,37.6065833333,22.1745
823.27,22.10375,64.9133333333,38.89875,47.3031666667,20.4433333333,25.8153333333,24.9565833333,24.4314166667,37.6765833333,22.4315
823.58,21.9578333333,64.8933333334,38.774,47.1716666667,20.19675,25.5918333333,24.7485833333,24.2629166667,37.4800833333,22.3213333334
823.88,21.7384166667,64.8255,38.72925,47.0738333334,20.0471666667,25.43175,24.6465,24.0736666666,37.4966666667,22.1343333333
824.18,21.6999166666,65.1115833333,38.9831666667,47.2799166666,20.0155833334,25.6336666667,24.7636666666,24.11025,37.63775,22.1604166667
824.49,21.3596666667,64.9604166667,38.7709166667,46.91425,19.6480833333,25.3588333333,24.4026666667,23.7545833333,37.3916666666,21.76425
824.79,20.9556666667,64.45425,38.3571666667,46.4809166667,19.2300833333,24.8761666667,24.0501666667,23.3215,37.0441666666,21.36875
825.09,21.4989166667,64.9464166667,38.772,46.9615833333,19.5679166667,25.3639166667,24.6775833334,23.7584166667,37.3675,21.8210833333
825.39,21.2944166667,64.2426666666,38.20525,46.474,19.2635833333,25.1829166667,24.3085,23.4405,37.19825,21.3928333333
825.70,21.4194166667,64.1423333333,38.3854166667,46.61325,19.5218333333,25.3520833333,24.3943333333,23.6409166667,37.5650833333,21.4125
826.00,21.41225,64.1895,38.3130833333,46.5563333333,19.5695833333,25.2559166667,24.506,23.47475,37.7469166666,21.3905
826.30,20.6750833333,63.8324166666,37.9123333333,46.194,18.9745833333,24.6761666667,23.8810833333,22.8466666667,37.2901666667,20.5315
826.61,20.7458333333,63.9014166667,38.08775,46.1525,18.89825,24.5558333333,23.82075,22.7720833333,36.99425,20.156
