wavelength,Back_ConFerm,Belly_ConFerm,Breast_ConFerm,Crissum_ConFerm,Crown_ConFerm,DorTail_ConFerm,Patch10_ConFerm,Rump_ConFerm,Throat_ConFerm,WingTip_ConFerm
431.86,10.5228666667,5.98146666667,6.52838666667,4.75113333333,9.23453333333,7.67460000001,24.6953333333,13.4504666667,8.07003333333,7.8678
432.22,10.5128666667,5.96613333333,6.51888666667,4.741,9.21793333333,7.67206666667,24.7313333334,13.4601333333,8.0601,7.86393333333
432.57,10.5213,5.99486666667,6.53395333333,4.7498,9.24426666667,7.68146666666,24.7794,13.4719333333,8.05986666667,7.87266666667
432.93,10.4786333333,5.97426666667,6.51266,4.7316,9.23006666665,7.65506666666,24.7776,13.4484,8.0367,7.8456
433.29,10.4563,5.96913333333,6.50899333334,4.72766666667,9.25633333333,7.64979999999,24.8154,13.4572,8.03886666667,7.83813333333
433.64,10.4431333333,5.96233333333,6.49519333334,4.71933333333,9.27126666667,7.65133333333,24.8396,13.4304,8.04643333333,7.80266666667
434.00,10.4265666666,5.94233333333,6.48367333333,4.7018,9.26920000001,7.62686666666,24.8671333333,13.4046,8.04256666667,7.78426666667
434.35,10.4185333333,5.93406666667,6.46955333334,4.68966666667,9.27146666667,7.62306666666,24.8977333333,13.3904666666,8.02353333334,7.7716
434.71,10.4158333333,5.94006666667,6.47404,4.6992,9.28433333332,7.63460000001,24.9439333333,13.4023333333,8.03353333333,7.77166666667
435.07,10.4674333333,5.99173333334,6.5071,4.74806666667,9.34286666666,7.66586666666,25.0439333333,13.4511333333,8.0906,7.8154
435.42,10.4613333333,5.98633333333,6.51593333333,4.75726666667,9.35073333333,7.66473333333,25.0976,13.4544,8.1077,7.8086
435.78,10.4621666667,5.99206666667,6.53062666667,4.76886666667,9.36806666667,7.67073333334,25.1606666667,13.4636,8.105,7.80486666667
436.13,10.4278333334,5.97646666667,6.51250666667,4.73666666667,9.35533333333,7.64346666667,25.1786666667,13.4192,8.09756666667,7.77606666667
436.49,10.4332333333,5.98386666667,6.52309333333,4.7566,9.36439999999,7.66106666667,25.2359333333,13.4238,8.1262,7.78006666667
436.84,10.4691,6.0116,6.54295333333,4.7678,9.39486666665,7.67373333333,25.3126,13.4434666667,8.16036666667,7.80646666667
437.20,10.4881,6.03646666667,6.54934,4.79053333333,9.4048,7.66733333333,25.3968,13.457,8.1974,7.83193333333
437.56,10.5010666667,6.0516,6.54778666667,4.7992,9.41840000001,7.67026666666,25.4643333333,13.4694666667,8.2092,7.83946666667
437.91,10.5449666667,6.08626666667,6.59935333333,4.84773333333,9.48033333332,7.72779999999,25.557,13.5078666667,8.2467,7.8852
438.27,10.5748666667,6.11966666667,6.63902666667,4.8858,9.51119999999,7.74753333333,25.6276,13.5573333333,8.30613333333,7.903
438.62,10.5982333333,6.14873333333,6.67056666667,4.91086666667,9.54453333333,7.75206666667,25.6828666667,13.5665333333,8.33503333333,7.905
438.98,10.5834333333,6.16066666667,6.66812,4.90593333333,9.54913333332,7.76359999999,25.7214666667,13.5516666666,8.3407,7.89166666667
439.33,10.5940666667,6.17586666667,6.67539333333,4.92273333333,9.56779999999,7.77386666667,25.7418666667,13.5506,8.35166666667,7.87866666667
439.69,10.6077,6.20553333333,6.69584666667,4.93633333333,9.58393333333,7.79486666666,25.8115333333,13.5724,8.37676666667,7.88773333333
440.04,10.619,6.22846666667,6.71323333333,4.96153333333,9.61099999999,7.81093333334,25.8689333333,13.5888666667,8.39293333333,7.8926
440.40,10.6530333333,6.26166666667,6.75073333334,4.98873333333,9.65573333333,7.8328,25.9525333333,13.6196666667,8.42683333333,7.92726666667
440.75,10.6691,6.28626666667,6.79537333333,5.032,9.709,7.86780000001,26.0331333333,13.6411333333,8.46766666667,7.94226666667
