wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
604.23,12.9936111111,51.7029333333,51.8728666667,47.4987333333,8.4254,7.65673333334,40.9124666667,16.6068,52.8897916667,8.67306666667
604.56,13.0016555556,51.6883333333,51.8874666667,47.5092,8.42353333333,7.6708,40.9079333333,16.6115333333,52.9050083333,8.69326666667
604.90,12.9934444445,51.7289333333,51.939,47.5637333333,8.41520000001,7.64473333334,40.9648666666,16.6281555556,52.9843416666,8.68300000001
605.23,12.9968666667,51.7852666667,51.9966666667,47.6022666667,8.4294,7.66013333334,40.9954666667,16.6308666667,53.01885,8.68286666667
605.57,13.0020555555,51.8216666667,52.0378,47.6107333333,8.44673333334,7.67406666666,40.9926666667,16.6375777778,53.0299083334,8.69653333334
605.90,12.9996222222,51.7812333333,52.018,47.5562666667,8.44873333334,7.67493333333,40.9468,16.6213111111,52.975325,8.6898
606.24,12.9954555555,51.8569666667,52.0724333333,47.6463333333,8.45493333334,7.67666666667,40.9744,16.6427777778,53.0629416667,8.68
606.58,12.9597777778,51.7533333333,51.9712333333,47.5521333333,8.40366666667,7.65433333333,40.8732,16.6101777778,53.0000083333,8.63726666666
606.91,12.9891222222,51.7785666667,52.0248333333,47.6070666667,8.41939999999,7.70293333334,40.9248,16.6323333333,53.0776666667,8.67686666667
607.25,13.0408,51.8690666667,52.1172666667,47.6798,8.45133333333,7.72820000001,40.9863333333,16.6804444444,53.136325,8.70480000001
607.58,13.0787777778,51.9537666667,52.1877666667,47.7468,8.44486666667,7.76326666667,41.0332,16.7174222222,53.2192916666,8.7434
607.92,13.0903444445,51.9485666667,52.1659333333,47.7552,8.45153333334,7.79300000001,41.0281333333,16.7434888889,53.2048833333,8.75466666666
608.25,13.0709333333,51.9213666667,52.1295333334,47.7128666667,8.4526,7.78913333333,41.0016666667,16.7291111111,53.1712083333,8.744
608.59,13.0851222222,51.9011333333,52.0994,47.6930666667,8.46673333332,7.81653333334,40.9946666666,16.7464222222,53.1559833333,8.78046666667
608.92,13.0595888889,51.8516,52.0132666667,47.6366,8.43973333333,7.80033333333,40.9632666667,16.7220444444,53.1548916667,8.76473333333
609.26,13.0333333333,51.8216333333,51.9656666667,47.6509333334,8.40833333334,7.77206666666,40.9641333333,16.7124666667,53.1989583333,8.73973333333
609.59,13.0351888889,51.7957333333,51.9229,47.6433333333,8.42946666667,7.79213333334,40.9580666667,16.7186666667,53.2314,8.77313333333
609.93,13.0633777778,51.7928333333,51.9729333334,47.6603333333,8.43706666667,7.82053333334,40.9852,16.7482,53.2877416667,8.81266666666
610.26,13.0611666667,51.7895666667,51.9529333333,47.6809333333,8.44666666667,7.81953333333,41.0121333333,16.7352222222,53.3365916667,8.81580000001
610.60,13.0454111111,51.787,51.9638666667,47.6637333333,8.44166666667,7.80880000001,40.988,16.7220444444,53.3256083333,8.81533333334
610.93,13.0317222222,51.7596,51.9486333333,47.6500666666,8.45299999999,7.81920000001,40.9704666667,16.7178444444,53.347,8.82286666667
611.27,13.0366777778,51.7515666667,51.9361666667,47.6622,8.50673333333,7.85060000001,40.9694666667,16.7498888889,53.3501666667,8.83993333333
611.60,13.0580888889,51.7373,51.9431,47.6684,8.54906666667,7.89126666667,40.9631333333,16.7584222222,53.4015583333,8.87059999999
611.93,13.0611333333,51.7061,51.9130333333,47.6648666667,8.51886666666,7.86380000001,40.9451333333,16.7229111111,53.41615,8.85853333333
612.27,13.0480222222,51.719,51.9300666667,47.6834666667,8.48879999999,7.81786666667,40.9328,16.6783777778,53.450525,8.82413333334
612.60,13.0349555556,51.6284333333,51.8535,47.6213333333,8.4828,7.81106666667,40.8442666667,16.6508444444,53.3345833333,8.81660000001
612.94,13.0127222222,51.6058666667,51.8242,47.5962,8.46933333334,7.8058,40.8202,16.6092222222,53.2662166667,8.80826666666
613.27,13.0214111111,51.6426666667,51.8322333333,47.6436666666,8.47420000001,7.80806666667,40.8334666667,16.6363777778,53.2599333333,8.81993333334
613.61,13.0085,51.6881666667,51.839,47.6322,8.47346666667,7.78353333333,40.8357333333,16.6014666667,53.2524166667,8.77839999999
613.94,13.0905666667,51.8742,52.0152666667,47.7588,8.54226666666,7.84446666667,40.9336666667,16.6985777778,53.3713333333,8.85580000001
614.28,13.0632666667,51.8929,51.9804,47.778,8.52113333333,7.81653333334,40.9202,16.6822444444,53.3434333333,8.81133333334
614.61,13.0153333333,51.8163666667,51.8994,47.765,8.49513333333,7.7738,40.8645333333,16.6402888889,53.2802166667,8.77693333333
614.94,13.0051111111,51.8479666667,51.9521666667,47.7876666667,8.45080000001,7.73760000001,40.8929333333,16.6138222222,53.3419833333,8.74533333333
615.28,13.0492,51.9663333333,52.0883666667,47.9096,8.47666666667,7.74466666666,40.9853333333,16.6832888889,53.4222666667,8.77333333333
615.61,13.0641777778,52.0299,52.1199333333,47.9335333333,8.53413333333,7.78140000001,41.0240666667,16.7328444444,53.4476333333,8.80826666667
615.95,13.0495222222,52.0583666667,52.1273,47.9658666667,8.54753333333,7.78560000001,41.0406666667,16.7366,53.4167583333,8.802
616.28,13.0615,52.193,52.2431666667,48.0894,8.53953333333,7.76799999999,41.1515333333,16.7662888889,53.5305166667,8.81259999999
