wavelength,Back_DigHumf,Belly_DigHumf,Breast_DigHumf,Crissum_DigHumf,Crown_DigHumf,DorTail_DigHumf,Rump_DigHumf,Throat_DigHumf,WingTip_DigHumf
589.42,6.8407,7.2908,6.29733333333,8.39739999999,5.60693333333,7.15263333333,8.80679999999,6.476,8.69073333333
589.76,6.81833333333,7.2646,6.25133333333,8.36773333333,5.5904,7.1337,8.76646666666,6.46313333333,8.64973333333
590.09,6.88083333333,7.31313333333,6.3255,8.42806666667,5.64433333333,7.1828,8.81686666667,6.51733333333,8.70826666667
590.43,6.83416666667,7.24893333333,6.25491666667,8.33500000001,5.58533333333,7.0926,8.77040000001,6.48433333333,8.67153333333
590.77,6.8439,7.23406666667,6.24066666666,8.33173333333,5.57386666667,7.03726666667,8.77699999999,6.45523333333,8.67273333333
591.11,6.75506666667,7.17373333333,6.13158333333,8.26593333333,5.49946666667,6.9439,8.67793333334,6.35626666667,8.59326666667
591.44,6.7593,7.163,6.111,8.21626666668,5.49326666667,6.9162,8.62040000001,6.3535,8.55793333334
591.78,6.7891,7.18833333333,6.09883333333,8.25493333333,5.5256,6.9212,8.62740000001,6.36,8.6012
592.12,6.82223333333,7.23073333333,6.103,8.31306666667,5.58973333333,6.9705,8.67680000001,6.41186666667,8.6502
592.46,6.84593333333,7.23153333333,6.15691666667,8.36426666666,5.6124,7.02473333333,8.70666666667,6.45803333333,8.6796
592.79,6.8703,7.24206666667,6.16941666666,8.39826666667,5.62913333333,7.03086666667,8.71133333333,6.4908,8.7328
593.13,6.92063333333,7.28473333333,6.20466666667,8.44406666665,5.6536,7.07516666667,8.7672,6.54576666667,8.77006666667
593.47,6.97466666667,7.31946666667,6.21975,8.48840000001,5.69506666667,7.10153333333,8.82866666665,6.5833,8.83953333334
593.80,6.89506666667,7.25113333333,6.15383333334,8.41873333333,5.60506666667,7.04943333333,8.76759999999,6.51053333333,8.76253333333
594.14,6.92073333333,7.3052,6.24116666667,8.49586666667,5.66793333333,7.12586666667,8.80946666667,6.5645,8.80786666667
594.48,6.9066,7.3202,6.254,8.49266666666,5.68346666667,7.1355,8.80600000001,6.57166666667,8.83006666667
594.81,6.99856666667,7.42026666667,6.33825,8.58273333334,5.773,7.21813333333,8.91766666667,6.68386666667,8.90013333334
595.15,7.01353333333,7.45593333333,6.37091666667,8.62333333332,5.79013333333,7.26026666667,8.95326666667,6.70966666667,8.97739999999
595.49,7.05316666667,7.49693333333,6.42033333333,8.6692,5.8108,7.30466666666,8.98506666667,6.74233333333,8.99753333333
595.82,7.0208,7.49673333333,6.41625,8.65506666667,5.78786666667,7.27533333333,8.95459999999,6.71193333333,8.94946666667
596.16,7.0772,7.5816,6.47491666667,8.71186666665,5.865,7.3352,9.02313333333,6.7741,9.01739999999
596.50,7.13756666667,7.6698,6.55358333333,8.77033333334,5.92806666667,7.42176666667,9.11846666667,6.81466666667,9.07546666666
596.83,7.09766666667,7.6476,6.51941666667,8.72406666667,5.88393333333,7.38773333333,9.07926666667,6.75413333333,9.0494
597.17,7.14836666667,7.7106,6.57391666667,8.78353333333,5.92986666667,7.43606666667,9.11619999999,6.78196666667,9.08373333334
597.51,7.2481,7.80673333333,6.64533333333,8.84980000001,6.01653333333,7.50796666667,9.20073333333,6.87616666667,9.16693333334
597.84,7.32626666667,7.88706666667,6.67891666667,8.90993333332,6.0632,7.56136666667,9.26460000001,6.9208,9.24333333334
598.18,7.4163,7.965,6.72741666667,8.96333333333,6.10846666667,7.64316666667,9.32046666667,6.9978,9.33133333334
598.52,7.42186666667,7.96753333333,6.7375,8.98353333333,6.09846666667,7.6637,9.33766666667,6.97426666667,9.35066666667
598.85,7.46143333333,8.00493333333,6.75583333333,9.02513333334,6.1036,7.6755,9.38786666667,7.00393333333,9.35500000001
599.19,7.52323333333,8.06573333333,6.783,9.05066666668,6.14826666667,7.68453333333,9.43266666667,7.06666666667,9.41913333333
599.53,7.56016666667,8.05726666667,6.80108333334,9.0582,6.16126666667,7.6971,9.46986666666,7.0947,9.46133333334
599.86,7.57896666667,8.0564,6.79091666666,9.07819999999,6.14893333333,7.70386666667,9.46073333334,7.10033333333,9.43786666667
600.20,7.5049,7.9856,6.71016666667,9.01346666667,6.05546666667,7.62926666667,9.36480000001,7.05753333333,9.38613333334
600.53,7.59476666667,8.04366666667,6.74858333334,9.08119999999,6.13653333333,7.69813333333,9.42133333333,7.13,9.49133333333
600.87,7.58133333333,8.0418,6.76941666667,9.07006666667,6.12213333333,7.7034,9.41413333334,7.1664,9.49873333334
601.21,7.5464,7.9858,6.716,9.04539999999,6.086,7.65733333333,9.38660000001,7.1134,9.47906666666
601.54,7.52236666667,7.961,6.672,9.00820000001,6.06966666667,7.64406666667,9.33366666667,7.07473333333,9.42799999999
601.88,7.5245,7.9592,6.6555,9.042,6.06793333333,7.6665,9.33979999999,7.05663333333,9.44666666667
602.21,7.56936666667,7.99753333333,6.68325,9.07426666667,6.11946666667,7.69946666667,9.3434,7.10116666667,9.47553333333
602.55,7.57763333333,8.00266666667,6.68933333334,9.07579999999,6.14773333333,7.73403333333,9.33940000001,7.10386666667,9.51213333333
602.88,7.60373333334,8.0328,6.736,9.11533333333,6.16766666667,7.76716666666,9.38206666668,7.12673333333,9.56133333333
603.22,7.62536666667,8.07013333333,6.77316666667,9.16146666667,6.19793333333,7.80143333333,9.421,7.15783333333,9.58413333334
603.56,7.62993333333,8.08593333333,6.774,9.15186666666,6.21413333333,7.79913333333,9.41993333333,7.1709,9.5934
603.89,7.68756666667,8.1134,6.81991666667,9.1786,6.24393333333,7.82693333333,9.46200000001,7.19533333333,9.61946666667
604.23,7.6564,8.11793333333,6.81066666667,9.15446666668,6.22453333333,7.8044,9.46686666668,7.20546666667,9.60593333333
604.56,7.6946,8.1542,6.82408333334,9.16093333332,6.24466666667,7.82073333333,9.479,7.22173333333,9.63400000001
604.90,7.69973333333,8.1748,6.83575,9.14820000001,6.23866666667,7.82876666667,9.47006666666,7.2536,9.63406666667
605.23,7.69346666667,8.1578,6.79858333333,9.1476,6.2282,7.81786666667,9.4672,7.25036666667,9.6404
605.57,7.72646666667,8.1992,6.83458333333,9.15986666666,6.2428,7.82263333333,9.48573333335,7.291,9.62873333333
605.90,7.6988,8.16653333333,6.823,9.11193333333,6.2066,7.79306666667,9.44220000001,7.2796,9.6056
606.24,7.70216666667,8.20253333333,6.84858333334,9.15119999999,6.23833333333,7.81646666667,9.44446666667,7.30963333333,9.60859999999
606.58,7.67486666666,8.19513333333,6.82075,9.13746666667,6.24073333333,7.81193333333,9.42793333333,7.27916666667,9.56966666666
606.91,7.72986666667,8.23813333333,6.85791666666,9.13800000001,6.2586,7.83733333333,9.44013333335,7.2992,9.60266666666
607.25,7.74106666667,8.25453333334,6.86283333333,9.15640000001,6.2434,7.84633333333,9.43406666667,7.2981,9.61406666667
607.58,7.72823333333,8.2908,6.85291666667,9.18326666667,6.25726666667,7.86296666667,9.44146666667,7.30693333333,9.60833333333
607.92,7.72676666667,8.31073333333,6.87766666667,9.18233333333,6.2838,7.84783333333,9.40866666667,7.29456666667,9.5992
608.25,7.74386666667,8.3358,6.899,9.23800000001,6.32313333333,7.8891,9.45473333333,7.3245,9.64466666666
608.59,7.77656666667,8.38853333333,6.96175,9.2998,6.36566666667,7.9448,9.49713333333,7.32726666667,9.66366666667
608.92,7.76286666667,8.39826666667,6.994,9.28293333334,6.3624,7.93963333333,9.49126666667,7.32723333333,9.64979999999
609.26,7.72453333333,8.36513333333,6.965,9.26579999999,6.36573333333,7.9029,9.48239999999,7.301,9.65753333333
609.59,7.74256666667,8.38926666667,6.97516666667,9.28626666666,6.3916,7.9477,9.53613333333,7.32436666667,9.6746
609.93,7.74483333333,8.38013333333,6.96216666667,9.25860000001,6.37526666667,7.92803333333,9.54133333333,7.30786666667,9.68033333334
610.26,7.70763333333,8.32033333333,6.91391666667,9.20406666666,6.32453333333,7.87453333333,9.48820000001,7.2837,9.62246666667
610.60,7.64716666667,8.28373333333,6.87108333333,9.14973333332,6.32326666667,7.8556,9.45766666667,7.25256666667,9.57899999999
610.93,7.65513333333,8.26586666667,6.88683333333,9.13786666667,6.36506666667,7.85843333333,9.46726666666,7.23293333333,9.59440000001
611.27,7.67296666667,8.26286666667,6.89708333333,9.13486666667,6.3714,7.87926666667,9.45986666667,7.26003333333,9.62500000001
611.60,7.68166666667,8.21393333333,6.87525,9.14366666665,6.33426666667,7.8788,9.43833333333,7.21713333333,9.58720000001
611.93,7.62293333333,8.13046666667,6.79366666667,9.05313333335,6.2428,7.80243333333,9.34320000001,7.13396666667,9.48619999999
612.27,7.54616666667,8.01186666667,6.64391666667,8.93460000001,6.12773333333,7.68603333333,9.2494,7.04673333333,9.41860000001
612.60,7.51906666667,7.986,6.63258333333,8.90073333335,6.099,7.6763,9.25213333333,7.0222,9.42200000001
612.94,7.51026666667,7.95906666667,6.60191666667,8.8484,6.05746666667,7.67886666667,9.19593333334,7.0074,9.36373333334
613.27,7.52896666667,7.947,6.57775,8.8466,6.033,7.6947,9.17773333333,6.9943,9.35886666666
613.61,7.48763333333,7.87426666667,6.52583333334,8.80966666667,5.9634,7.6692,9.11846666667,6.95696666667,9.29806666667
613.94,7.56176666667,7.91446666667,6.56983333333,8.89426666668,6.01406666667,7.7614,9.16013333334,6.98983333333,9.37686666666
614.28,7.59143333333,7.9086,6.57708333334,8.95039999999,5.99926666667,7.7765,9.1668,7.00533333333,9.38973333333
614.61,7.52853333333,7.8736,6.50025,8.92879999999,5.90946666667,7.72003333333,9.13013333333,7.00226666667,9.34733333333
614.94,7.47436666666,7.81566666667,6.43983333333,8.88593333333,5.83853333333,7.6499,9.05726666666,6.89653333333,9.27953333333
615.28,7.48746666667,7.8866,6.48591666667,8.94080000001,5.87893333333,7.7488,9.14693333334,6.99283333333,9.33573333333
615.61,7.47776666667,7.881,6.525,8.97179999999,5.8882,7.77326666667,9.18486666668,7.00713333333,9.354
615.95,7.5409,7.97866666666,6.62158333333,9.1056,6.00193333333,7.87716666666,9.29906666666,7.11746666667,9.43113333333
616.28,7.61953333333,8.0416,6.65341666667,9.21620000001,6.0482,7.93903333334,9.38393333332,7.20023333333,9.49706666666
616.61,7.68293333333,8.12846666667,6.70341666667,9.32420000001,6.1432,8.0063,9.45159999999,7.25263333333,9.601
616.95,7.65413333334,8.12506666667,6.68325,9.3174,6.14806666667,7.99823333333,9.448,7.2406,9.594
617.28,7.68403333333,8.18513333333,6.70108333333,9.35566666667,6.19466666667,8.0191,9.46633333333,7.2593,9.61873333334
617.62,7.74486666667,8.26413333333,6.75225,9.39193333333,6.26286666667,8.0868,9.54966666666,7.365,9.6818
617.95,7.78996666666,8.27873333333,6.751,9.41619999999,6.297,8.12496666667,9.57273333333,7.38683333333,9.717
618.28,7.74093333333,8.2328,6.71083333333,9.3476,6.242,8.0814,9.52793333335,7.29763333333,9.64006666667
618.62,7.73033333333,8.20706666667,6.66633333334,9.3318,6.27553333333,8.0889,9.54026666666,7.3287,9.62013333333
618.95,7.6912,8.16253333333,6.58433333333,9.28693333334,6.25533333333,8.0842,9.47980000001,7.2862,9.55433333333
619.28,7.6768,8.1748,6.57233333334,9.2594,6.28606666666,8.0956,9.44559999999,7.3197,9.56106666667
619.62,7.6251,8.09446666667,6.52075,9.19193333335,6.2122,8.05523333333,9.34159999999,7.24393333333,9.55573333333
619.95,7.54296666667,8.02846666667,6.41083333333,9.09393333333,6.1546,7.9621,9.22806666667,7.15723333333,9.46633333334
620.28,7.43606666667,7.90793333333,6.31633333333,8.98953333334,6.05426666666,7.8533,9.15033333333,7.03956666667,9.30459999999
620.62,7.34216666667,7.84453333333,6.24008333333,8.89846666665,5.9782,7.76716666667,9.09626666666,6.96273333333,9.24060000001
620.95,7.25806666667,7.76133333333,6.15933333333,8.78359999999,5.90593333333,7.73393333333,9.03253333333,6.8647,9.17820000001
621.28,7.09826666667,7.62033333333,6.02141666667,8.63700000001,5.74993333333,7.57083333333,8.84759999999,6.70213333333,9.00733333333
621.62,6.99953333333,7.59226666666,5.96366666667,8.57946666666,5.654,7.5089,8.77739999999,6.64886666667,8.94333333334
621.95,7.01553333333,7.60726666667,5.98766666667,8.61553333333,5.69853333333,7.57946666667,8.79773333333,6.6948,8.99613333333
622.28,7.00526666667,7.569,5.99458333333,8.6044,5.67926666667,7.56863333333,8.78640000001,6.68596666667,8.97326666666
622.62,6.92033333333,7.47966666667,5.95658333333,8.52313333333,5.59073333333,7.46356666667,8.74193333333,6.5944,8.94833333334
