wavelength,Back_TanArgf,Belly_TanArgf,Breast_TanArgf,Crissum_TanArgf,Crown_TanArgf,DorTail_TanArgf,Patch10_TanArgf,Patch11_TanArgf,Rump_TanArgf,Throat_TanArgf,WingTip_TanArgf
420.44,5.3445,26.1446666667,15.1225,22.6411666667,5.468,6.38229545455,4.943,10.5606666667,8.072,25.283,4.34883333333
420.80,5.30183333333,26.1196666667,15.1305,22.6175,5.46,6.35957575759,4.908,10.4853333333,8.008,25.3091666667,4.35216666667
421.16,5.28516666666,26.1283333333,15.1426666667,22.5983333333,5.46283333334,6.33372727274,4.87866666666,10.4085,7.95966666666,25.3208333334,4.34816666666
421.51,5.24666666666,26.097,15.1403333333,22.5788333333,5.458,6.29541666667,4.8405,10.3321666667,7.89216666667,25.3278333333,4.3255
421.87,5.24483333334,26.0615,15.1531666667,22.55,5.437,6.28463636364,4.81933333333,10.2775,7.84433333333,25.3195,4.318
422.23,5.26583333334,26.0721666666,15.1766666667,22.563,5.467,6.30071969697,4.824,10.262,7.83916666666,25.3393333333,4.339
422.58,5.25633333334,26.0708333333,15.2165,22.5751666666,5.48466666667,6.30137878788,4.81533333333,10.2215,7.81366666667,25.379,4.33883333333
422.94,5.2695,26.09,15.2576666666,22.6183333334,5.53983333334,6.31928030303,4.80283333334,10.2003333333,7.78,25.4303333333,4.35716666667
423.30,5.25,26.0728333333,15.265,22.636,5.55366666667,6.31854545455,4.78266666666,10.1461666667,7.73166666667,25.4591666666,4.348
423.66,5.21583333333,26.0538333333,15.2713333334,22.6046666667,5.5445,6.30349242425,4.731,10.0853333333,7.68183333333,25.4623333333,4.32116666667
424.01,5.24233333333,26.1103333333,15.3143333333,22.6483333333,5.57933333333,6.31299242425,4.74733333333,10.0636666667,7.6875,25.4851666667,4.32516666666
424.37,5.264,26.1326666667,15.349,22.667,5.58883333333,6.31593181818,4.75416666667,10.0436666667,7.67366666666,25.5178333333,4.321
424.73,5.284,26.1786666667,15.3936666667,22.6985,5.62416666666,6.3171060606,4.77233333334,10.0318333333,7.68066666667,25.547,4.33083333333
425.08,5.28266666667,26.1795,15.4206666666,22.716,5.65166666666,6.32070454545,4.78016666667,10.0106666666,7.68433333334,25.5896666667,4.34066666667
425.44,5.30583333333,26.2235,15.4695,22.746,5.688,6.35582575759,4.80466666667,9.99833333331,7.71,25.6076666667,4.3785
