wavelength,Back_SpoCaef,Belly_SpoCaef,Breast_SpoCaef,Crissum_SpoCaef,Crown_SpoCaef,DorTail_SpoCaef,Rump_SpoCaef,Throat_SpoCaef,WingTip_SpoCaef
663.91,17.2858666667,62.1904666667,31.5843333333,58.7607333333,16.8845333333,15.6969333333,18.1862666667,41.9333666667,15.5252666667
664.24,17.2774,62.1062666667,31.5655333333,58.7506666667,16.8814,15.6811333333,18.2118,42.0106666667,15.5199333334
664.57,17.2115333333,62.1050666667,31.5815333333,58.8049333333,16.8029333333,15.5832,18.1407333333,42.0026666667,15.4591333333
664.89,17.0476,61.8716666667,31.3976666667,58.7864666667,16.61,15.4381333333,17.9782666667,41.9346333333,15.3346
665.22,16.9703333333,61.9971333333,31.4580666667,58.9363333334,16.5924,15.4174,17.9212666666,41.9717,15.2702666667
665.55,17.0185333333,62.0446666667,31.4763333333,58.8952,16.6219333333,15.4545333333,18.0058,41.9817,15.3345333333
665.87,16.9916,61.8963333333,31.4200666667,58.7541333333,16.5146,15.3889333333,17.9338,41.8623666667,15.2190666667
666.20,17.0445333333,61.8587333333,31.4340666667,58.8062666667,16.5936666667,15.4297333333,17.9962666667,41.9633666667,15.2316
666.53,17.0898,62.0157333333,31.5211333333,58.9701333333,16.6382,15.4836,18.0296,42.1292666667,15.2602
666.86,17.2415333333,62.1329333333,31.6878666667,59.2066,16.8014666667,15.5754,18.1614,42.2260666667,15.3647333333
667.18,17.0894666667,62.043,31.5406,59.0718,16.7148,15.4665333333,18.1131333333,42.2088666667,15.277
667.51,17.2147333333,62.1377333333,31.6606666667,59.1466666667,16.8008666667,15.5637333333,18.2518,42.3295666667,15.3994666667
667.84,17.2808,62.0723333333,31.6504,59.0160666667,16.8553333333,15.6451333333,18.3252666667,42.3331,15.4333333333
668.16,17.3802,62.0468,31.6745333333,58.9692,16.9417333333,15.7190666667,18.3582,42.3535,15.5064666667
668.49,17.5002,62.1055333333,31.7914,58.8839333333,17.0135333333,15.8117333333,18.5112666667,42.3908666667,15.6000666667
668.82,17.5787333333,62.1793333333,31.8277333333,58.8344,17.0942,15.8401333333,18.5791333333,42.4353666667,15.6609333333
669.14,17.5917333333,62.1082666667,31.8128,58.8680666667,17.0417333333,15.8691333333,18.5614,42.4507666667,15.6892666667
669.47,17.5739333333,62.153,31.8021333333,58.8766,17.0521333333,15.834,18.5589333333,42.4356,15.6698
669.80,17.5518,62.1138,31.7504666667,58.7950666667,17.0358666667,15.8333333333,18.5291333333,42.3112,15.668
670.13,17.5472666667,62.0656,31.7089333333,58.7445333333,17.0152666667,15.8462666667,18.5221333333,42.2577333333,15.7264666667
670.45,17.5840666667,62.0353333334,31.7414666667,58.7521333333,17.078,15.9660666667,18.5704,42.2752333333,15.791
670.78,17.6830666667,62.2466666667,31.8912666667,58.9686666667,17.1915333333,16.0632,18.6638,42.3655333333,15.8206666667
671.10,17.6043333333,62.1844666667,31.7918,58.8629333333,17.1558,16.0712666667,18.6104,42.2307666667,15.7746666667
671.43,17.5980666667,62.2361333333,31.8249333333,58.9771333333,17.1958666667,16.0796666667,18.6358,42.2699333333,15.8307333333
671.76,17.607,62.2145333333,31.9032666666,58.9891333333,17.2804666667,16.1685333333,18.7205333333,42.2067333333,15.949
672.08,17.4927333333,62.0418,31.7852666667,58.8955333333,17.2068666667,16.1006666667,18.5831333333,42.0613333333,15.8571333333
672.41,17.4470666667,62.0191333333,31.7836666667,58.9203333333,17.1394666667,16.0794666667,18.5739333333,42.0714333333,15.8334
672.74,17.3580666667,61.9042,31.6983333333,58.7902,17.0638,16.0062666666,18.4934666667,41.9290666667,15.7379333334
673.06,17.4234666667,61.9196666667,31.6996666667,58.8187333333,17.1532666667,16.0693333333,18.5472666666,41.9964666667,15.8239333333
673.39,17.4452666667,62.005,31.7783333333,58.8502,17.1596666667,16.1238666667,18.5654,42.0788,15.8542666667
673.72,17.4494666667,62.0902666667,31.8759333333,58.9617333333,17.2024666667,16.1447333333,18.6128666667,42.1178666667,15.8920666667
674.04,17.2594,61.9854,31.7498666666,58.8242666667,17.0450666667,15.9626,18.4328,41.9301333333,15.7118
674.37,17.2772,61.9100666667,31.7309333333,58.795,17.0167333333,16.0008,18.3448666667,41.9035666667,15.7482
674.69,17.1798,61.8541333333,31.7096666667,58.8061333333,16.9502666667,15.9395333333,18.2642666667,41.8734666667,15.646
675.02,17.0678666667,61.8849333333,31.6559333333,58.7886666667,16.8364666667,15.8108,18.1422,41.7791666667,15.4916
675.35,16.939,61.8621333334,31.4788,58.7237333333,16.6255333333,15.6348,17.9897333333,41.7119666667,15.2752666667
675.67,16.9627333333,61.9548,31.5042,58.7728666667,16.6691333333,15.6106666667,18.0368666667,41.7432,15.2989333333
676.00,17.0141333333,61.8334666667,31.5178,58.7144,16.7349333333,15.6814666667,18.0563333333,41.7881666667,15.3488666667
676.32,16.9852666667,61.9550666667,31.6022666667,58.8198,16.7424,15.6965333333,18.0522666667,41.845,15.3666
676.65,16.8700666666,61.9613333333,31.6341333333,58.8588,16.625,15.6584666667,17.9958,41.7883,15.3221333333
676.97,16.7837333333,61.9142,31.6180666667,58.8738,16.5471333333,15.6216,17.9602666667,41.7699666667,15.3074666667
677.30,16.8252666667,61.9698,31.6751333333,58.9265333333,16.5459333333,15.6432666667,18.0097333333,41.8141,15.3394666667
677.63,16.9974,62.062,31.7593333333,58.9502666667,16.6088,15.739,18.1325333333,41.9639333333,15.4973333333
677.95,17.0817333333,62.2154,31.87,59.0034666667,16.6814,15.8287333333,18.3082666667,42.0487,15.6099333333
678.28,17.1905333333,62.3399333333,31.9686666667,59.0660666667,16.7964666667,15.8925333333,18.4457333333,42.1761333333,15.7768666667
678.60,17.2207333333,62.2122666667,32.0257333333,59.023,16.7989333333,15.9123333333,18.4147333333,42.1899,15.8189333333
678.93,17.3076,62.3269333333,32.158,59.1144,16.9214,16.0259333333,18.4816,42.2204,15.9718666667
679.25,17.4016,62.4842666667,32.2372,59.2391333333,17.0083333333,16.1284666667,18.5638,42.3577666667,16.0439333333
679.58,17.3961333333,62.6500666667,32.3076,59.4944,17.0339333334,16.1255333334,18.5624,42.3725,16.078
679.90,17.491,62.6816666667,32.4129333333,59.5282,17.1466666667,16.2296666667,18.6576,42.4435333333,16.1792
