wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
831.14,10.7174666667,46.2943333333,48.8646,45.7676,22.08,16.1672,16.6849333333,6.23053333334,19.8274,41.1444,11.9344666667
831.44,11.562,46.7974666667,48.1151333333,46.3524666667,23.0454,16.8934666666,17.7312666667,7.31233333333,20.9337333333,42.0419333333,12.6353333333
831.74,12.0615333333,47.0075333334,48.4455333333,47.2484666667,23.0256666667,16.8994666667,18.1131333333,6.99093333333,21.2301333333,42.8679333333,13.4165333333
832.04,12.9268666667,47.878,48.8080666667,47.7531333333,23.7358666667,17.1786666667,18.132,7.58113333333,22.1493333333,43.2903333333,14.068
832.35,13.1816,47.4612,48.2196,47.5334666667,23.698,16.4967333333,17.7319333333,7.46113333333,21.8562666667,43.048,14.0122666667
832.65,13.7018666667,47.8526666666,47.9397333333,48.3080666667,24.3617333333,16.0604,17.8023333333,8.14746666667,22.2312,42.794,14.1438666667
832.95,14.0438,48.1741333333,47.544,48.409,25.2702666667,15.9776666667,17.7078,8.64373333333,22.4157333333,43.0336666667,14.2661333333
833.25,14.2924,48.733,47.7976,48.9402666667,25.2517333333,15.5418,17.4540666667,8.53166666666,22.0782,43.3808,14.1978
833.55,13.3447333333,48.2806,47.1515333333,48.2406666667,24.2600666667,14.4054,16.2189333333,7.88706666667,21.1862,42.8172,13.1964
833.85,14.2638666667,48.6371333333,47.6793333334,48.8013333333,24.5265333333,14.8988666667,16.6939333333,8.50573333333,21.6693333333,43.3332666667,13.9902
834.16,13.0922666667,48.3209333333,46.957,48.5894,23.7414,13.8262666667,15.53,7.20893333333,20.7724,42.5965333333,12.8019333333
834.46,12.6866,47.9599333333,46.9008,48.233,23.6175333333,13.0712,14.9329333333,6.4994,20.4014,42.4080666667,12.2074
834.76,12.6556666667,47.8208666667,46.7701333333,48.085,23.0835333333,12.6213333333,14.5562666667,6.1958,19.753,42.2222666666,11.3810666667
835.06,11.8322,47.0282666666,45.865,47.0765333334,22.3386,11.1332666667,13.6468666667,5.0934,18.5712666667,41.4346,9.98780000001
835.36,11.4477333333,46.9434,45.2059333333,46.6666666667,22.1364666667,10.3538,12.8956666667,4.28566666667,17.9602,41.4736,9.23426666667
835.66,11.8036,47.7334,45.8596,47.1158,22.3929333333,10.4982666667,13.0807333333,4.2666,18.3369333333,42.2878,9.15080000001
835.96,11.4516666667,47.5576,45.8447333333,46.4363333333,21.5667333333,9.62366666667,12.2964666667,2.91866666667,17.4732666667,42.3272,8.02613333334
836.26,11.0774666667,46.8771333333,45.5304,45.6734,20.7490666667,8.89740000001,11.4141333333,2.0286,16.2795333333,41.6077333333,7.26440000001
836.57,9.73919999999,46.6667333333,44.9311333333,45.0924666667,19.4973333333,7.39686666667,9.76766666667,0.512,15.4956,41.0716,5.23473333333
836.87,11.918,48.1128,46.0512,46.8617333333,21.8666666667,8.73840000001,11.3231333333,2.68713333333,17.2513333333,42.7487333333,7.19999999999
837.17,9.89846666667,46.0678,43.8756,45.7740666667,20.4294,6.39560000001,9.50279999999,0.632866666666,15.7287333333,41.5368,4.73446666667
