wavelength,Back_IdiBram,Belly_IdiBram,Breast_IdiBram,Crissum_IdiBram,Crown_IdiBram,DorTail_IdiBram,Rump_IdiBram,Throat_IdiBram,WingTip_IdiBram
617.28,8.26088888889,19.8207777778,17.407,19.7363333333,7.612,8.91055555557,9.35688888889,20.2456666666,6.92466666667
617.62,8.38766666667,19.9075555556,17.4937777778,19.8293333333,7.69122222222,9.03577777778,9.413,20.3026666667,7.00933333333
617.95,8.43411111111,19.9394444444,17.5404444444,19.8747777778,7.74777777778,9.10566666667,9.43166666667,20.3112222222,7.06966666667
618.28,8.42088888889,19.9536666667,17.532,19.8854444444,7.73277777778,9.06199999999,9.40355555556,20.3026666667,7.07511111111
618.62,8.49288888889,20.0166666667,17.594,19.935,7.75511111111,9.09344444443,9.42988888889,20.3753333333,7.10466666667
618.95,8.47211111111,19.9852222222,17.5768888889,19.9048888889,7.74511111111,9.09544444446,9.40266666667,20.3083333333,7.09211111111
619.28,8.52311111111,20.0526666667,17.6205555555,19.9894444444,7.818,9.17322222223,9.47422222222,20.3493333333,7.16844444444
619.62,8.56866666667,20.1256666667,17.645,20.0416666667,7.84722222222,9.2031111111,9.50888888889,20.3856666667,7.184
619.95,8.56433333333,20.1078888889,17.6772222222,20.0152222222,7.86377777778,9.19644444443,9.47811111111,20.402,7.19777777778
620.28,8.53588888889,20.1145555556,17.6663333333,19.9876666666,7.88211111111,9.18133333335,9.44488888889,20.3995555555,7.18488888889
620.62,8.50144444445,20.1128888889,17.6623333333,19.9815555556,7.88144444444,9.1391111111,9.43522222222,20.4192222222,7.17555555555
620.95,8.45055555555,20.0607777778,17.5873333333,19.9164444444,7.84066666667,9.10022222223,9.40977777778,20.3764444444,7.14544444444
621.28,8.39433333333,20.035,17.5407777778,19.8515555556,7.80577777778,9.04177777778,9.39277777778,20.3692222222,7.134
621.62,8.38477777778,20.023,17.5094444445,19.8242222222,7.76922222222,8.99722222223,9.38611111111,20.3524444444,7.10977777778
621.95,8.343,20.0011111111,17.475,19.7865555556,7.742,8.96066666665,9.348,20.3521111111,7.07144444445
622.28,8.28522222222,19.9142222222,17.3945555556,19.7428888889,7.73044444444,8.92666666668,9.29966666666,20.2818888889,7.02188888889
622.62,8.308,19.9175555555,17.3935555556,19.7956666667,7.72711111111,8.94111111112,9.33733333333,20.3078888889,7.03955555555
622.95,8.31633333333,19.9056666667,17.3814444445,19.8141111111,7.698,8.93422222222,9.35388888889,20.3392222222,7.02933333333
623.28,8.37655555556,19.9787777778,17.4171111111,19.8522222222,7.75177777778,8.989,9.42044444444,20.4223333333,7.10666666667
623.62,8.33544444444,19.9787777778,17.398,19.865,7.75277777778,8.98633333333,9.44044444444,20.4486666667,7.09855555555
623.95,8.347,19.9858888889,17.4338888889,19.884,7.73788888889,9.03844444445,9.44522222222,20.4458888889,7.11288888889
624.28,8.32666666667,19.9996666667,17.4322222222,19.9008888889,7.74066666667,9.03411111112,9.428,20.4287777778,7.11544444444
624.62,8.38033333333,20.0762222222,17.4984444444,19.957,7.76422222222,9.10300000001,9.45766666667,20.4972222222,7.15311111111
624.95,8.39888888889,20.0512222222,17.5027777778,19.9828888889,7.76244444444,9.11577777779,9.43611111111,20.493,7.14766666666
625.28,8.38833333333,20.0603333333,17.4887777778,19.9892222222,7.768,9.13433333333,9.42033333333,20.4855555555,7.14977777778
625.61,8.449,20.0592222222,17.521,20.0575555556,7.793,9.18311111111,9.43366666667,20.5035555556,7.19177777778
625.95,8.53944444445,20.1493333333,17.6051111111,20.1255555555,7.86766666667,9.26377777779,9.50611111111,20.596,7.27922222222
626.28,8.58844444444,20.2136666666,17.6773333333,20.1624444444,7.89877777778,9.27866666668,9.52788888889,20.678,7.32966666667
626.61,8.60211111111,20.2537777778,17.6955555556,20.1864444444,7.91266666666,9.29811111111,9.53655555556,20.6977777778,7.361
626.94,8.558,20.1912222222,17.6787777778,20.1551111111,7.897,9.25655555557,9.48133333334,20.6711111111,7.30022222222
627.28,8.62555555556,20.2525555556,17.7372222222,20.2144444444,7.94311111111,9.30133333333,9.52866666666,20.6443333333,7.34233333333
627.61,8.60766666667,20.2724444444,17.6902222222,20.215,7.95222222222,9.27077777777,9.54966666668,20.6496666667,7.33344444444
627.94,8.66133333333,20.2594444444,17.7063333333,20.2411111111,7.97655555555,9.29344444445,9.56466666666,20.6526666667,7.35311111111
628.27,8.66088888889,20.2372222222,17.7187777778,20.2364444444,7.98777777778,9.28611111111,9.52411111111,20.6447777778,7.35488888889
628.61,8.64977777778,20.2565555556,17.717,20.2381111111,8.00066666667,9.26055555557,9.52444444445,20.6076666667,7.33833333334
628.94,8.71666666667,20.2881111111,17.7604444444,20.3075555556,8.06888888889,9.31633333334,9.58466666667,20.7191111111,7.37844444444
629.27,8.72266666667,20.3248888889,17.7572222222,20.2973333334,8.09077777778,9.31244444444,9.61444444446,20.72,7.39311111111
629.60,8.726,20.3318888889,17.7842222222,20.2932222222,8.09533333333,9.33666666666,9.64966666666,20.7265555556,7.42911111111
629.94,8.74755555556,20.343,17.7764444444,20.3055555556,8.12866666666,9.35599999999,9.69011111112,20.7424444444,7.43622222222
630.27,8.67722222222,20.2664444444,17.7471111111,20.2366666667,8.08566666667,9.31366666668,9.63933333333,20.6835555556,7.37222222222
630.60,8.73488888889,20.3191111111,17.8073333333,20.3095555555,8.12477777778,9.36122222221,9.69288888889,20.6834444444,7.42677777778
630.93,8.74933333333,20.3247777778,17.8186666667,20.325,8.10144444445,9.3301111111,9.68855555557,20.7495555556,7.39111111111
631.26,8.73833333334,20.3243333333,17.863,20.3443333333,8.111,9.3458888889,9.64033333332,20.744,7.39388888889
631.60,8.73322222222,20.3631111111,17.8874444445,20.3144444445,8.10288888889,9.37033333333,9.6498888889,20.7706666667,7.39977777778
631.93,8.71944444444,20.4054444445,17.8843333333,20.3364444445,8.09888888889,9.36311111112,9.69277777778,20.7958888889,7.40655555556
632.26,8.74333333333,20.4518888889,17.9091111111,20.4006666667,8.10588888889,9.42533333334,9.71611111111,20.8455555556,7.45066666667
632.59,8.74333333333,20.4878888889,17.9101111111,20.4025555556,8.07977777778,9.41888888888,9.75622222223,20.7991111111,7.47255555556
632.92,8.73744444445,20.4981111111,17.9284444444,20.3791111111,8.06177777778,9.4391111111,9.77322222222,20.8083333333,7.46355555556
633.26,8.73922222222,20.5185555556,17.914,20.3974444444,8.05377777778,9.42411111111,9.75877777779,20.8022222222,7.42455555555
633.59,8.69866666667,20.4895555556,17.8828888889,20.3642222222,8.00966666667,9.40222222223,9.72166666668,20.7062222222,7.38633333333
633.92,8.75866666667,20.5121111111,17.941,20.4006666667,8.06055555556,9.45355555557,9.75366666668,20.7572222222,7.44077777778
634.25,8.70722222222,20.4743333334,17.8264444445,20.3243333333,8.004,9.4118888889,9.70077777778,20.7357777778,7.417
