wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
186.77,-208.5205,-179.400666667,-193.632916667,-177.153555556,-195.88025,-160.750753788,-201.966333333,-204.49425,-201.87275,-173.899857639,-243.071083333,-197.00375
187.15,-255.888833334,-219.0,-237.999916667,-221.629666667,-239.111083334,-199.757462121,-243.666583334,-246.777833333,-248.555583333,-209.786981481,-290.000083334,-242.222166667
187.53,-340.625,-288.243916667,-312.499916667,-296.428555556,-315.47625,-270.677761363,-325.595416667,-324.107083333,-334.226333333,-277.521459491,-387.946416667,-324.851083333
187.91,-473.17075,-412.195083334,-441.4635,-424.661222222,-446.13825,-388.617856061,-466.056916667,-458.333333333,-477.845416667,-397.786979167,-535.772333333,-469.918583334
188.29,-500.87725,-439.035083333,-465.789583333,-457.894666667,-483.552666666,-420.873215909,-502.631583333,-488.377333333,-523.026333333,-435.931490741,-576.315833333,-517.763083333
188.67,-851.515166666,-800.379,-806.439333334,-798.484777777,-840.908999999,-735.984878788,-878.409083333,-849.242416667,-917.803000001,-756.571061343,-992.045333333,-902.651416668
189.05,-1032.87041667,-986.574083334,-994.907416667,-985.18511111,-1040.74083333,-906.670765151,-1089.35166667,-1059.25916667,-1135.18516667,-931.018469908,-1185.64825,-1109.72225
189.43,-6527.77783333,-6302.77775,-6236.11091667,-6192.59255556,-6511.11108333,-5805.8079697,-6800.0,-6644.44441667,-7116.66658333,-5814.85345949,-7330.55566667,-7027.77775
189.81,3243.05558333,3177.77775,3145.83316667,3159.25933333,3266.66658333,3042.04533712,3436.111,3384.72216667,3537.5,3001.96752431,3659.72216666,3556.94433334
190.19,624.2645,624.26475,613.970666667,612.745222222,639.215666667,599.454003788,657.843,637.745083333,677.696083333,587.183349537,691.4215,676.71575
190.57,659.94625,670.429916667,650.80625,640.143444444,674.999833333,646.81082197,702.68825,668.548416667,722.84925,606.257461806,722.8495,722.580583333
