wavelength,Back_ConSitf,Belly_ConSitf,Breast_ConSitf,Crissum_ConSitf,Crown_ConSitf,DorTail_ConSitf,Rump_ConSitf,Throat_ConSitf,WingTip_ConSitf
769.13,7.99633333334,49.3419,41.0059333333,41.9063333333,6.63946666667,11.5692222222,10.7817333333,9.23353333334,10.0953333333
769.44,7.99266666666,49.6969666667,41.3406,42.0722666667,6.73499999999,11.7612311111,11.0976666667,9.36606666667,10.3898666667
769.76,7.70373333334,49.781,41.1515333333,42.0871333333,6.30346666667,11.2447288889,10.8311333333,9.08566666666,9.80533333332
770.07,7.27246666667,49.6018,40.8278666667,41.7372666667,5.91513333333,10.7841244444,10.4872666667,8.8054,9.36079999999
770.38,7.3242,49.5194333333,40.4334666667,41.7943333333,5.78713333334,10.6630488889,10.4916666667,8.86446666667,9.31793333334
770.69,6.8346,49.4131,40.3852,41.7388,5.20313333333,10.0942311111,9.98646666666,8.18553333333,8.87513333335
771.00,6.28426666666,49.3066666667,40.4494,41.6036666667,4.95173333333,9.78220444444,9.71046666667,7.91113333333,8.55459999999
771.32,6.39213333333,49.4501333333,40.5678666667,41.8997333333,5.19186666666,9.9292888889,10.0826,8.21566666666,8.61259999999
771.63,6.09326666667,48.7518333333,40.1426666667,41.2674,4.99620000001,9.37271111112,9.8548,7.9712,8.3322
771.94,5.84433333333,48.7509333333,40.1702,41.4939333333,5.04246666667,9.36150222223,9.80559999999,7.6026,8.1444
772.25,5.78033333333,48.5083,39.7866,41.1407333333,5.35159999999,9.36276888887,9.92533333333,7.5586,8.40993333334
772.56,5.62606666667,48.0750666667,39.6375333333,40.8354,5.17213333333,8.95124888887,9.81513333333,7.24866666667,8.11053333333
772.87,5.76526666667,47.8799,39.5576,41.0935333333,5.27533333334,8.95771555557,9.7072,7.25486666667,8.3636
773.18,5.81086666667,47.6416666667,39.6008666667,41.2549333333,5.1304,8.98348444445,9.50446666668,7.27606666667,8.75139999998
773.50,6.44746666666,47.9436333333,40.1349333333,41.6184666667,5.23426666666,9.39586222223,9.6594,7.33413333333,8.97786666667
773.81,6.19973333333,47.9439,40.2925333333,41.5184666667,4.74693333333,9.03687111111,9.28140000001,6.8508,8.49106666667
774.12,6.35826666667,48.1097,40.4437333333,41.3788666667,5.09233333333,9.19368000001,9.20833333333,6.95786666667,8.62886666666
774.43,7.0968,48.2831666667,40.3683333333,41.4877333333,5.3608,9.54015555556,9.33893333333,7.37686666667,9.09253333334
774.74,7.10386666667,47.9315666667,40.2574,41.2493333333,4.94686666667,9.44562666667,9.13306666667,7.2532,9.03779999999
775.05,7.42126666667,48.1481,40.4433333333,41.159,4.64533333333,9.78284,9.11373333332,7.33933333333,9.18826666666
775.36,7.2628,48.0269666667,40.4966,40.9721333333,4.3142,9.69846666666,8.8382,7.21673333333,9.23453333333
775.67,6.55846666667,47.8093666667,40.2157333333,40.435,3.19833333334,8.83727111111,8.02873333333,6.1644,8.29146666667
775.98,6.63180000001,47.7406333333,40.1590666667,40.2062666667,3.35673333333,9.16627555556,7.74066666668,6.15586666667,8.5418
