wavelength,Back_CamPalm,Belly_CamPalm,Breast_CamPalm,Crissum_CamPalm,Crown_CamPalm,DorTail_CamPalm,Rump_CamPalm,Throat_CamPalm,WingTip_CamPalm
244.55,8.80466666666,4.8878,6.3484,6.13626666667,4.01466666667,10.3714,9.783625,4.71233333333,12.1175333333
244.92,9.61751111111,6.31273333333,7.32013333334,7.35139999999,4.94746666667,11.0462,11.0725,6.49563333333,13.092
245.30,9.39582222221,6.53163333333,7.24960000001,6.9012,4.7122,10.8599333333,11.034,7.07546666667,12.6581333333
245.67,9.30048888889,6.36273333333,7.17853333334,6.8202,5.58553333334,10.6077333333,10.72625,7.27123333333,12.6487333333
246.05,8.82902222221,6.03873333333,6.90966666667,6.00119999999,5.4398,10.515,10.18585,6.8287,12.4304666666
246.42,7.87431111111,5.8057,6.2086,5.52406666666,5.33966666667,10.0737333333,9.66759166667,6.51663333333,12.0537333333
246.79,6.90851111112,4.99876666667,5.2398,4.65553333333,4.7334,9.30113333333,8.57316666666,5.66096666667,10.9715333334
247.17,6.44308888889,4.4527,4.82226666667,4.32833333333,4.29646666667,8.81466666666,8.30103333334,5.20733333333,10.5778666667
247.54,5.88633333333,4.33063333333,4.59873333333,3.8978,4.30886666667,8.75193333334,7.75141666667,4.6464,10.0409333333
247.92,5.81653333333,4.55873333333,4.56066666667,3.84213333333,4.28666666667,9.02179999999,7.71710833333,4.26366666667,9.76546666666
248.29,5.87415555556,4.66186666667,4.84413333333,3.9164,4.11513333333,9.0806,7.74649999999,4.72243333333,9.77326666667
248.67,6.35915555555,5.06886666667,5.42873333334,4.48633333333,4.63193333333,9.78546666667,8.22199166665,5.2386,10.2467333333
249.04,6.48964444444,4.7707,5.476,4.53433333333,4.7128,10.0394666667,8.12953333334,5.32683333333,10.0144666667
249.42,6.10697777778,4.45096666667,5.3974,4.11473333333,4.3554,10.0824666667,7.88466666667,5.08336666667,9.58353333334
249.79,6.13046666667,4.5071,5.66453333333,4.10886666667,4.1612,10.4365333333,8.308225,5.0154,9.79239999999
250.17,7.00426666667,5.3217,6.44886666666,5.1622,5.01513333333,11.5198,9.263475,6.1981,10.5976666667
250.54,6.57164444444,4.7193,5.94906666666,4.5358,3.94413333333,10.9339333333,8.660075,5.86956666667,9.89879999999
250.92,7.72002222222,5.73093333333,7.22706666667,5.88673333333,4.86413333333,11.9353333333,9.98353333333,6.7332,11.0225333333
251.29,7.10195555555,5.43606666667,6.7268,5.03613333334,4.30806666667,11.1853333333,9.14506666666,6.1281,10.5656666667
251.66,7.20566666667,5.643,6.59806666667,4.98753333333,4.30713333333,11.0986666667,9.62871666667,6.1453,11.055
252.04,7.0948,5.7398,7.15873333334,5.38193333333,4.53173333333,11.3135333333,10.0654083333,6.92566666667,11.6906
252.41,5.84244444445,4.3901,5.61633333333,4.00793333333,3.42966666667,9.83060000001,8.95637499999,5.55986666667,10.5948666667
252.79,5.33602222222,4.029,5.22793333333,3.7286,3.39753333333,9.38193333333,8.50813333332,4.83613333333,10.0033333333
253.16,4.34591111111,3.78016666667,4.26113333333,2.536,2.14426666667,8.43293333333,7.49909999999,3.90036666667,9.70446666667
253.54,4.51564444445,3.7402,3.916,2.72326666667,2.1786,7.96286666667,7.13379166667,3.37136666667,9.838
253.91,3.32857777778,2.9167,2.54993333333,1.2464,1.15373333333,6.79473333333,5.59468333333,2.40043333333,8.44013333333
254.28,2.64688888889,2.3519,1.94813333333,0.659200000001,0.711200000001,5.9408,4.81845000001,2.25546666667,7.7258
254.66,4.1604,4.05256666667,3.37906666666,2.32873333333,2.71686666667,7.45826666666,5.98370833334,3.55796666667,9.33039999999
255.03,3.60577777778,4.28956666667,2.73806666667,1.7936,2.60313333333,7.02386666667,5.66271666667,3.80966666667,9.26973333333
255.41,3.15246666666,4.8654,2.43466666667,1.6396,2.708,7.57773333333,5.62007500001,4.36023333333,8.8282
255.78,3.001,4.48913333333,2.78053333333,1.89293333333,2.42033333333,7.36173333334,5.25122499999,5.53183333333,8.7102
256.15,2.43662222222,3.81976666667,1.82746666667,1.26066666667,2.0812,6.6412,4.69965833334,5.1059,7.9104
256.53,3.44155555556,4.7161,2.05186666667,2.67646666667,2.96026666667,7.7372,5.35078333333,5.92463333333,8.99426666666
256.90,4.21668888889,5.07136666667,2.3274,3.41586666667,3.37093333333,7.86786666667,5.71509166666,6.7454,9.59446666666
257.28,4.36695555556,4.55616666667,2.75273333334,3.23766666667,3.81146666667,7.4592,5.74616666667,6.44116666667,9.11179999999
257.65,4.41022222222,4.27953333333,3.03313333333,3.08746666667,3.82173333333,7.27313333333,5.67485833333,6.2056,9.10520000001
258.02,4.59488888889,4.0701,3.08173333333,3.27373333333,4.01033333333,7.31526666667,5.77305,6.08023333333,9.57199999999
258.40,4.15862222222,3.52876666667,2.6,2.74233333333,3.49326666667,7.20886666667,5.44678333333,5.06686666667,9.59126666666
258.77,3.72815555556,2.90326666667,2.26473333333,2.15286666667,2.98226666667,6.73986666667,5.09889166667,4.38283333333,9.00866666667
259.15,4.74508888889,3.65056666667,3.2612,2.963,3.85806666667,7.91486666667,5.85005833333,5.25033333333,9.81146666667
259.52,5.32535555555,3.98636666667,3.76393333333,3.4852,4.48093333333,8.1854,6.23958333333,5.61616666667,10.3554666667
259.89,5.51406666667,4.18273333333,3.84626666667,3.6928,4.88993333333,8.35946666667,6.43151666667,5.47823333333,10.2521333333
260.27,5.687,4.45276666667,4.0472,3.91113333333,4.97226666667,8.5082,6.52034166667,5.68346666667,10.2944666667
260.64,5.81753333333,4.70783333333,4.37006666667,3.99413333333,5.15453333333,8.66373333333,6.76396666667,5.75523333333,10.4590666667
261.01,5.31784444445,4.19756666667,4.0878,3.37446666667,4.6228,8.3128,6.31831666667,5.26756666667,9.99186666667
261.39,5.52188888889,4.47903333333,4.2842,3.89786666667,4.96613333333,8.72606666666,6.63083333333,5.4618,10.3574666667
261.76,5.95344444445,4.96836666667,4.74446666667,4.44153333333,5.4182,9.37299999999,7.1384,6.0438,10.9838
262.13,6.37286666667,5.31186666667,5.28506666667,4.87126666667,5.70193333333,9.80513333333,7.57252499999,6.51783333333,11.2788
262.51,6.55717777778,5.5176,5.4478,5.06746666667,5.80866666667,9.84566666667,7.677675,6.82763333333,11.2497333333
262.88,7.06995555555,5.89483333333,6.08866666667,5.4282,6.22506666667,10.2064,8.095,7.63046666667,11.7896666667
263.25,6.37997777778,5.09693333333,5.3588,4.84746666666,5.339,9.23906666666,7.224425,6.68246666667,11.1692666667
263.63,6.60402222222,5.17376666667,5.64813333334,5.1934,5.5038,9.36833333333,7.32299166667,6.87646666667,11.5279333333
