wavelength,Back_SicFlaf,Belly_SicFlaf,Breast_SicFlaf,Crissum_SicFlaf,Crown_SicFlaf,DorTail_SicFlaf,Patch10_SicFlaf,Patch11_SicFlaf,Rump_SicFlaf,Throat_SicFlaf,WingTip_SicFlaf
822.36,27.2292666667,58.189,42.551,57.7576,25.3112666667,23.1439333333,21.6574,22.6372666667,26.0824,45.6501333333,21.397
822.67,27.5699333333,58.3376,42.9211333333,57.847,25.5474,23.3557333333,21.9355333333,22.8466666667,26.3580888889,45.8766,21.7075333333
822.97,27.6993333333,58.4643333333,43.0638666667,57.8402666667,25.651,23.4974,22.0328,22.9308,26.5231444445,45.9654,21.8804666667
823.27,27.9972,58.7152666667,43.3373333333,58.0676,25.9303333333,23.8414,22.337,23.1588,26.8441666667,46.1562666667,22.1860333333
823.58,28.1884666667,59.0412666667,43.6247333333,58.3308,26.0870666667,24.1116,22.5186666667,23.3978666667,27.0660444445,46.3188,22.3945
823.88,28.1647333333,58.8452,43.4240666667,58.2096,26.0628,24.063,22.5438,23.313,26.9814222222,46.2231333333,22.4143666667
824.18,28.0914666666,58.6112666667,43.1530666667,57.8581333333,26.1259333334,24.0637333333,22.4892666667,23.1246666666,26.7805333333,45.9894,22.4482333333
824.49,27.9536666667,58.2491333333,42.8776666667,57.4078,26.0817333333,24.0579333333,22.4323333333,23.1014,26.6468333333,45.6136666667,22.4732333333
824.79,27.8144,58.1992,42.7674,57.2036,26.009,24.2170666667,22.3938,23.0985333333,26.5881333333,45.3290666667,22.4698
825.09,27.98,58.2002666667,42.7585333333,57.1786666667,26.1124,24.3126,22.4863333333,23.043,26.7352777778,45.2597333334,22.6249333333
825.39,28.2778,58.7278,42.8419333333,57.339,26.271,24.4324,22.6248,23.1626666667,26.8898444444,45.4228666667,22.7477
825.70,28.3372666667,58.7038666667,42.9129333333,57.2326,26.3674666667,24.5648,22.6946,23.2714,26.9900111111,45.6696666667,22.7039666667
826.00,27.9161333333,58.5409333334,42.6248666667,57.0819333333,25.9622666667,24.3438,22.3117333333,22.9600666667,26.6876111111,45.4424,22.3033333333
826.30,27.7204,58.6334666667,42.5553333333,57.1604666667,25.9718666667,24.2607333333,22.2709333333,22.6960666667,26.6364888889,45.3288,22.1633333333
826.61,27.2195333333,58.1928666667,42.1503333333,56.6536,25.7151333333,23.9808,22.0572666667,22.194,26.2354777778,44.9557333333,21.8404333333
826.91,27.1002,57.6889333333,41.5846666667,56.3211333334,25.4042,23.7844666667,21.8424666667,21.8394666667,25.8723555555,44.6426666667,21.7106
827.21,26.9710666667,57.7826666667,41.6682666667,56.4428,25.2462,23.7689333333,21.6263333333,21.6712,25.8276222222,44.5717333333,21.5100333333
827.51,26.9539333333,57.4936,41.5479333333,56.275,25.0038666667,23.8216,21.4905333333,21.5690666667,25.8295888889,44.6048,21.3304
827.82,27.431,57.8351333333,42.287,56.9016666667,25.3476666667,24.3136666667,21.9767333333,21.886,26.2217666667,45.1379333333,21.6134666666
828.12,27.3126666667,57.6372,42.2374666667,57.0012,25.1836666667,24.3170666667,21.6478,21.6740666667,26.0151444445,45.2101333333,21.5637666667
828.42,27.0553333333,57.6540666667,42.3672,57.1454,24.9638666666,24.1936666667,21.4166,21.4096,25.8788555556,45.2710666667,21.4467
828.72,26.6019333333,57.449,42.4062,57.3311333333,24.7707333333,24.3783333333,21.1840666667,21.1460666667,25.8131888889,45.178,21.4504666667
829.02,26.1923333333,57.2700666667,42.3138,57.4324,24.5443333333,24.4110666667,20.9280666667,20.8196666667,25.4724222222,44.7691333333,21.3732333334
829.33,26.1922,57.0522666667,42.0716666667,57.2804,24.3667333333,24.595,20.8852666667,20.5156,25.3723555555,44.3804666667,21.4351333333
829.63,26.2324,56.9596,41.9393333333,57.1616666667,23.9494666667,24.8988666667,20.6313333333,20.4394666667,25.3266666667,44.3332,21.4446
829.93,26.7003333333,57.2649333333,42.0780666667,57.7534,23.7181333333,25.5996,20.3817333333,20.7133333333,25.4984333333,44.8356,21.6849666667
830.23,26.6912,57.5505333333,42.6028,58.2198666667,23.8244,26.0405333333,20.6260666667,21.1847333333,25.8779888889,45.2485333333,21.7863666667
830.54,25.9722666667,57.2420666667,41.9908,57.8438666667,23.0292666667,25.9128,20.1058666667,20.8597333333,25.5479222222,44.8612,21.4946666667
830.84,25.4282,57.5938,41.7906,58.0467333333,22.6397333333,25.6406,19.9434,20.5095333333,25.2915,44.4586666667,21.1535333333
831.14,24.5724666667,57.2826666667,40.7464,57.0434666666,21.616,24.9275333333,18.6521333333,19.7608666667,24.5337222222,43.5000666667,20.5616
831.44,25.5790666667,57.6552666667,41.4546666667,57.514,22.7965333333,25.7202666666,19.9648666667,20.9533333333,25.8194222222,44.1171333333,21.2994
831.74,26.1362666667,57.8315333333,41.4097333333,57.4085333334,23.4307333333,26.4250666667,20.6042,21.5240666667,26.5022111111,44.3034666666,21.5877
832.04,26.8762,58.4126666667,41.7714,57.3967333333,23.784,26.3366,21.0540666667,21.9364,26.8571111111,44.7937333333,22.0285333333
832.35,27.6649333333,59.0730666667,42.1034666666,57.4866,24.4564,26.8211333333,21.5627333333,22.4479333333,27.2360555555,45.2227333333,22.6143333334
832.65,27.726,59.0238,42.0354666667,57.3710666667,25.0082,26.7054666667,21.8690666667,22.7842666667,27.5144,45.513,22.7038
832.95,27.8316,58.6759333333,42.2224,57.0182666667,25.6813333333,26.5127333333,22.2478,23.0227333333,27.7341111111,45.4965333333,22.8895666667
833.25,27.2855333333,58.0358666667,42.0029333333,56.418,25.3801333333,25.4922,21.9102,22.3344666667,27.0597444444,44.9366,22.3975666667
833.55,27.3395333333,58.1733333333,42.1956666667,56.1270666667,25.3679333333,25.5641333333,21.7566666667,22.0041333333,27.0552777778,44.9521333333,22.4061333333
