wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
382.33,11.5618888889,30.046,23.6934444444,27.8495555556,10.5333333333,10.1551111111,8.93477777778,11.4111666667,11.4494444445,23.9198888889,7.87733333333
382.69,11.5788888889,30.0572222222,23.6626666667,27.8695555555,10.5378888889,10.1787777778,8.95400000001,11.4793888889,11.4766666667,23.9162222222,7.93722222222
383.05,11.4687777778,29.8767777778,23.5182222222,27.7457777778,10.404,10.0838888889,8.86166666666,11.3654444444,11.375,23.7686666666,7.86872222222
383.41,11.4992222222,29.8447777778,23.4842222222,27.7611111111,10.4096666667,10.202,8.91511111112,11.4532777778,11.4265555555,23.7492222222,7.94616666667
383.77,11.5166666667,29.7492222222,23.4181111111,27.7041111111,10.41,10.2076666667,8.96488888889,11.4527222222,11.4473333333,23.7191111111,7.97494444445
384.14,11.5063333333,29.7571111111,23.3601111111,27.7258888889,10.3625555556,10.196,8.97466666665,11.4160555556,11.4435555556,23.6953333334,7.95211111111
384.50,11.5104444445,29.6835555556,23.2904444444,27.6624444445,10.3256666667,10.1987777778,8.96777777777,11.4567777778,11.4095555556,23.6495555556,7.98483333333
384.86,11.518,29.7186666667,23.2055555555,27.6918888889,10.318,10.2657777778,9.02044444446,11.4851111111,11.393,23.6256666667,8.00844444445
385.22,11.5054444444,29.7183333333,23.1798888889,27.7077777778,10.3117777778,10.3032222222,9.02855555554,11.5288333333,11.4116666667,23.6111111111,8.008
385.58,11.5414444444,29.6851111111,23.1003333334,27.718,10.2845555555,10.3311111111,9.02333333333,11.5643333333,11.4376666667,23.5623333333,8.01661111111
385.94,11.5552222222,29.6593333333,23.0525555556,27.701,10.2634444444,10.3553333333,9.04677777779,11.6005,11.4284444445,23.528,8.01938888889
386.30,11.5424444445,29.5487777778,22.9857777778,27.653,10.2531111111,10.385,9.04333333332,11.6457777778,11.4298888889,23.4933333333,8.04116666667
386.66,11.5234444445,29.4844444444,22.8694444445,27.5552222222,10.2185555555,10.4275555556,9.04355555554,11.6176666667,11.402,23.4462222222,8.03588888889
387.03,11.4885555555,29.3813333333,22.732,27.4578888889,10.1536666667,10.4152222222,8.99655555556,11.6196111111,11.3516666667,23.3672222222,8.01177777778
387.39,11.4258888889,29.255,22.5661111111,27.3727777778,10.0556666667,10.3182222222,8.91266666667,11.5393888889,11.2256666667,23.2796666667,7.89905555555
387.75,11.3907777778,29.22,22.4854444444,27.3843333333,10.0372222222,10.3232222222,8.90522222221,11.5576666667,11.1992222222,23.2426666666,7.89922222222
388.11,11.3963333333,29.0695555556,22.3603333333,27.2883333334,9.97722222222,10.2922222222,8.88422222222,11.5252222222,11.1332222222,23.155,7.90022222222
388.47,11.3438888889,29.0267777778,22.2222222222,27.282,9.92755555557,10.2822222222,8.85766666668,11.4595555556,11.076,23.0845555555,7.89127777778
388.83,11.3063333333,28.9025555556,22.1057777778,27.1771111111,9.86055555554,10.2698888889,8.84233333334,11.4063888889,11.0637777778,23.0253333333,7.90427777778
389.19,11.3251111111,28.8636666667,22.0673333333,27.1833333333,9.85411111111,10.2951111111,8.90344444446,11.4205,11.0818888889,23.0124444444,7.96077777778
389.55,11.326,28.8057777778,21.9972222222,27.1417777778,9.86077777778,10.3013333333,8.959,11.418,11.1064444445,22.9548888889,7.98772222222
389.91,11.3172222222,28.7531111111,21.8924444444,27.122,9.8141111111,10.3103333333,9.02088888889,11.4247222222,11.1005555556,22.9086666667,8.00483333333
390.27,11.2782222222,28.6551111111,21.7163333333,27.0075555555,9.68244444445,10.2307777778,8.99066666668,11.3501111111,11.0318888889,22.7186666667,7.986
390.63,11.3174444445,28.557,21.592,26.9731111111,9.63688888888,10.2738888889,9.01766666665,11.3979444445,11.043,22.6485555556,8.02972222222
