wavelength,Back_TanCayf,Belly_TanCayf,Breast_TanCayf,Crissum_TanCayf,Crown_TanCayf,DorTail_TanCayf,Patch10_TanCayf,Patch11_TanCayf,Patch12_TanCayf,Rump_TanCayf,Throat_TanCayf,WingTip_TanCayf
788.07,20.434,43.966,32.9566666667,44.3035833333,41.5587,14.2635833333,15.5688333333,12.7501666667,37.1232916666,29.7155104167,29.287,17.32275
788.38,20.3145,43.5485,32.8371666667,44.17375,41.26195,14.30775,15.3005,12.877,36.923125,29.5598020833,29.24725,17.1370833333
788.69,20.0294166667,42.7450833333,32.1336666667,43.4788333333,40.49635,13.9420833334,15.1225,12.4998333334,36.6418333333,29.2727604167,28.5221666667,16.7814166667
789.00,20.7014166667,43.0631666667,32.8764166667,44.0990833333,40.4967,14.2921666666,15.798,13.1660833333,37.2104166667,29.6765,28.9125,16.9625833333
789.31,20.664,42.8775,32.8060833333,43.9715,40.3621166667,14.3425,15.6314166667,13.086,37.1907083334,29.2828958333,29.2188333333,16.8295
789.62,20.1536666667,42.1001666666,32.3811666667,43.4265833333,39.8267,13.9806666667,15.1563333333,12.6280833333,36.7482083333,28.9353020833,28.70375,16.8111666666
789.92,20.8266666666,42.63375,32.565,43.5810833333,39.7840166667,14.2819166667,15.6664166667,13.1690833333,36.59575,29.5499375,28.9215833334,17.2430833334
790.23,20.67925,42.9335,32.5254166667,43.7140833333,39.76175,14.0440833334,15.37925,12.9485,36.5722083333,29.4284895833,28.6703333334,16.8654166667
790.54,20.4081666667,42.8145833333,32.29875,43.6081666666,39.5634,13.58425,15.0155,12.5281666667,36.0792083333,29.04978125,28.21,16.4329166667
790.85,20.4615833333,42.6601666666,32.1398333333,43.4035,39.37665,13.94375,15.6946666667,12.7144166666,36.092125,28.88334375,28.21625,16.8025
791.16,20.54925,42.6355833333,32.2115833333,43.26925,39.3706333333,14.2920833333,16.1858333333,12.9589166667,36.403875,28.9025104166,28.3799166667,17.0454166667
791.47,20.6563333334,42.7433333333,32.4484166667,43.27425,39.2360333333,14.81575,16.6004166666,13.4734166666,35.9772083333,28.9363333333,28.2595833333,17.1681666667
791.78,20.577,43.0198333334,32.4931666666,43.3391666667,39.25665,14.91225,16.9418333334,13.6931666667,36.121,29.0254895833,28.01075,17.5585833333
792.08,21.0435,43.5889166667,33.2884166667,43.8664166667,39.91595,15.3528333333,17.2071666667,14.2040833333,36.4564583333,29.2840729167,28.1680833333,18.0855833333
792.39,20.8791666667,43.5244166667,32.9281666667,43.9755,40.1956333333,14.9463333333,16.6436666666,13.80725,36.2040416667,28.9373854167,28.08875,17.8134166667
792.70,21.0715833333,43.4270833333,32.5339166667,44.2343333333,40.106,14.9753333333,16.7050833333,13.4300833333,36.1009583333,29.06671875,27.7984166667,17.9505
793.01,21.3809166667,43.6705,32.8595833334,44.5324166667,40.7176,15.3385833333,16.9385,13.5988333333,36.3583333334,29.6034583333,27.9278333333,18.32875
793.32,21.3614166667,43.5211666666,33.2003333334,44.6479166667,41.2300833333,15.4068333334,16.8779166667,13.63075,36.4553333333,29.3935625,27.989,18.6698333333
793.62,22.0935,43.226,33.341,44.6033333333,40.9976166667,15.993,17.3099166667,14.25975,36.7167083333,29.637625,28.4891666667,19.3460833333
793.93,22.1729166666,42.8506666666,33.2000833333,44.1386666667,40.30055,16.1115833333,16.9700833334,14.2984166667,36.2825416666,29.3655416666,28.4414166667,19.4566666667
794.24,22.0233333333,42.3444166667,32.89125,43.7591666667,39.7686333333,15.591,16.0995,14.0953333333,35.694875,28.8608229167,28.2346666666,18.6190833333
794.55,22.0238333333,42.2980833333,33.1881666667,43.60475,39.8170166666,15.3165,15.89725,14.1695,35.3439583333,28.9670729167,28.4118333333,18.44525
794.86,21.409,41.5943333334,32.7251666667,43.1365,39.41205,14.58875,15.2331666666,13.3,34.785,28.6518020833,28.4245,17.7888333333
795.16,20.1138333333,40.4763333333,31.7921666667,42.5211666667,38.80075,13.29975,13.89125,11.7075833333,33.6875,27.37,27.49775,16.535
795.47,19.548,40.31625,31.3113333333,42.0420833333,38.2148166667,12.94775,13.7131666667,11.2579166667,33.152875,27.0599791667,27.3903333333,16.2331666666
795.78,19.7989166667,40.7890833333,31.53525,42.2089166666,38.6345,13.1135833334,14.15525,11.5225,33.5830833334,27.3331458334,28.11075,16.6451666667
796.09,19.3505833333,40.599,31.5873333334,41.8975833333,38.5597833333,12.1861666667,13.6579166667,11.0245833333,33.2899166667,26.66584375,28.0520833333,15.8441666667
796.40,19.699,41.2666666666,31.9080833333,42.4810833333,38.8874833333,12.45625,14.0778333333,11.402,33.766,27.2015,29.0868333333,15.9030833333
796.70,19.7135,41.5793333334,32.00975,42.7718333334,38.8278166667,12.7980833334,14.5215,11.4745,34.1875833333,27.4021770833,29.312,16.0850833333
797.01,19.45675,41.9701666667,32.238,43.3615,39.4094333333,12.7738333333,14.6240833333,11.4639166667,34.67275,27.6772291667,29.4849166667,16.1634166667
797.32,18.9105833333,41.72725,31.928,43.5629166667,39.4742333333,12.2924166667,14.3774166667,11.19675,35.002875,27.4923541666,29.0419166666,15.8128333333
797.63,18.7841666667,41.5143333333,31.9546666666,43.6243333333,39.74865,12.38575,14.48825,10.8395,35.3404583333,27.5964375,28.5648333333,15.9353333334
797.93,19.065,41.6819166667,32.096,43.6600833334,39.69585,12.8856666667,14.7800833333,11.2051666666,35.67825,27.8853541666,28.7351666667,16.3000833333
798.24,19.8465,42.7265833333,32.5651666667,44.3625833333,40.44385,13.87875,15.1459166667,11.98925,36.6207083333,28.5483541667,29.43925,17.3425
798.55,21.359,44.3251666666,33.6151666667,45.4295,41.25685,15.82875,16.4763333333,13.5511666667,37.7552916667,29.7695520833,30.6520833333,18.9136666667
798.85,21.1653333333,43.9785,33.5755833334,45.6888333333,40.9794166667,15.2764166667,16.0184166667,13.1521666667,38.08575,29.5806979167,30.303,18.5800833333
799.16,20.72325,43.459,33.4355,45.58975,40.6273666666,15.4324166667,16.0219166667,13.08975,37.9401666667,29.5439791667,29.9686666667,18.6320833333
799.47,20.9384166666,43.63525,33.4424166667,45.4015833333,40.6036833333,16.14525,16.7756666667,13.7566666666,37.9865,30.2062604167,30.3454166667,19.52225
799.78,20.7445833334,43.1005,33.0635,44.48825,39.9645,16.1810833333,16.57425,13.5060833334,37.507625,29.65521875,29.71775,19.3803333333
