wavelength,Back_OryMaxf,Belly_OryMaxf,Breast_OryMaxf,Crissum_OryMaxf,Crown_OryMaxf,DorTail_OryMaxf,Rump_OryMaxf,Throat_OryMaxf,WingTip_OryMaxf
256.15,-0.505833333335,-1.03583333334,-1.67416666666,4.93733333333,-2.336,2.62516666667,5.70816666665,1.39683333334,5.04583333334
256.53,0.82866666667,1.01316666667,-0.656166666665,6.3305,-0.506666666665,4.0515,6.74466666669,1.47316666667,5.88175
256.90,0.58216666667,0.431,-0.636083333335,6.59783333333,0.496,4.2045,6.2095,1.50916666667,5.3795
257.28,0.175000000002,0.214,-0.826416666665,6.00916666667,1.05016666667,4.49233333333,5.36766666667,1.22516666667,5.48433333333
257.65,0.737333333334,0.857333333335,-0.1545,5.36683333334,1.5775,5.34983333333,5.624,1.98916666667,6.147
258.02,0.495999999998,0.481,0.3305,4.52366666667,1.80333333333,5.26,5.66566666667,1.47283333334,6.15408333334
258.40,1.16183333333,0.922,1.31316666666,4.356,2.04566666667,5.8965,6.07316666666,2.08316666667,6.24366666666
258.77,2.29683333333,1.65466666667,2.16625,4.32166666667,2.72166666667,6.04183333333,6.042,2.841,6.23783333334
259.15,2.999,2.02816666667,2.965,4.45033333333,3.095,6.613,5.969,3.83483333333,6.68975
259.52,2.9685,1.72866666667,2.75025,4.42633333333,2.46216666667,6.46916666667,5.221,3.90266666667,6.49125
259.89,2.93833333334,1.657,2.68508333334,4.12983333333,2.163,6.41533333333,4.84016666667,3.78716666667,6.18666666666
260.27,3.38966666666,1.97733333333,2.89558333333,4.1665,2.25983333334,6.513,4.826,3.8215,6.11291666666
260.64,3.50566666667,2.02716666667,3.23891666667,4.14566666666,2.40816666667,6.68333333333,4.93833333334,3.96266666667,6.21475
261.01,3.52333333333,2.30116666666,3.34633333334,3.9835,2.39166666666,6.61683333333,4.94966666667,3.93816666667,6.46208333334
261.39,4.4645,3.28766666667,4.34691666666,4.685,3.36366666666,7.29683333333,5.6795,4.57833333334,7.13391666666
261.76,4.4865,3.06066666666,4.24975,4.71083333333,3.2545,7.02766666667,5.60183333333,4.41633333334,6.99266666667
262.13,4.69583333333,2.98433333333,4.16058333333,4.87433333333,3.17916666667,7.12083333333,5.49883333333,4.6795,6.78433333333
262.51,4.7845,3.04066666667,3.92125,5.14383333333,3.2685,7.089,5.28366666666,4.88966666667,7.00566666667
262.88,4.37616666667,2.969,3.71133333334,5.25366666666,3.06516666667,7.25866666667,5.5425,4.6365,7.00783333334
263.25,4.25933333334,3.2975,3.65675,5.728,3.065,7.3135,5.55883333333,4.42816666666,7.15483333334
263.63,5.17733333333,4.1465,4.6445,6.64816666667,4.45916666667,8.096,6.764,5.24666666666,8.31583333334
264.00,5.37333333333,4.35333333333,5.13058333334,7.08966666666,4.938,8.15916666666,7.51233333334,5.18666666667,9.02975
264.37,5.49116666667,4.40833333333,5.781,7.11516666667,5.62016666667,8.22383333333,7.88866666666,5.52983333333,9.22283333334
264.75,4.85233333334,3.69183333333,5.32041666667,6.48733333334,4.74683333334,7.4895,7.0145,5.08966666666,8.64983333333
265.12,4.183,3.052,4.59091666666,6.13016666667,4.275,6.89283333334,5.89316666667,4.1175,8.16233333334
265.49,3.60916666667,2.088,4.13125,5.285,3.85416666666,6.67683333333,5.1045,3.39016666667,7.86933333334
