wavelength,Back_TanPerf,Belly_TanPerf,Breast_TanPerf,Crissum_TanPerf,Crown_TanPerf,DorTail_TanPerf,Patch10_TanPerf,Patch11_TanPerf,Rump_TanPerf,Throat_TanPerf,WingTip_TanPerf
372.19,6.39333333333,21.451,14.138,6.0025,3.97633333333,5.227,6.33,4.62233333333,6.48293333333,18.3983333333,5.6575
372.55,6.507,21.6043333333,14.3023333333,6.127,4.13766666667,5.222,6.51966666667,4.78833333333,6.5836,18.5973333333,5.7405
372.92,6.561,21.661,14.455,6.2025,4.31666666667,5.334,6.60766666667,4.92366666667,6.69973333333,18.6686666667,5.855
373.28,6.587,21.808,14.5483333333,6.0835,4.306,5.445,6.675,5.044,6.81473333333,18.6223333333,5.91
373.64,6.54333333333,21.8413333333,14.433,6.135,4.26166666667,5.339,6.69,5.07933333333,6.78333333333,18.626,5.929
374.00,6.51333333333,21.8373333333,14.4486666667,6.119,4.30933333333,5.188,6.656,5.10366666667,6.75233333333,18.7573333333,5.928
374.37,6.516,21.956,14.5176666667,6.159,4.37833333333,5.17,6.69866666667,5.21033333333,6.82753333333,18.9023333333,5.9965
374.73,6.656,22.058,14.588,6.2125,4.518,5.212,6.77266666667,5.35,6.92233333333,19.1396666667,5.9785
375.09,6.717,22.0696666667,14.5856666667,6.166,4.595,5.146,6.831,5.38933333333,6.9708,19.2533333333,5.9315
375.45,6.76566666667,22.1376666667,14.58,6.1975,4.59233333333,5.165,6.86033333333,5.40166666667,7.0286,19.288,5.9225
375.81,6.68466666667,22.2513333333,14.6346666667,6.217,4.592,5.103,6.92533333333,5.39333333333,6.9904,19.244,5.917
376.18,6.68033333333,22.2926666667,14.7466666667,6.2635,4.62533333333,5.106,6.982,5.37066666667,7.02793333333,19.281,6.0115
376.54,6.712,22.3146666667,14.826,6.251,4.67266666667,5.145,7.058,5.37433333333,7.13533333333,19.3453333333,6.033
376.90,6.75766666667,22.4306666667,14.792,6.295,4.58666666667,5.048,7.08433333333,5.35233333333,7.1518,19.453,6.147
377.26,6.83433333333,22.4883333333,14.8073333333,6.389,4.66266666667,5.047,7.156,5.36033333333,7.1724,19.551,6.203
377.63,6.892,22.506,14.883,6.3915,4.64233333333,5.139,7.14266666667,5.32866666667,7.206,19.5843333333,6.2595
377.99,6.92133333333,22.619,14.8796666667,6.466,4.63266666667,5.147,7.16133333333,5.35066666667,7.24253333333,19.488,6.252
378.35,6.93166666667,22.5883333333,14.8773333333,6.4535,4.553,5.167,7.141,5.28233333333,7.22293333333,19.4256666667,6.1945
378.71,6.89666666667,22.5506666667,14.8143333333,6.421,4.42633333333,5.143,7.13066666667,5.17733333333,7.1902,19.3316666667,6.0825
379.07,6.80466666667,22.602,14.7463333333,6.3635,4.30433333333,5.218,7.08433333333,5.21566666667,7.17813333333,19.2783333333,6.0915
379.44,6.76266666667,22.5873333333,14.7836666667,6.308,4.239,5.254,7.04466666667,5.192,7.20146666667,19.3246666667,6.037
379.80,6.86533333333,22.5863333333,14.8803333333,6.427,4.293,5.282,7.07633333333,5.24866666667,7.3098,19.3993333333,6.1345
380.16,6.90966666667,22.684,14.9283333333,6.4495,4.246,5.3,7.03866666667,5.30266666667,7.35126666667,19.503,6.1025
380.52,6.964,22.8353333333,14.9613333333,6.487,4.22433333333,5.371,7.002,5.30966666667,7.3226,19.5623333333,6.194
380.88,6.94533333333,22.821,14.9543333333,6.3915,4.18933333333,5.412,6.94033333333,5.269,7.27773333333,19.496,6.0855
381.24,6.88333333333,22.681,14.9263333333,6.289,4.08633333333,5.297,6.84266666667,5.21333333333,7.2036,19.4126666667,6.012
381.61,6.80166666667,22.6696666667,14.925,6.2675,4.06033333333,5.274,6.76166666667,5.20633333333,7.1762,19.4466666667,5.951
381.97,6.79366666667,22.6333333333,14.897,6.1875,3.98066666667,5.238,6.71166666667,5.169,7.12993333333,19.4606666667,5.9345
382.33,6.79666666667,22.7203333333,14.887,6.216,4.05633333333,5.142,6.75533333333,5.232,7.21506666667,19.615,5.981
382.69,6.78433333333,22.8143333333,14.9453333333,6.1735,4.106,4.976,6.758,5.28266666667,7.23633333333,19.7116666667,6.014
383.05,6.76766666667,22.8503333333,15.0883333333,6.1585,4.09833333333,4.874,6.72266666667,5.21166666667,7.19733333333,19.746,5.955
383.41,6.75966666667,22.8896666667,15.0193333333,6.188,4.05,4.755,6.70066666667,5.19366666667,7.13593333333,19.6846666667,5.9205
383.77,6.72266666667,22.8996666667,14.9616666667,6.0805,3.968,4.799,6.658,5.17166666667,7.0574,19.703,5.865
384.14,6.74033333333,22.9823333333,14.9786666667,6.1155,4.00166666667,4.76,6.71066666667,5.147,7.03093333333,19.7593333333,5.8355
384.50,6.72333333333,22.958,14.955,6.12,3.97,4.688,6.759,5.12666666667,7.0242,19.7836666667,5.7605
384.86,6.65033333333,22.9413333333,15.0156666667,6.1465,3.94066666667,4.641,6.78733333333,5.14066666667,7.0308,19.8646666667,5.7855
385.22,6.67566666667,23.0763333333,15.0843333333,6.226,3.95,4.688,6.80466666667,5.16766666667,7.0548,19.9183333333,5.82
385.58,6.78266666667,23.2206666667,15.1556666667,6.301,3.97666666667,4.655,6.88833333333,5.207,7.10446666667,20.0226666667,5.8645
385.94,6.836,23.3166666667,15.2816666667,6.3485,4.01233333333,4.733,6.943,5.25,7.20053333333,20.1723333333,5.871
386.30,6.832,23.3843333333,15.2626666667,6.3425,3.92466666667,4.79,6.90833333333,5.19933333333,7.1666,20.1443333333,5.824
386.66,6.889,23.4213333333,15.3263333333,6.4165,3.90166666667,4.912,6.92033333333,5.186,7.19593333333,20.166,5.8465
387.03,6.943,23.4583333333,15.2983333333,6.479,3.93733333333,4.899,6.98733333333,5.17566666667,7.22566666667,20.1633333333,5.925
387.39,7.00933333333,23.5746666667,15.4413333333,6.5055,4.011,5.002,7.04066666667,5.198,7.30786666667,20.2966666667,6.0105
387.75,7.02633333333,23.6086666667,15.5516666667,6.5695,3.98566666667,4.955,7.114,5.20966666667,7.3446,20.2756666667,6.022
388.11,7.079,23.6693333333,15.576,6.6265,3.97833333333,4.956,7.19733333333,5.259,7.42013333333,20.2903333333,6.0855
388.47,7.23966666667,23.768,15.709,6.7285,4.087,5.063,7.21933333333,5.377,7.52886666667,20.3806666667,6.2175
388.83,7.37966666667,23.8786666667,15.803,6.772,4.21766666667,5.114,7.271,5.46633333333,7.58033333333,20.455,6.2745
389.19,7.42733333333,24.025,15.8883333333,6.788,4.30033333333,5.143,7.31766666667,5.50433333333,7.63813333333,20.625,6.244
389.55,7.395,24.021,15.9463333333,6.7715,4.314,5.157,7.37333333333,5.50166666667,7.65326666667,20.6606666667,6.2635
389.91,7.42266666667,24.0496666667,15.9706666667,6.778,4.32933333333,5.069,7.39266666667,5.53,7.60826666667,20.712,6.278
390.27,7.44266666667,24.091,16.0696666667,6.755,4.34733333333,5.06,7.39966666667,5.55166666667,7.59433333333,20.7366666667,6.267
390.63,7.50733333333,24.1613333333,16.1613333333,6.7495,4.377,5.052,7.436,5.612,7.603,20.8146666667,6.3035
391.00,7.503,24.1863333333,16.231,6.745,4.315,5.109,7.38166666667,5.63166666667,7.5968,20.915,6.2165
391.36,7.44233333333,24.1543333333,16.2773333333,6.7185,4.29766666667,5.074,7.338,5.645,7.60033333333,20.938,6.132
391.72,7.41033333333,24.246,16.321,6.701,4.27966666667,5.081,7.27033333333,5.645,7.59566666667,20.9913333333,6.076
392.08,7.34666666667,24.2003333333,16.3376666667,6.6025,4.245,5.071,7.18066666667,5.62,7.5282,21.027,5.9735
392.44,7.21833333333,24.169,16.3073333333,6.542,4.15833333333,5.04,7.11933333333,5.57066666667,7.46013333333,21.0186666667,5.787
392.80,7.21266666667,24.249,16.3756666667,6.6315,4.10533333333,5.09,7.147,5.579,7.4918,21.0696666667,5.7
393.16,7.232,24.3073333333,16.467,6.6815,4.07866666667,5.084,7.19866666667,5.626,7.54493333333,21.12,5.778
393.52,7.287,24.439,16.5643333333,6.777,4.13733333333,5.152,7.21633333333,5.73233333333,7.61053333333,21.192,5.845
393.88,7.31333333333,24.5016666667,16.6506666667,6.8675,4.14666666667,5.29,7.272,5.736,7.6664,21.2466666667,5.903
394.24,7.30733333333,24.5123333333,16.7123333333,6.937,4.15533333333,5.296,7.28766666667,5.783,7.6734,21.3013333333,5.8985
394.60,7.25466666667,24.4536666667,16.716,6.964,4.13966666667,5.302,7.29733333333,5.726,7.67166666667,21.244,5.822
394.96,7.20066666667,24.451,16.7616666667,6.9235,4.14333333333,5.333,7.309,5.70533333333,7.65993333333,21.2596666667,5.8185
395.32,7.26833333333,24.532,16.7846666667,7.0405,4.22633333333,5.428,7.39766666667,5.77,7.67966666667,21.3166666667,5.8645
395.68,7.36533333333,24.5403333333,16.8403333333,7.064,4.31633333333,5.49,7.49,5.861,7.76026666667,21.429,5.926
396.04,7.44133333333,24.6326666667,16.9316666667,7.1755,4.38466666667,5.522,7.54833333333,5.95066666667,7.84873333333,21.5003333333,5.9775
396.40,7.49233333333,24.705,17.0476666667,7.1905,4.39733333333,5.492,7.639,6.00333333333,7.8766,21.5976666667,6.0415
396.76,7.61033333333,24.7776666667,17.128,7.233,4.522,5.497,7.72266666667,6.08233333333,8.01213333333,21.6313333333,6.21
397.12,7.662,24.692,17.1403333333,7.343,4.598,5.571,7.77233333333,6.10033333333,8.02833333333,21.6523333333,6.222
397.48,7.69366666667,24.6453333333,17.2243333333,7.3345,4.587,5.563,7.817,6.09366666667,8.02853333333,21.765,6.1655
397.84,7.65333333333,24.6566666667,17.227,7.3565,4.6,5.58,7.78966666667,6.12033333333,8.03293333333,21.7986666667,6.127
398.20,7.688,24.654,17.2636666667,7.3965,4.63366666667,5.625,7.82533333333,6.14566666667,8.101,21.873,6.1805
398.56,7.721,24.7666666667,17.339,7.414,4.668,5.636,7.85233333333,6.20166666667,8.1696,22.011,6.2565
398.92,7.84,24.8156666667,17.3836666667,7.4745,4.719,5.581,7.89366666667,6.299,8.25153333333,22.0953333333,6.295
399.28,7.81733333333,24.75,17.386,7.3585,4.59433333333,5.453,7.84466666667,6.23366666667,8.22846666667,22.0966666667,6.2455
399.64,7.78766666667,24.717,17.3703333333,7.356,4.5,5.339,7.78066666667,6.166,8.20546666667,22.061,6.1355
400.00,7.76133333333,24.6636666667,17.3456666667,7.338,4.44166666667,5.35,7.73566666667,6.12233333333,8.15373333333,22.046,6.1215
400.36,7.754,24.637,17.3143333333,7.3765,4.42833333333,5.365,7.67933333333,6.12533333333,8.15946666667,22.0116666667,6.132
400.72,7.73866666667,24.617,17.3436666667,7.393,4.38533333333,5.394,7.67133333333,6.09266666667,8.11333333333,22.1236666667,6.062
401.08,7.719,24.7566666667,17.4183333333,7.3,4.353,5.346,7.66833333333,6.14433333333,8.1382,22.108,5.995
