wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
799.16,17.4213333333,47.3795555555,18.6793333334,49.9266666667,23.5008888889,17.2181025641,12.2014444445,17.9244444444,14.2977777778,24.067,25.6395555555,15.1782222222,15.608
799.47,17.085,46.8064444444,17.9748888889,48.8825555555,23.1755555556,16.647482906,12.0113333333,17.8688888889,14.3098888889,23.6837777778,25.654,14.8926666667,15.687
799.78,16.5923333334,45.8226666667,17.1864444444,48.3143333333,22.731,16.6152094017,11.6517777778,17.6208888889,13.8041111111,23.0067777778,25.0953333334,14.7477777778,15.4474444445
800.08,16.1403333333,45.6353333333,17.0228888889,47.6021111111,22.9345555555,16.577517094,11.6106666667,17.4482222222,13.7372222222,22.6051111111,24.5721111111,14.4603333333,15.8213333333
800.39,15.1378888889,44.9073333333,16.602,47.0606666667,22.8467777778,16.1713888889,10.9495555556,17.0757777778,14.0074444445,21.867,23.6218888889,14.0505555556,15.633
800.70,14.6686666667,44.0385555556,16.2713333333,45.9935555556,22.4252222222,15.846482906,10.5555555556,16.9872222222,14.1134444444,20.9828888889,22.9808888889,13.8355555555,15.4914444445
801.00,14.6404444444,44.0415555556,15.8604444445,45.8824444444,22.4618888889,15.501940171,10.3377777778,16.7863333333,14.2374444444,20.523,23.0392222222,13.3115555556,15.7734444444
801.31,14.4467777778,44.0358888889,15.5511111111,46.5761111111,22.2333333333,15.3400512821,10.2826666667,16.976,13.7396666667,20.1015555555,23.2384444445,13.0773333333,15.4738888889
801.62,14.6178888889,44.6337777778,15.7761111111,46.7824444444,22.4004444445,15.3216367521,10.1535555555,17.0895555556,14.0947777778,20.3071111111,23.2018888889,13.5714444444,15.4643333333
801.92,15.1444444445,45.4216666667,16.6161111111,47.77,22.9974444444,16.1140128205,11.0662222222,17.8295555556,15.5038888889,21.4132222222,23.9973333333,14.9421111111,17.0654444444
802.23,16.1575555555,45.9886666666,17.1421111111,48.2038888889,23.2517777778,16.7547606837,12.1965555556,18.194,16.3143333334,22.3117777778,24.6055555555,15.8554444444,18.1941111111
802.54,16.5248888889,46.7482222222,17.5121111111,48.4733333333,23.0507777778,16.8683589744,12.4161111111,18.284,16.2298888889,22.3128888889,24.2197777778,15.7758888889,18.7718888889
802.84,16.7462222222,47.4043333333,18.2492222222,49.226,23.3835555556,17.5954358974,12.5001111111,18.2946666666,16.6097777778,22.7118888889,24.7722222222,15.9381111111,18.7726666667
803.15,17.1386666667,48.2657777778,18.8216666666,49.0843333334,23.7121111111,17.7840897436,12.8853333333,18.9354444444,17.548,23.6097777778,25.6795555556,16.2173333334,19.1174444444
803.46,16.1658888889,48.0713333333,18.4801111111,48.9464444444,23.3851111111,16.9114444444,11.8365555555,18.2498888889,17.3286666667,23.2815555556,25.3081111111,15.7626666667,18.2843333333
803.76,16.7008888889,48.3344444444,19.1422222222,49.19,23.4313333333,17.2001367522,12.8336666667,18.6628888889,17.0886666667,23.9676666667,25.9184444444,16.256,18.7428888889
804.07,17.5576666667,48.5983333333,19.646,49.495,23.777,17.627465812,13.7441111111,18.772,17.2852222222,24.719,26.3647777778,16.7632222222,19.3394444445
804.38,17.9722222222,49.3952222222,20.4588888889,49.9376666667,24.1098888889,18.4283034188,14.4342222222,19.2721111111,17.407,25.455,26.5061111111,17.4635555556,19.7353333334
804.68,18.6943333333,50.1515555555,21.0651111111,50.1515555555,25.0084444444,18.9703717949,14.8187777778,19.8966666667,18.5822222222,26.7611111111,26.66,18.3687777778,20.1663333333
