wavelength,Back_SalRufm,Belly_SalRufm,Breast_SalRufm,Crissum_SalRufm,Crown_SalRufm,DorTail_SalRufm,Patch10_SalRufm,Rump_SalRufm,Throat_SalRufm,WingTip_SalRufm
254.66,4.51333333333,3.75716666667,4.45658333333,3.82,5.0305,10.2241666667,5.21933333334,4.67091666666,3.29691666667,9.21583333334
255.03,4.44966666667,3.85033333333,4.32991666666,3.637,4.8895,9.91216666665,5.1025,4.84930555556,3.42391666666,8.89966666669
255.41,4.177,4.19066666667,4.115,3.69466666667,5.00416666667,10.036,5.1145,4.95586111112,4.01858333334,8.89166666665
255.78,3.76316666667,3.384,3.15216666666,2.99066666666,4.57733333333,9.85683333335,4.91433333333,4.64061111111,3.16625,8.88783333333
256.15,4.0935,3.15716666667,3.21333333334,3.66033333334,4.4845,10.0308333333,5.155,5.00372222222,3.779,9.22066666667
256.53,4.18033333333,2.91116666667,2.95266666667,3.67,4.55283333334,10.0026666667,4.96666666667,4.64486111111,3.87,9.299
256.90,3.3175,2.18083333333,2.88125,2.72283333334,3.846,9.29166666668,4.74483333333,4.49155555555,3.48266666667,8.92133333333
257.28,3.834,3.02383333334,3.63458333333,3.02383333334,4.41433333333,9.33733333333,5.53916666667,5.28127777778,4.33566666667,9.45833333332
257.65,3.43683333334,2.6825,3.43683333333,2.25166666667,4.0725,8.5325,5.45133333334,5.13344444444,3.64141666667,9.00666666665
258.02,2.55366666667,2.01083333333,2.70175,1.27683333333,3.35433333333,7.77583333334,4.4595,4.13238888889,2.76333333333,8.27133333334
258.40,3.148,2.375,3.3225,1.66733333334,3.8555,8.2315,4.71766666667,4.658,3.19658333333,8.89849999998
258.77,3.199,2.40833333334,3.34033333333,1.87866666667,3.517,8.0935,4.668,4.62088888889,3.11416666667,8.67916666667
259.15,3.52133333333,2.80066666667,3.89741666666,2.24966666667,3.92833333333,8.34566666667,4.96866666667,4.86527777777,3.69066666666,9.04149999998
259.52,3.81433333334,3.15583333333,4.26983333334,2.35966666667,4.221,8.47083333333,5.1605,5.06775,4.01508333334,9.30700000001
259.89,4.15166666667,3.45466666667,4.67733333333,2.7305,4.47916666666,8.51816666667,5.25166666667,5.14616666666,4.23208333333,9.366
260.27,4.00916666667,3.46233333333,4.56925,2.42516666667,4.42216666667,8.21983333333,5.07233333334,4.976,4.00691666667,8.96799999999
260.64,3.84183333333,3.47266666666,4.35266666666,2.29,4.28166666667,8.1945,4.93883333333,4.81244444445,3.85458333334,8.69466666665
261.01,3.9575,3.466,4.23583333334,2.35216666667,4.25816666666,8.2155,4.92533333334,4.70619444444,3.7615,8.54649999999
261.39,3.63133333333,3.14666666667,4.00508333333,2.086,3.95466666667,7.97483333333,4.54033333333,4.43194444444,3.43675,8.3585
261.76,3.763,3.1475,3.90591666667,2.043,3.97133333333,7.96866666667,4.50833333333,4.50725,3.463,8.48449999999
262.13,3.69466666667,3.14316666666,3.93733333334,2.0465,3.91833333334,7.86933333333,4.48066666666,4.43055555556,3.36208333333,8.44783333333
262.51,3.2145,2.63816666667,3.39883333334,1.438,3.25616666666,7.23716666666,4.05233333333,4.00669444445,2.82816666667,8.10466666667
262.88,3.17333333333,2.7865,3.60616666666,1.28483333333,3.18616666666,7.212,4.11083333333,3.93713888889,2.70475,8.11716666666
263.25,2.77416666666,2.38816666667,2.96716666667,0.684333333333,2.4975,6.68416666666,3.60416666666,3.38922222222,1.864,7.5725
263.63,2.25366666667,1.965,2.36616666667,0.2085,1.68433333334,6.32833333333,3.128,2.72427777778,1.0905,6.94583333333
264.00,2.397,2.19866666666,2.52208333333,0.112,1.578,6.44933333333,3.492,2.91138888889,1.21175,7.01866666667
264.37,2.592,2.457,2.826,0.621,1.863,6.7405,4.086,3.3915,1.6875,7.50533333333
