wavelength,Back_DigBarf,Belly_DigBarf,Breast_DigBarf,Crissum_DigBarf,Crown_DigBarf,DorTail_DigBarf,Rump_DigBarf,Throat_DigBarf,WingTip_DigBarf
752.22,18.2101111111,41.0954444444,34.6643333333,32.1016666666,17.562,20.0553333333,18.784,26.0513333333,19.63
752.53,18.6592222222,41.2494444445,34.7367777778,32.0376666667,17.972,20.5733333333,19.5278888889,26.1141111111,20.3917777778
752.85,18.5498888889,41.5618888889,34.8584444444,31.8772222222,17.681,20.623,19.6555555556,26.0525555556,20.4204444445
753.16,18.6427777778,41.4952222222,35.0313333333,31.814,17.8433333333,20.5986666667,19.9038888889,26.1294444444,20.45
753.47,18.6755555556,41.5724444444,34.9056666667,32.0287777778,17.6736666666,20.7044444444,19.861,25.9771111111,20.6052222222
753.79,19.0688888889,41.968,34.9742222222,32.5573333334,17.9714444444,21.2534444445,20.4034444444,26.5173333333,21.1002222222
754.10,19.3793333333,42.172,35.6055555556,32.4123333333,18.2382222222,21.3464444444,20.5155555556,26.982,21.2361111111
754.42,20.1285555556,42.7695555555,35.9205555556,33.049,18.9023333333,21.9033333334,21.1755555556,27.571,21.7735555556
754.73,20.3937777778,42.4465555556,35.695,32.91,18.7844444445,21.9132222222,21.2804444444,27.6782222222,21.7588888889
755.05,20.5922222222,43.0422222222,35.824,33.06,18.7802222222,22.2626666667,21.7211111111,27.7751111111,22.0298888889
755.36,20.8396666667,43.4834444444,36.2627777778,33.1533333333,18.9227777778,22.3043333333,21.8058888889,27.9577777778,21.9653333333
755.67,20.5021111111,43.2564444444,35.7713333333,33.0852222222,18.7612222222,21.6954444444,21.7416666667,27.5118888889,21.964
755.99,20.7531111111,43.762,36.1462222222,33.3386666667,18.8572222222,21.7326666667,21.8264444444,28.02,22.0921111111
756.30,21.4147777778,44.0773333333,36.2958888889,33.952,19.3854444444,22.0755555555,22.3743333333,28.4253333333,22.3847777778
756.62,21.677,44.2765555556,36.5265555556,33.9206666667,19.8258888889,22.4844444445,22.6888888889,28.6192222222,22.9144444445
756.93,21.6953333333,44.1105555555,36.4945555555,33.6672222222,20.052,22.5091111111,22.989,28.701,22.7541111111
757.24,21.356,43.7145555556,36.2213333333,33.2175555555,19.8853333333,21.9806666667,22.5635555556,28.2241111111,22.091
757.56,21.2343333333,43.4872222222,35.9766666667,33.1986666667,20.0652222222,22.036,22.4342222222,28.0416666667,22.0361111111
757.87,20.5695555556,42.9841111111,35.5628888889,32.5796666667,19.3016666667,21.453,21.8636666667,27.4398888889,21.5882222222
758.18,20.4645555556,43.4452222222,35.9594444444,32.8573333333,19.5961111111,21.8925555555,22.2588888889,27.4692222222,21.7933333334
758.50,20.4193333334,43.4065555556,35.9747777778,32.977,19.4864444444,21.588,22.0755555556,27.2955555556,21.6403333333
758.81,20.0848888889,43.36,35.8793333333,33.0085555556,19.2204444444,21.5411111111,22.1541111111,27.2041111111,21.5935555556
759.13,20.9372222222,43.6795555556,36.6366666666,33.3748888889,19.8344444445,22.6072222222,22.6643333333,27.7778888889,22.0557777778
759.44,21.4186666667,44.1096666667,36.9031111111,33.9155555556,20.2286666667,23.2884444445,23.0873333333,28.0996666667,22.4798888889
759.75,21.1084444444,44.2021111111,37.092,33.8385555556,20.0311111111,22.9852222222,22.8408888889,27.5845555556,22.4232222222
760.07,20.9182222222,43.9471111111,36.7578888889,33.7797777778,19.4673333333,22.6788888889,22.6076666667,27.306,22.1461111111
760.38,20.611,43.9493333333,36.5807777778,33.4193333333,19.2323333333,22.5302222222,22.2828888889,26.9546666667,22.0303333333
760.69,20.4827777778,43.8248888889,36.6192222222,33.2836666667,18.9514444445,22.465,22.1481111111,26.9898888889,21.9942222222
761.01,21.0691111111,44.4782222222,36.9615555556,33.8447777778,19.1537777778,22.5601111111,22.8541111111,27.259,22.3282222222
761.32,21.568,44.935,37.2674444444,34.0061111111,19.5264444444,23.0071111111,23.2408888889,27.7218888889,22.6333333333
761.63,21.3743333333,44.6732222222,37.0925555556,33.8043333333,19.2303333333,22.469,22.9175555555,27.3807777778,22.3882222222
761.94,21.124,44.3968888889,36.7871111111,33.3848888889,18.9575555555,22.3513333333,22.5322222222,27.1232222222,21.9507777778
