wavelength,Back_ConRufm,Belly_ConRufm,Breast_ConRufm,Crissum_ConRufm,Crown_ConRufm,DorTail_ConRufm,Rump_ConRufm,Throat_ConRufm,WingTip_ConRufm
189.43,-30.3030666667,31.1111666667,31.7170666666,-12.1209999999,-4.24246666674,-13.3334,6.35512222224,-57.3737333333,-99.596
189.81,1.6216666666,44.6845,51.8918,16.8468999999,26.3063333333,9.5496,20.3302703704,-26.4865333335,-73.6937333333
190.19,35.2138,66.9230333333,90.9401333334,40.7692666667,54.0172666667,42.0513333333,38.6181925926,1.70926666672,-43.2476
190.57,39.0741333333,56.6204,70.8333333334,47.7315333333,54.4446,45.6483333333,40.9285666667,22.1297333334,8.61113333334
190.95,36.6244666667,54.5990666667,64.4726666667,49.8311666667,55.1898666667,44.2192666667,35.0772814815,24.4726,14.9787666667
191.33,32.1874666667,44.0623333333,61.9790666666,51.6145333333,45.3124,34.2708666667,24.6282324074,19.7916666667,7.65643333333
191.71,34.1025333333,47.8846666667,84.3589333333,51.2179333333,56.5384666667,37.1794666667,29.7453453703,23.7180000001,15.4488333333
192.09,46.7777333333,55.6111,84.5556666667,66.1665666667,60.2222666667,44.7777333333,40.3563990741,35.5556,34.4444
192.47,51.7204,60.0537333333,85.8065333333,63.5482999999,54.5161333333,43.1182,39.4190962963,33.5484666667,33.5483666667
192.85,70.1852666666,76.8518666666,113.888866667,81.6666333334,71.8518,56.2963333333,42.5179462963,35.3703333333,40.2779
193.23,67.8430666666,60.9802333333,102.3532,69.6077333333,51.7646,40.0,33.7716796297,36.4705999999,34.6077666667
193.61,46.9999999999,21.8333333334,113.666666667,58.6666666668,24.3333333331,5.33333333346,-4.68981481486,-1.66666666648,19.6666666666
193.99,39.2591333333,-13.8886666667,123.3332,47.4073,-0.370333333394,-11.4815333335,-10.0617342593,-28.8888666669,39.6294333333
194.37,38.5713999999,9.40466666666,105.9524,58.3334333333,25.9523999999,17.1428666667,29.2989898149,10.7141999999,62.6189333333
194.75,177.333333333,-42.6666666667,613.333333333,280.0,41.3333333335,40.0,88.5185185184,81.3333333332,319.333333333
195.13,120.512866667,24.6154,269.743466667,139.230833333,53.3333333333,37.4359999999,110.349103704,75.3846666667,170.2565
195.51,98.0644666665,54.6237,167.311733333,90.6452000001,66.8816666667,62.1505333333,86.9593657406,69.4624666668,110.860233333
195.89,79.8612,41.6667666667,118.75,79.9305999999,56.5278,62.0833333333,68.0980222223,63.6110666667,87.1528333333
196.27,111.333533333,41.1112,168.444333333,100.8888,78.4444,77.5556666667,89.8578777779,85.9998666667,122.1112
196.65,134.166666667,35.6944333334,204.9998,140.555633333,105.000066667,100.2778,114.390332408,116.388933333,172.222233333
197.03,94.8148000001,7.28386666674,174.320866667,109.876466667,77.5308000001,75.5553999999,80.8950925925,94.0740666667,155.0619
197.40,102.857066667,-59.9999333333,273.809533333,124.0477,84.2856000001,80.4762666667,62.1032259256,84.2857333332,223.809533333
197.78,149.743533333,17.6920999999,330.7692,145.640933333,134.359133333,104.615333333,97.9700490741,116.410333333,266.666633333
198.16,-2.1323861872e+13,6.26921539038e+14,-1.59502486803e+15,-2.79342590524e+14,-2.60151114837e+14,1.79120439725e+14,2.17799555841e+14,2.43092025338e+14,-1.24318114714e+15
198.54,-120.0,276.666533333,-826.666799999,-292.222133333,-211.111133334,66.6666666665,69.5987027784,17.7776666668,-721.1112
198.92,55.7574666666,194.242233333,-113.9394,-6.9697333334,30.3029333333,124.8484,115.117943518,124.2424,-102.7272
199.30,23.6781333333,87.1265666667,-50.5746666667,3.6782333334,12.6435999999,52.1838000001,60.657687037,49.1953333332,-35.977
199.68,29.4202,77.0289666667,-11.4494666667,13.2608000001,15.2174,42.174,47.0692935186,39.7102666667,-29.1304333333
200.06,11.9697333333,63.9392,-29.3938,0.4545666666,-2.42413333332,31.6667999999,33.9056240741,25.9091333333,-50.7578
200.44,23.7038,114.3208,-44.6915333333,-0.6171666666,2.46926666673,51.8519999999,53.4807675926,48.3951333334,-87.0370666666
200.82,19.7434666667,125.256466667,-44.1025333333,6.7948,9.74346666673,74.1025999999,62.9770537036,54.1026666667,-79.7435666667
201.19,-256.666533333,204.444433333,-547.7778,-353.3333,-270.0,2.22226666666,-131.635873148,-113.333266667,-640.555566667
201.57,-283.3332,152.777833333,-559.999933333,-385.000099999,-301.111133333,-52.2222666667,-202.175969444,-140.0,-671.111
201.95,-162.222133333,232.592633333,-318.518533333,-222.222133333,-145.1852,-36.2961999999,-81.6668120371,-72.5927333333,-467.4073
202.33,-3120.0,1020.0,-4100.0,-3183.33333333,-2773.33333333,-1806.66666667,-1872.40740741,-2593.33333333,-5743.33333333
202.71,431.4286,-221.428666667,507.619,435.238100001,345.714333333,243.809466667,237.447037963,401.9046,807.143033333
203.09,157.666666667,-51.6666666666,184.666666667,145.166666667,122.0,106.0,80.8842592592,176.0,282.666666667
203.47,145.237933333,-140.714333333,181.4286,137.3809,92.3810000001,78.0951333334,57.3544037036,170.000133333,365.238033333
