wavelength,Back_PooWhim,Belly_PooWhim,Breast_PooWhim,Crissum_PooWhim,Crown_PooWhim,DorTail_PooWhim,Patch10_PooWhim,Patch11_PooWhim,Patch12_PooWhim,Rump_PooWhim,Throat_PooWhim,WingTip_PooWhim
369.29,9.32904666666,26.3787333333,4.01266666667,11.1869333333,9.42513333334,7.4493,14.1981,5.54993333333,25.5760518519,10.0444,9.21440000001,7.7766
369.65,9.45400666667,26.5445,4.0934,11.2919333333,9.47459999999,7.5392,14.4127,5.61806666667,25.7770765432,10.1514,9.27466666667,7.8884
370.01,9.38391333333,26.603,4.02173333334,11.3006,9.44860000001,7.5617,14.4578333333,5.57606666667,25.7839703704,10.1520666667,9.25053333333,7.87006666667
370.38,9.36545999999,26.5762333333,3.88553333333,11.2460666667,9.33686666668,7.47693333333,14.3712333333,5.423,25.8271234568,10.0716333333,9.16913333333,7.81753333333
370.74,9.41047333334,26.6316666667,3.91586666667,11.2718666667,9.37146666666,7.45486666667,14.4352333333,5.4444,25.8551074074,10.1034,9.18233333334,7.84673333333
371.10,9.34162,26.6754666667,3.86293333333,11.252,9.335,7.36973333333,14.3823333333,5.3904,25.8334234568,10.1233666667,9.13926666667,7.8372
371.46,9.57629333334,26.8707666667,4.06246666667,11.4969333333,9.57339999999,7.60363333333,14.6183333333,5.60906666667,25.9892592592,10.4215666667,9.36993333333,8.1342
371.83,9.62078666667,27.0066,4.08866666667,11.5544666667,9.60019999999,7.5862,14.7229,5.6086,26.096345679,10.4315666667,9.44593333334,8.21253333333
372.19,9.82679333333,27.2621333333,4.31826666667,11.752,9.86379999999,7.78356666667,14.9645,5.82793333333,26.3871283951,10.6395333333,9.69860000001,8.43766666667
372.55,9.67989333333,27.2078,4.179,11.6780666667,9.73453333333,7.6451,14.8573666667,5.6796,26.3583049383,10.4823333333,9.57446666667,8.29026666667
372.92,9.64658666667,27.2265,4.12713333333,11.67,9.70033333335,7.5771,14.8735333333,5.60286666667,26.3030419753,10.4277333333,9.5288,8.25973333333
