wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
642.53,5.89286666667,5.47886666667,6.4266,6.95946666667,6.64851111111,8.22193333333,5.8834,6.3268,9.66846666667
642.86,6.02806666667,5.53816666667,6.45933333333,7.00573333333,6.69866666667,8.27046666667,5.94326666667,6.36473333334,9.72680000001
643.19,6.1106,5.63243333333,6.5445,7.08646666667,6.76975555556,8.3396,5.9925,6.39266666667,9.78226666666
643.52,6.03573333333,5.61976666667,6.52203333333,7.07893333333,6.70537777778,8.34073333334,5.9632,6.26946666667,9.71873333334
643.85,6.0478,5.64963333333,6.48203333333,7.11906666667,6.68208888889,8.4162,5.9562,6.3014,9.75333333334
644.18,6.0376,5.6322,6.44596666667,7.10106666667,6.74633333333,8.42616666667,5.9683,6.26833333333,9.70513333334
644.51,6.02246666666,5.6276,6.47366666667,7.05533333333,6.76695555556,8.42146666667,5.97343333333,6.30133333333,9.7196
644.84,6.15446666666,5.77796666667,6.59166666667,7.21766666667,6.898,8.5776,6.10466666667,6.4682,9.82366666667
645.17,6.03953333333,5.70493333333,6.4906,7.17826666667,6.83762222222,8.45906666667,6.0468,6.42226666667,9.71266666667
645.50,5.96253333333,5.62506666667,6.39606666667,7.1142,6.81391111111,8.44276666666,6.00736666667,6.37286666666,9.61520000001
645.83,5.7716,5.43976666667,6.27953333333,6.9904,6.72675555555,8.37196666667,5.8373,6.2796,9.48899999999
646.16,5.76346666667,5.39,6.27083333333,7.02346666667,6.70046666667,8.37436666667,5.79783333333,6.26246666667,9.47646666667
646.49,5.71886666667,5.40096666667,6.23486666667,6.99933333333,6.69275555555,8.3653,5.82333333333,6.2514,9.48526666667
646.82,5.6512,5.30093333333,6.109,6.91046666667,6.60908888889,8.23406666667,5.74486666667,6.2018,9.43253333334
647.15,5.67446666667,5.29233333333,6.10536666667,6.8382,6.61357777778,8.2069,5.77543333333,6.20006666667,9.45120000001
647.48,5.70206666667,5.3119,6.15073333333,6.80913333333,6.66435555555,8.1951,5.81346666667,6.25813333333,9.50226666666
647.81,5.4906,5.14036666667,6.00183333333,6.6028,6.45253333333,8.08603333333,5.64953333333,6.10586666667,9.31826666666
648.14,5.5234,5.16233333333,5.96783333333,6.57626666667,6.45924444445,8.1203,5.67383333333,6.09033333333,9.34086666667
648.47,5.55906666667,5.15696666667,5.9722,6.53946666667,6.44586666667,8.11953333334,5.6927,6.1404,9.35260000001
648.80,5.60706666667,5.17676666667,5.97706666667,6.5536,6.40155555556,8.20503333333,5.69613333333,6.16566666667,9.43673333334
649.13,5.90126666667,5.4552,6.22353333333,6.8466,6.65497777778,8.45716666667,5.96916666667,6.49893333333,9.75859999999
649.46,6.14313333333,5.76206666667,6.48806666667,7.10926666667,6.88842222222,8.71836666667,6.2281,6.71313333333,10.0428666667
649.79,6.18026666666,5.832,6.56683333333,7.15866666667,6.94686666667,8.76836666667,6.2627,6.76886666667,10.1002
