wavelength,Back_CamParm,Belly_CamParm,Breast_CamParm,Crissum_CamParm,Crown_CamParm,DorTail_CamParm,Rump_CamParm,Throat_CamParm,WingTip_CamParm
776.92,21.0709333333,50.5580333333,11.8035333333,39.8795666667,12.7929466667,21.3574666667,18.76642,11.3553333333,21.5642666667
777.23,20.9237333334,50.3618,11.6192666667,39.3325333333,12.8054133333,20.8699333333,18.7871311111,11.2274666667,21.3566
777.54,21.2741333333,50.8113,11.8363333333,39.4203333333,12.9533066667,21.2977333333,18.866682963,11.5769333333,21.8429333333
777.85,21.1534666666,51.1292666667,11.8420666667,39.5548,12.7981333333,21.2061333333,18.7212,11.5438,21.9472666666
778.16,20.3149333333,51.0515,11.1006,38.7965666667,12.1106666667,20.4910666667,17.7466548148,10.4354666667,21.1117333333
778.47,20.7903,51.536,11.3953333333,39.1472,12.6117333333,20.6608,18.2358081481,11.2882666667,21.5004
778.78,20.3564666667,51.2876,10.8538,38.817,12.2652666667,19.9499333333,17.7346962963,10.6132,21.3714
779.09,20.2848,51.1706666667,11.0462666667,38.4589,12.4663866667,20.1265333333,18.0398681482,10.9152,21.3332666667
779.40,20.2010666667,51.1834333333,10.9938,38.5288,12.3692666667,19.6162666667,18.0861414815,11.1538,21.6494666667
779.71,19.6393666667,50.7674333333,10.604,38.0980333333,11.4008533333,18.9663333333,17.6930644445,10.5306666667,21.36
780.02,18.4115,49.8857666667,9.61040000001,36.9512,10.2244533333,17.7560666667,16.7169888889,9.09273333333,20.4524666667
780.33,18.5020333333,49.4991333333,9.70033333333,36.8563,10.2426533333,17.748,16.6643325926,8.86706666666,20.604
780.64,18.6160333333,49.7680666667,9.96926666666,37.3692666667,10.4982933333,18.0742666667,16.9567340741,8.67280000001,21.2302666667
780.95,18.0186,49.2989333333,9.62906666667,37.0686,10.1392666667,17.4347333333,16.5785214815,7.67666666667,20.7179333333
781.26,17.6654,49.3041666667,9.03046666667,36.8058,9.73085333333,16.972,16.1615022222,6.88166666665,20.5324
781.57,18.045,49.3727,9.94666666666,37.3327666667,10.1987466667,17.7954666666,17.1684911111,7.80986666665,21.2112666667
781.88,17.6627333334,49.0651,10.4552,37.2711,10.3142533333,17.905,17.2589740741,7.47440000001,21.3754
782.19,19.2216,50.0169333333,11.9990666667,38.3032333333,11.4642666666,19.4633333333,18.662022963,8.84706666667,22.5236666667
782.50,19.6269,50.0145333333,12.6648,38.7015666667,11.92636,19.9127333333,19.2151533333,9.09386666667,23.1152
782.81,19.6590666667,49.6470666667,12.8257333333,38.1169333333,12.1528666667,20.2224,19.1774474074,8.85673333333,23.2148
783.12,19.5477333333,49.2380333333,12.9656666667,37.7357333333,12.2011333333,20.0094666667,19.1053177778,8.91133333332,22.9268666667
783.43,20.5407,49.4160333333,13.5881333333,38.1087,12.9718,20.6200666667,19.5910044444,9.77159999999,23.5088666666
783.74,19.4511,48.885,12.7330666667,37.6915666667,12.0880133333,19.9073333333,18.8915859259,8.81893333333,22.4549333333
784.05,19.966,48.8881,13.2364,37.9117333333,12.3497866667,20.4361333333,19.55812,9.20540000001,22.6212
784.36,20.7717,49.5972,14.2788666667,38.6999666667,13.16152,21.4616666667,20.7458674074,10.5113333333,23.6517333333
784.67,21.4886333334,49.883,15.1302,39.1039333333,13.83616,21.9880666667,21.5013881482,11.6224666667,24.4014
784.98,21.5047333333,49.8741666666,14.9490666667,39.0179666667,13.71364,21.6740666667,21.3468792593,11.4998,24.3494
785.29,21.2183333333,49.7249,14.1832,38.6269,12.85284,21.0416,20.8224096296,11.1422,24.0383333333
785.60,19.7963666667,48.9616666667,12.7124,37.2876333333,11.87484,19.9153333333,19.6375377778,9.91566666668,23.0303333333
785.91,19.4284,48.7546666667,12.1799333333,36.8581,11.3369333333,19.1846,19.1994592593,9.59473333332,22.6498666667
786.22,19.5586333333,48.7968,12.0116666667,36.8343,11.5008533333,19.0236666667,19.3903103704,10.0296666667,22.6282666667
786.53,19.4152,48.2895666667,11.5497333333,36.5937,11.6306133333,18.5966,19.1825696296,9.72706666668,22.8167333333
786.84,18.5626666667,48.0698666667,11.2600666667,36.1398666667,10.9998266667,18.0772,18.9952088889,9.31266666666,22.656
787.14,19.1673,48.6218,11.9598,36.1209,11.441,18.2772,19.8047088889,9.95946666667,23.2112666667
787.45,18.1499,48.2025666667,11.3174666667,35.4282666667,10.6349466667,17.4370666667,19.1724362963,9.316,22.4814666666
787.76,18.1988,48.0939666667,11.2271333333,35.1061,10.4094266667,17.0264666667,19.0397822222,9.13513333334,22.0728666667
788.07,17.8398666667,47.7716,10.9304,34.8575666667,10.0495466667,16.7350666667,19.0376548148,8.83393333333,21.715
788.38,18.0314666667,48.0621333333,11.0406,34.9870666667,10.3275066667,17.1624,19.4192059259,9.05359999999,21.9450666667
788.69,17.8488,47.6198666667,10.8072,34.8993666667,10.1966133333,16.8540666667,19.152757037,8.60053333333,21.8782666667
789.00,18.2431666667,47.9409666667,11.1876666667,35.6289333333,10.2056666667,16.8564666667,19.4362392592,8.6016,22.0801333334
789.31,18.2169,47.8516333333,10.9116666667,35.8774333333,10.2012266667,16.688,19.4793496296,8.88113333333,22.2190666667
