wavelength,Back_CamPsif,Belly_CamPsif,Breast_CamPsif,Crissum_CamPsif,Crown_CamPsif,DorTail_CamPsif,Rump_CamPsif,Throat_CamPsif,WingTip_CamPsif
832.35,27.1445333333,48.0702666666,34.3133666667,47.84682,27.3804,26.3400333333,28.7870333333,38.2878666667,31.4216666667
832.65,26.7681666667,47.8154666667,34.2031333333,47.4380933333,27.3084666667,26.0049666667,28.6598666666,38.2039333333,31.2471333333
832.95,26.7614666667,48.2846666666,34.2922333333,47.375,27.568,26.1370333333,28.4216,38.0342,31.4519
833.25,26.7793,48.5022,34.4861,47.5472733333,27.5718666667,26.0590333333,28.3420333333,37.7444666667,31.2653
833.55,26.5323333333,48.4364,34.1702333333,47.2158666667,26.9305333333,25.6378333333,28.1126333333,37.6162,30.8513666667
833.85,26.4729666667,47.787,33.9002666667,46.8754466667,26.4962,25.3020666667,28.1605333333,37.3490666667,30.7263333333
834.16,26.0910333333,47.1909333333,33.7523333333,46.2396333333,26.1738,24.8164333333,27.6254666667,37.1908666667,30.2195666667
834.46,26.6179333333,47.3594,34.2929333333,46.2620933333,26.5962,25.5415333333,28.0123666667,37.3660666667,30.4212333333
834.76,26.2856333333,47.1956,33.8511333333,45.9394333333,26.0392,24.6154333333,27.4938666667,36.9962666667,29.6391333333
835.06,25.6321333334,46.5459333333,32.9761333333,45.16066,25.5904,23.672,26.7479,36.2280666667,28.7612
835.36,26.0344666667,46.3927333333,33.2393666667,45.1482333334,25.6668666666,23.7348,26.9478666667,36.1883333333,28.9089
835.66,25.9969666667,45.7922666667,32.4109333333,44.5544666667,25.3677333334,23.5531,26.5959,35.8958666667,28.5772333333
835.96,25.6214666667,45.1539333333,31.5099333333,43.56898,24.8784666667,22.8118666667,25.6915333333,35.1270666667,27.7444333333
836.26,24.7463,43.7051333333,30.7492,42.4181866667,23.9114666667,21.8111,24.9792666667,34.5250666667,26.6843
836.57,25.4720666667,43.8920666667,31.2330333333,42.5715866667,24.1490666667,22.2993666667,25.1669333333,35.2922666667,27.0325666667
836.87,25.5403,43.3473333333,30.7928333333,42.1003466667,23.4946666667,21.5896333333,24.4106333334,35.0033333333,26.5928333333
837.17,26.2787,43.4124,30.8962666667,41.8049333333,23.6987333333,22.3052,24.7722333333,35.1488,26.6290666667
837.47,26.3477333333,43.4948666666,30.3768,41.2968933333,23.4452,21.7765,24.6707333333,34.8156666667,26.5839
837.77,26.4647333333,43.1044666667,29.2866333333,40.97004,23.1584,20.96,24.3292666667,34.8228,26.3661
838.07,27.5117333333,43.1456,29.8545333333,41.4591466667,24.0282,22.5447333333,25.0798666667,35.3332666667,27.4977
838.37,27.6349666667,43.3911333334,29.9662333333,41.3757933333,24.0752,22.6734,25.0963333334,35.2795333333,27.7216333333
838.67,27.5109333333,44.1728,29.1025,40.9753666667,24.4541333333,23.0277,25.1918,35.2451333333,28.0300666667
838.97,27.0214,44.6777333333,29.6551666667,40.76572,23.868,22.6537333333,24.5778333333,35.0024666667,27.3214
839.27,26.4137333333,43.9250666667,30.0505333333,40.6161066667,22.4682666667,21.9879,23.5963666667,34.6384666667,26.9144333333
839.57,26.6315666667,44.9824666667,30.3158666667,40.8230866667,22.6166,21.614,23.5188666667,34.2556666667,27.3835333333
839.87,24.9109666666,43.6894,28.8526666667,39.2452533333,21.4736666667,19.9506333333,22.6211,33.185,26.2906
840.17,26.7102333333,45.2326666667,31.2646333333,40.7810466666,23.7694,22.6066333333,24.9370333333,34.6510666667,28.5900666667
840.47,25.8346333333,44.4444,31.3705666667,39.52228,23.1914,21.2384,23.7591,33.6269333333,28.2967333333
840.77,24.8554,43.8964,30.9740333333,39.4955,22.1715333333,20.4769666667,22.6788666667,33.0694666667,27.1840333333
841.07,22.4231666667,42.1676,29.9387333333,37.4121533333,19.9489333333,18.3283,20.6237333333,30.5318,25.0153666667
841.37,21.8671,41.5718,29.5781333333,36.3997533333,18.787,17.3102333333,20.3113,30.0528666667,24.5252333333
841.67,21.069,41.7411333333,29.4327333333,35.87996,18.0495333333,16.8593,19.8512,29.6639333333,24.2204666667
841.97,21.4803,41.3754,30.2738666667,36.3321866667,17.7855333333,15.7692333333,19.0035,29.6387333334,23.8052666667
842.27,20.4305333334,40.3812,29.7049,35.44404,16.2977333333,14.1208666667,18.4502666667,28.4994666667,23.4134
842.57,21.7693333334,41.6924,31.1473333333,36.68982,18.2949333333,15.6281,20.3461,29.2564666667,24.9358333333
842.87,21.3333333333,41.1312,30.5118,35.8627466667,17.7912,15.4950333333,20.1279333333,28.9158666667,24.2692666667
843.17,21.9914,40.6994666667,28.9080333333,35.36906,16.7024,14.4397,18.8008333333,27.3662,22.8693333333
843.47,18.6353,39.2784666667,26.3607,32.87214,13.6,10.4236333333,15.5764666666,24.1412,19.6079333333
843.77,16.8090333333,37.8558666667,23.8526,32.1741333333,11.7923333333,9.51416666666,14.4388333334,22.0268,18.3669333333
844.07,19.8305666666,39.1605333333,27.1912333333,33.56744,14.8345333333,13.0912,18.0387333334,24.2292666667,21.2107
844.37,21.8480333333,42.0724666667,27.7115,35.4162066667,16.3212,15.1035666667,19.9653666667,26.3213333333,23.0828333333
844.67,24.4415,45.2704666667,30.0175,37.6944733333,20.4536666667,18.2722,21.4485333333,28.7958,25.2355333333
844.97,26.5360666666,44.3864666667,30.0609666667,38.2193,20.6442,19.3647,22.6718,29.2777333333,26.2315666667
845.27,24.3261666667,42.5864666667,28.5972333333,36.7087,18.2513333333,17.9326666667,22.3952,28.725,25.6831
845.57,25.0187,43.5568,29.4970666667,37.05954,19.2738,18.7988333333,22.1416,29.2177333333,26.1546666667
845.87,25.9227333333,44.1161333333,29.2366,36.6743933333,18.7246666667,18.9178666667,21.7584,30.3382666667,26.1641666667
846.17,28.0080333333,46.3262666667,31.3312,39.6216333333,20.5206,21.1612666667,23.9539666667,33.4935333333,29.1193333333
846.47,28.7766666667,49.0520666667,35.8307666667,42.0388133333,23.1805333333,24.2304333333,27.1354666667,36.6768666667,31.8144
846.77,31.6824666667,50.9568,38.5172666667,44.64558,24.4375333333,26.919,29.7161,39.1167333333,34.5004333333
847.07,33.8416666667,55.1065333333,40.4492333333,46.4066333333,25.0354666667,27.234,30.5200333333,42.4114,34.6572666667
847.37,33.3802333333,54.0610666667,39.472,46.1994666667,25.094,28.6617666667,29.7066666667,42.4177333333,34.9296666667
847.67,33.7671666667,51.9406666667,40.5139,45.6074333333,25.7764666667,29.8858333333,28.6300333333,42.3970666667,36.0272666667
847.97,29.4709666667,48.5362,38.0688333333,44.26308,20.787,25.1413333333,25.4734333333,40.6394,32.5337666667
848.26,28.8022,50.4948,39.9221,44.8305733333,19.5574,23.2422,24.9609666667,39.323,33.5678
848.56,27.8327333333,51.4322666666,39.6705666667,42.7730733333,19.5437333333,24.7908,25.0950333333,38.0228666667,33.7895333333
848.86,28.9870333333,52.5896666667,42.1281666667,45.90514,21.7693333333,27.1025666667,27.4487,41.4872,37.0511333333
849.16,25.1614333333,50.7259333333,40.0135333333,43.9221333333,18.5753333333,23.3602666667,25.3494333333,38.3872666667,35.2555
849.46,21.0656666667,48.716,37.4589666667,40.3524666667,15.1366666667,19.877,23.8251,35.4372,32.6913666667
849.76,20.1547666667,46.9199333333,36.3291333333,39.8368533333,12.1237333333,18.7482333333,21.8143666667,34.0364,32.2363333333
850.06,15.3076666667,42.6897333333,31.4592666667,35.1358533333,6.495,14.0772,17.5537333333,30.3864,29.9285
850.36,15.4247,41.1764666667,32.0391333333,35.0326733333,7.45100000001,15.3725333333,18.4572,29.5162666667,31.0326666667
850.65,12.8129333333,39.1281333333,29.9437,34.1548466667,3.48813333332,10.9986666667,16.3150333333,26.7228,30.0421666667
850.95,12.8851666667,40.8683333333,32.0306333333,36.5126,4.874,12.4369333333,18.8656,26.9186666667,30.6863333333
851.25,15.6847333333,40.6719333333,33.1137666667,36.89666,5.86573333335,16.8346666667,21.2533333333,25.7365333333,31.6149666667
851.55,13.1813333333,39.7787333333,33.1398666667,36.1908733334,3.2642,16.0581666667,19.4606,25.6984,30.4012666667
851.85,16.9944,41.2294666667,35.9016666667,41.1994266667,6.7486,19.9454333333,21.7621666667,29.1803333333,33.1283666667
852.15,16.7772666667,42.6832666667,36.4176333333,40.0665066667,6.5284,19.8064,22.794,27.0264,33.0151
852.45,23.4687,46.6938,41.6665333333,44.5854866667,12.5474666667,26.3144666667,28.4417666667,31.2736666667,37.8728
852.74,28.7109333333,49.0364,46.0157,48.40096,15.2864666667,30.9636333333,31.1197666667,33.9322,39.401
853.04,27.7505666667,50.1897333333,47.7911,48.41482,15.2033333333,31.2195666667,31.8428,34.1192666667,39.5663
